experiment_id,variant,seed,baseline_status,nix_attr,bitstream_store,nextpnr_json_store,cvc_sdf_store,bitstream,nextpnr_json,cvc_sdf,bitstream_sha256,nextpnr_json_size,cvc_sdf_size
cntvaluein3-skew-locked-seed6,cntvaluein3-skew-locked,6,baseline-fail-reason2,ypcb-ddr3-bitstream-seed-6-cntvaluein3-skew-locked,/nix/store/4ririykpx1c165w499fzvhgmhip0y71c-ypcb-ddr3-bitstream-seed-6-cntvaluein3-skew-locked,/nix/store/p2lmw4m1cwjbdhhliwq0h7v01z2cyf2x-ypcb-ddr3-nextpnr-json-seed-6-cntvaluein3-skew-locked,/nix/store/f7g861zxp8kaf0sl83yfqcw47x9fmi5b-ypcb-ddr3-cvc-sdf-seed-6-cntvaluein3-skew-locked,/nix/store/4ririykpx1c165w499fzvhgmhip0y71c-ypcb-ddr3-bitstream-seed-6-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,/nix/store/p2lmw4m1cwjbdhhliwq0h7v01z2cyf2x-ypcb-ddr3-nextpnr-json-seed-6-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,/nix/store/f7g861zxp8kaf0sl83yfqcw47x9fmi5b-ypcb-ddr3-cvc-sdf-seed-6-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,4d6f405bdab10a999cda3ba1698593021da35d92bed5fc1884eaefdc2e5d4ed7,25845849,9732071
cntvaluein3-skew-locked-seed11,cntvaluein3-skew-locked,11,baseline-fail-reason2,ypcb-ddr3-bitstream-seed-11-cntvaluein3-skew-locked,/nix/store/g5i7cbkflx7v26a5f4mf3laz5c4zlgcm-ypcb-ddr3-bitstream-seed-11-cntvaluein3-skew-locked,/nix/store/h50wsi4ckbhqma2c1bsa6185kqp3ak4b-ypcb-ddr3-nextpnr-json-seed-11-cntvaluein3-skew-locked,/nix/store/xmf3y10hqakk8zrx1xiijx087yh4iqkc-ypcb-ddr3-cvc-sdf-seed-11-cntvaluein3-skew-locked,/nix/store/g5i7cbkflx7v26a5f4mf3laz5c4zlgcm-ypcb-ddr3-bitstream-seed-11-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,/nix/store/h50wsi4ckbhqma2c1bsa6185kqp3ak4b-ypcb-ddr3-nextpnr-json-seed-11-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,/nix/store/xmf3y10hqakk8zrx1xiijx087yh4iqkc-ypcb-ddr3-cvc-sdf-seed-11-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,d826d7d4b02cc6b253b12ccb1d163ea8ba5a90a48126c8ec7bd2260b0f23ba36,25927977,9692326
cntvaluein3-skew-locked-seed12,cntvaluein3-skew-locked,12,baseline-fail-reason2,ypcb-ddr3-bitstream-seed-12-cntvaluein3-skew-locked,/nix/store/4gk51045jbdcvdcfsg9zq1qw01bymjnk-ypcb-ddr3-bitstream-seed-12-cntvaluein3-skew-locked,/nix/store/k76fgq4ll5paraxkb1dm87lmn9c0mv7d-ypcb-ddr3-nextpnr-json-seed-12-cntvaluein3-skew-locked,/nix/store/7n5rpw3554b7gwybn7dny5a31yavm28w-ypcb-ddr3-cvc-sdf-seed-12-cntvaluein3-skew-locked,/nix/store/4gk51045jbdcvdcfsg9zq1qw01bymjnk-ypcb-ddr3-bitstream-seed-12-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,/nix/store/k76fgq4ll5paraxkb1dm87lmn9c0mv7d-ypcb-ddr3-nextpnr-json-seed-12-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,/nix/store/7n5rpw3554b7gwybn7dny5a31yavm28w-ypcb-ddr3-cvc-sdf-seed-12-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,31ccf66f6558b964889f0a6536e9bc8c618e0e57d2472c1c02317dd52ce73948,25905427,9731849
cntvaluein3-skew-locked-seed16,cntvaluein3-skew-locked,16,baseline-fail-startup,ypcb-ddr3-bitstream-seed-16-cntvaluein3-skew-locked,/nix/store/34xq2vwhlppaavw3jfld5vpkdnn41chv-ypcb-ddr3-bitstream-seed-16-cntvaluein3-skew-locked,/nix/store/ya76snrny6p11wppwpz76j4ammyiqjj2-ypcb-ddr3-nextpnr-json-seed-16-cntvaluein3-skew-locked,/nix/store/sya4zl6f89bcdrif52g2gm8xwnymslpr-ypcb-ddr3-cvc-sdf-seed-16-cntvaluein3-skew-locked,/nix/store/34xq2vwhlppaavw3jfld5vpkdnn41chv-ypcb-ddr3-bitstream-seed-16-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,/nix/store/ya76snrny6p11wppwpz76j4ammyiqjj2-ypcb-ddr3-nextpnr-json-seed-16-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,/nix/store/sya4zl6f89bcdrif52g2gm8xwnymslpr-ypcb-ddr3-cvc-sdf-seed-16-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,26a05683a9ffaf110a4266c0886fe4d51689e053b15a569a525cfe35f9ed6523,25931394,9756983
cntvaluein3-skew-locked-seed20,cntvaluein3-skew-locked,20,baseline-fail-reason2,ypcb-ddr3-bitstream-seed-20-cntvaluein3-skew-locked,/nix/store/sh04zvczx163bshv5lqz8m8xkz9441n8-ypcb-ddr3-bitstream-seed-20-cntvaluein3-skew-locked,/nix/store/fba0svx0q2j1f6ic2lnbyzz105147v3l-ypcb-ddr3-nextpnr-json-seed-20-cntvaluein3-skew-locked,/nix/store/0aqbbz7kqf99ris141aakhr98bd670y3-ypcb-ddr3-cvc-sdf-seed-20-cntvaluein3-skew-locked,/nix/store/sh04zvczx163bshv5lqz8m8xkz9441n8-ypcb-ddr3-bitstream-seed-20-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,/nix/store/fba0svx0q2j1f6ic2lnbyzz105147v3l-ypcb-ddr3-nextpnr-json-seed-20-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,/nix/store/0aqbbz7kqf99ris141aakhr98bd670y3-ypcb-ddr3-cvc-sdf-seed-20-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,f1134991aef4c88dd4ff09d6e0ef599807df75a3fe1030a79fabf3d914649d21,25864107,9712819
cntvaluein3-skew-locked-seed23,cntvaluein3-skew-locked,23,baseline-fail-reason2,ypcb-ddr3-bitstream-seed-23-cntvaluein3-skew-locked,/nix/store/df666f0dvvhqg48r318fn5i7b805qvk1-ypcb-ddr3-bitstream-seed-23-cntvaluein3-skew-locked,/nix/store/ywgvqpnn5cvpyx2q5bmln2k1zpjjz89z-ypcb-ddr3-nextpnr-json-seed-23-cntvaluein3-skew-locked,/nix/store/n6z627lni9wgm7651pbpfg1nb0c7pzwc-ypcb-ddr3-cvc-sdf-seed-23-cntvaluein3-skew-locked,/nix/store/df666f0dvvhqg48r318fn5i7b805qvk1-ypcb-ddr3-bitstream-seed-23-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,/nix/store/ywgvqpnn5cvpyx2q5bmln2k1zpjjz89z-ypcb-ddr3-nextpnr-json-seed-23-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,/nix/store/n6z627lni9wgm7651pbpfg1nb0c7pzwc-ypcb-ddr3-cvc-sdf-seed-23-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,ab1687e28e8c2745919691dd2dbecf2f7abf0006d9e9edcea0f04b673d03e4af,25928492,9726299
cntvaluein3-skew-locked-seed27,cntvaluein3-skew-locked,27,baseline-fail-reason2,ypcb-ddr3-bitstream-seed-27-cntvaluein3-skew-locked,/nix/store/7ll467pr9ry69jcd7x8dz5hqsyhqddlr-ypcb-ddr3-bitstream-seed-27-cntvaluein3-skew-locked,/nix/store/yd2la7zbfnhg6f76xf1zv50r50x4lh1x-ypcb-ddr3-nextpnr-json-seed-27-cntvaluein3-skew-locked,/nix/store/84nf82p90zdhqqb0cpyhl7zm4fgagr95-ypcb-ddr3-cvc-sdf-seed-27-cntvaluein3-skew-locked,/nix/store/7ll467pr9ry69jcd7x8dz5hqsyhqddlr-ypcb-ddr3-bitstream-seed-27-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,/nix/store/yd2la7zbfnhg6f76xf1zv50r50x4lh1x-ypcb-ddr3-nextpnr-json-seed-27-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,/nix/store/84nf82p90zdhqqb0cpyhl7zm4fgagr95-ypcb-ddr3-cvc-sdf-seed-27-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,3c543c81bd9dd1181bfa7d3723459c4655c1219c173df7a328c082e0ce5a2b50,25973724,9678304
cntvaluein3-skew-locked-seed1,cntvaluein3-skew-locked,1,baseline-pass-control,ypcb-ddr3-bitstream-seed-1-cntvaluein3-skew-locked,/nix/store/k88xym3d9lc0vnys1n7xnsvcrpy72yv4-ypcb-ddr3-bitstream-seed-1-cntvaluein3-skew-locked,/nix/store/65b5vhg58hsqw4dyby96wc8lfdb8h059-ypcb-ddr3-nextpnr-json-seed-1-cntvaluein3-skew-locked,/nix/store/xpjjqdymdp9bs6im78shp4k572ycichb-ypcb-ddr3-cvc-sdf-seed-1-cntvaluein3-skew-locked,/nix/store/k88xym3d9lc0vnys1n7xnsvcrpy72yv4-ypcb-ddr3-bitstream-seed-1-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,/nix/store/65b5vhg58hsqw4dyby96wc8lfdb8h059-ypcb-ddr3-nextpnr-json-seed-1-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,/nix/store/xpjjqdymdp9bs6im78shp4k572ycichb-ypcb-ddr3-cvc-sdf-seed-1-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,26ee998f08dc8e191745b1da07671b7fc1964d138d3fb8e97bbaf54e5512ca46,25941833,9676457
cntvaluein3-skew-locked-seed5,cntvaluein3-skew-locked,5,baseline-pass-control,ypcb-ddr3-bitstream-seed-5-cntvaluein3-skew-locked,/nix/store/ni3k6rm1skypfavqm9wxk6zx62qvplz4-ypcb-ddr3-bitstream-seed-5-cntvaluein3-skew-locked,/nix/store/8xjrc64wz0lvf7w3bg39i8w9n5j35h11-ypcb-ddr3-nextpnr-json-seed-5-cntvaluein3-skew-locked,/nix/store/ww6bm7ifb7plxdn8jh95zw9m6s9h6lzg-ypcb-ddr3-cvc-sdf-seed-5-cntvaluein3-skew-locked,/nix/store/ni3k6rm1skypfavqm9wxk6zx62qvplz4-ypcb-ddr3-bitstream-seed-5-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,/nix/store/8xjrc64wz0lvf7w3bg39i8w9n5j35h11-ypcb-ddr3-nextpnr-json-seed-5-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,/nix/store/ww6bm7ifb7plxdn8jh95zw9m6s9h6lzg-ypcb-ddr3-cvc-sdf-seed-5-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,41bfe6150b2799caf2c2bec52ebd0df7f6580be532e3040767ace615931494a3,25932285,9667336
cntvaluein3-skew-locked-seed28,cntvaluein3-skew-locked,28,baseline-pass-control,ypcb-ddr3-bitstream-seed-28-cntvaluein3-skew-locked,/nix/store/s9vk51cj25jvjd708c2dmwkwka2i3jd2-ypcb-ddr3-bitstream-seed-28-cntvaluein3-skew-locked,/nix/store/qy7r5dyanp6k205ww90nyh12njjh6k2l-ypcb-ddr3-nextpnr-json-seed-28-cntvaluein3-skew-locked,/nix/store/6p2hfqii4cbk0hx76xg254vhds4lyr02-ypcb-ddr3-cvc-sdf-seed-28-cntvaluein3-skew-locked,/nix/store/s9vk51cj25jvjd708c2dmwkwka2i3jd2-ypcb-ddr3-bitstream-seed-28-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,/nix/store/qy7r5dyanp6k205ww90nyh12njjh6k2l-ypcb-ddr3-nextpnr-json-seed-28-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,/nix/store/6p2hfqii4cbk0hx76xg254vhds4lyr02-ypcb-ddr3-cvc-sdf-seed-28-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,6a014c56a963e3b3ce834c5b9a4f4d89aea8e58ac1464207cdef5f07c611269a,25944253,9678229
