experiment_id,variant,seed,lock_set,observer_payload,repo_branch,repo_commit_at_build,build_completed_at_utc,bitstream_attr,bitstream_store_path,bitstream_file,bitstream_sha256,nextpnr_json_attr,nextpnr_json_store_path,nextpnr_json_file,nextpnr_json_sha256,cvc_sdf_attr,cvc_sdf_store_path,cvc_sdf_file,cvc_sdf_sha256,cvc_sdf_nextpnr_json_file,cvc_sdf_nextpnr_json_sha256
baseline-no-lock-seed-2,baseline-no-lock,2,none,payload_v3_exact_abort,ypcb-fixes,8acf7df48d288aacf303c3483b71ccaab4a54db9,2026-05-30T10:57:40.725183+00:00,.#ypcb-ddr3-bitstream-seed-2,/nix/store/9xpq0b4yv0l59pjnawaldi9jx1biq6xr-ypcb-ddr3-bitstream-seed-2,/nix/store/9xpq0b4yv0l59pjnawaldi9jx1biq6xr-ypcb-ddr3-bitstream-seed-2/ypcb_00338_1p1_ddr3_openxc7.bit,bdc5da470b63536c7b526b92fbbaca23242acdd9da473710f7dfe0db62120438,.#ypcb-ddr3-nextpnr-json-seed-2,/nix/store/6vmyfxrnir731ndn1k2grhmv2i19d377-ypcb-ddr3-nextpnr-json-seed-2,/nix/store/6vmyfxrnir731ndn1k2grhmv2i19d377-ypcb-ddr3-nextpnr-json-seed-2/ypcb_00338_1p1_ddr3.placed.json,40bfd857faf370a785b4ad7b1cae47f86140fc873892ed4589c1959e9696d43a,.#ypcb-ddr3-cvc-sdf-seed-2,/nix/store/2mzx8ga0rhiv6xxl572lrdszm54dk6jw-ypcb-ddr3-cvc-sdf-seed-2,/nix/store/2mzx8ga0rhiv6xxl572lrdszm54dk6jw-ypcb-ddr3-cvc-sdf-seed-2/ypcb_00338_1p1_ddr3.cvc.sdf,6f512f7b5bbb3cbf13ca45d067538f52e0aa2fbe46263b9a022d56f332e9aaac,/nix/store/2mzx8ga0rhiv6xxl572lrdszm54dk6jw-ypcb-ddr3-cvc-sdf-seed-2/ypcb_00338_1p1_ddr3.placed.json,40bfd857faf370a785b4ad7b1cae47f86140fc873892ed4589c1959e9696d43a
baseline-no-lock-seed-3,baseline-no-lock,3,none,payload_v3_exact_abort,ypcb-fixes,8acf7df48d288aacf303c3483b71ccaab4a54db9,2026-05-30T10:57:40.725183+00:00,.#ypcb-ddr3-bitstream-seed-3,/nix/store/3mib0dg5jf5v8yml8lmdxjd1c5q35nhy-ypcb-ddr3-bitstream-seed-3,/nix/store/3mib0dg5jf5v8yml8lmdxjd1c5q35nhy-ypcb-ddr3-bitstream-seed-3/ypcb_00338_1p1_ddr3_openxc7.bit,7ccb8288d9ac134aecaed42da2e40fa3f1028620394548b505fdab8cdd79d667,.#ypcb-ddr3-nextpnr-json-seed-3,/nix/store/vk733rsbwpjir4cspiph6yyrk6qgf8lp-ypcb-ddr3-nextpnr-json-seed-3,/nix/store/vk733rsbwpjir4cspiph6yyrk6qgf8lp-ypcb-ddr3-nextpnr-json-seed-3/ypcb_00338_1p1_ddr3.placed.json,063177afff7d782b31e114ead3a46d920c9c9d5d841a2d5bf73000fca85040ff,.#ypcb-ddr3-cvc-sdf-seed-3,/nix/store/pqns3pxaqhn0qawcs4qrq843h6v2jkrk-ypcb-ddr3-cvc-sdf-seed-3,/nix/store/pqns3pxaqhn0qawcs4qrq843h6v2jkrk-ypcb-ddr3-cvc-sdf-seed-3/ypcb_00338_1p1_ddr3.cvc.sdf,bf7466ac6574f755bbe1fbbb1f531994e4b8180ffc5dca417b98f834090911a1,/nix/store/pqns3pxaqhn0qawcs4qrq843h6v2jkrk-ypcb-ddr3-cvc-sdf-seed-3/ypcb_00338_1p1_ddr3.placed.json,063177afff7d782b31e114ead3a46d920c9c9d5d841a2d5bf73000fca85040ff
baseline-no-lock-seed-5,baseline-no-lock,5,none,payload_v3_exact_abort,ypcb-fixes,8acf7df48d288aacf303c3483b71ccaab4a54db9,2026-05-30T10:57:40.725183+00:00,.#ypcb-ddr3-bitstream-seed-5,/nix/store/v097mnc0mhjm5ywc2i24fnq52z8z79bf-ypcb-ddr3-bitstream-seed-5,/nix/store/v097mnc0mhjm5ywc2i24fnq52z8z79bf-ypcb-ddr3-bitstream-seed-5/ypcb_00338_1p1_ddr3_openxc7.bit,3076111fa358ce51ce30ea52254f61f19472317a22be602865f925dfc95d723c,.#ypcb-ddr3-nextpnr-json-seed-5,/nix/store/qfzmwcpg8vpz9k5philm6l3vbql497ix-ypcb-ddr3-nextpnr-json-seed-5,/nix/store/qfzmwcpg8vpz9k5philm6l3vbql497ix-ypcb-ddr3-nextpnr-json-seed-5/ypcb_00338_1p1_ddr3.placed.json,7ed3af6860417ed45ea487f33c30ba5c727e4202a2c999b830c101db2d17e4df,.#ypcb-ddr3-cvc-sdf-seed-5,/nix/store/1fbakhq1h8kdl7cci009gv452j5k5bns-ypcb-ddr3-cvc-sdf-seed-5,/nix/store/1fbakhq1h8kdl7cci009gv452j5k5bns-ypcb-ddr3-cvc-sdf-seed-5/ypcb_00338_1p1_ddr3.cvc.sdf,3da1522a463de3ed3de5ede87dde696d5c0f1ba6c3706c6b73193174bcbd350c,/nix/store/1fbakhq1h8kdl7cci009gv452j5k5bns-ypcb-ddr3-cvc-sdf-seed-5/ypcb_00338_1p1_ddr3.placed.json,7ed3af6860417ed45ea487f33c30ba5c727e4202a2c999b830c101db2d17e4df
baseline-no-lock-seed-6,baseline-no-lock,6,none,payload_v3_exact_abort,ypcb-fixes,8acf7df48d288aacf303c3483b71ccaab4a54db9,2026-05-30T10:57:40.725183+00:00,.#ypcb-ddr3-bitstream-seed-6,/nix/store/3nsl4zpb8wsilf85xp87ph6fy4prcln0-ypcb-ddr3-bitstream-seed-6,/nix/store/3nsl4zpb8wsilf85xp87ph6fy4prcln0-ypcb-ddr3-bitstream-seed-6/ypcb_00338_1p1_ddr3_openxc7.bit,10115cc4efca48eb6427a05ee36ba83c838a314739adb742c150581264181a70,.#ypcb-ddr3-nextpnr-json-seed-6,/nix/store/bzjr81djnv72yazww14fd2a0vk3wkg77-ypcb-ddr3-nextpnr-json-seed-6,/nix/store/bzjr81djnv72yazww14fd2a0vk3wkg77-ypcb-ddr3-nextpnr-json-seed-6/ypcb_00338_1p1_ddr3.placed.json,2af5b95cda92c8c92483ca48318a0587308ee18865e6d6df08d4f7733532ff73,.#ypcb-ddr3-cvc-sdf-seed-6,/nix/store/si5j710r5mm5iq2fzxl6bnjzzym8pnwa-ypcb-ddr3-cvc-sdf-seed-6,/nix/store/si5j710r5mm5iq2fzxl6bnjzzym8pnwa-ypcb-ddr3-cvc-sdf-seed-6/ypcb_00338_1p1_ddr3.cvc.sdf,42ea355017a972afe7bed43967c06b5e4d6c857178c843e39d5ba5c15faebaa5,/nix/store/si5j710r5mm5iq2fzxl6bnjzzym8pnwa-ypcb-ddr3-cvc-sdf-seed-6/ypcb_00338_1p1_ddr3.placed.json,2af5b95cda92c8c92483ca48318a0587308ee18865e6d6df08d4f7733532ff73
baseline-no-lock-seed-10,baseline-no-lock,10,none,payload_v3_exact_abort,ypcb-fixes,8acf7df48d288aacf303c3483b71ccaab4a54db9,2026-05-30T10:57:40.725183+00:00,.#ypcb-ddr3-bitstream-seed-10,/nix/store/jg1a31z90zdlvnw7kjgw6mmzhzl4lq06-ypcb-ddr3-bitstream-seed-10,/nix/store/jg1a31z90zdlvnw7kjgw6mmzhzl4lq06-ypcb-ddr3-bitstream-seed-10/ypcb_00338_1p1_ddr3_openxc7.bit,2f9e784d58dba5a48830f1a9434ea344280613d957e9335ed234946ceb0f4a94,.#ypcb-ddr3-nextpnr-json-seed-10,/nix/store/gm4v3cjqqcwi91g40dclibvy8wsy20a2-ypcb-ddr3-nextpnr-json-seed-10,/nix/store/gm4v3cjqqcwi91g40dclibvy8wsy20a2-ypcb-ddr3-nextpnr-json-seed-10/ypcb_00338_1p1_ddr3.placed.json,4009817416fe9ccc11450273a1587b30f0dbbf27784c85686b66c523d772af9d,.#ypcb-ddr3-cvc-sdf-seed-10,/nix/store/axn50z5z5s1py99zhjs30yvxpcdnrjy3-ypcb-ddr3-cvc-sdf-seed-10,/nix/store/axn50z5z5s1py99zhjs30yvxpcdnrjy3-ypcb-ddr3-cvc-sdf-seed-10/ypcb_00338_1p1_ddr3.cvc.sdf,bbe4c9098fa86a6be5cc1da72319d659dfde76dd81d50e9d47ac14312d16916b,/nix/store/axn50z5z5s1py99zhjs30yvxpcdnrjy3-ypcb-ddr3-cvc-sdf-seed-10/ypcb_00338_1p1_ddr3.placed.json,4009817416fe9ccc11450273a1587b30f0dbbf27784c85686b66c523d772af9d
baseline-no-lock-seed-11,baseline-no-lock,11,none,payload_v3_exact_abort,ypcb-fixes,8acf7df48d288aacf303c3483b71ccaab4a54db9,2026-05-30T10:57:40.725183+00:00,.#ypcb-ddr3-bitstream-seed-11,/nix/store/pfcnv6fadpz69x2asi90q5lw543hb8c3-ypcb-ddr3-bitstream-seed-11,/nix/store/pfcnv6fadpz69x2asi90q5lw543hb8c3-ypcb-ddr3-bitstream-seed-11/ypcb_00338_1p1_ddr3_openxc7.bit,eddd39e70c5291d2da2439b990a2ede4c198430a2952bf69ade662575cbb53bf,.#ypcb-ddr3-nextpnr-json-seed-11,/nix/store/amjv49bhx6qkabri85lrn0wl81nvww1v-ypcb-ddr3-nextpnr-json-seed-11,/nix/store/amjv49bhx6qkabri85lrn0wl81nvww1v-ypcb-ddr3-nextpnr-json-seed-11/ypcb_00338_1p1_ddr3.placed.json,9f477d959d00d8702161fc66031005f168068e812d6c0bfd29c2bb5ced6c0d4f,.#ypcb-ddr3-cvc-sdf-seed-11,/nix/store/jbk6v3lap7n3mgf0i2iaynv4k0130drn-ypcb-ddr3-cvc-sdf-seed-11,/nix/store/jbk6v3lap7n3mgf0i2iaynv4k0130drn-ypcb-ddr3-cvc-sdf-seed-11/ypcb_00338_1p1_ddr3.cvc.sdf,8d2c089307cf0a03cac1a7e63587fe140c3c2f5fe6095a6797a0662c8d74a4a9,/nix/store/jbk6v3lap7n3mgf0i2iaynv4k0130drn-ypcb-ddr3-cvc-sdf-seed-11/ypcb_00338_1p1_ddr3.placed.json,9f477d959d00d8702161fc66031005f168068e812d6c0bfd29c2bb5ced6c0d4f
baseline-no-lock-seed-12,baseline-no-lock,12,none,payload_v3_exact_abort,ypcb-fixes,8acf7df48d288aacf303c3483b71ccaab4a54db9,2026-05-30T10:57:40.725183+00:00,.#ypcb-ddr3-bitstream-seed-12,/nix/store/v4c81czz0vg2v294ggc4bnfhm8fw2nn2-ypcb-ddr3-bitstream-seed-12,/nix/store/v4c81czz0vg2v294ggc4bnfhm8fw2nn2-ypcb-ddr3-bitstream-seed-12/ypcb_00338_1p1_ddr3_openxc7.bit,01d168c5001a8b5aa5b381af8ea6ce5a57cf3d55b046607e61210612dd805518,.#ypcb-ddr3-nextpnr-json-seed-12,/nix/store/hzjz7amdby7i6rv086mz26q7gpc3mla7-ypcb-ddr3-nextpnr-json-seed-12,/nix/store/hzjz7amdby7i6rv086mz26q7gpc3mla7-ypcb-ddr3-nextpnr-json-seed-12/ypcb_00338_1p1_ddr3.placed.json,6204491b165264e94c92523604e912a5c93449f5d2ddd976334b1a997fee1d9a,.#ypcb-ddr3-cvc-sdf-seed-12,/nix/store/fr68m6w20w2zx5bg6dr1wmj5s4i0a9vk-ypcb-ddr3-cvc-sdf-seed-12,/nix/store/fr68m6w20w2zx5bg6dr1wmj5s4i0a9vk-ypcb-ddr3-cvc-sdf-seed-12/ypcb_00338_1p1_ddr3.cvc.sdf,2058ffbe95470180c0455c402cfa992c3a2afd89af6c119ef65280c8b3e9d479,/nix/store/fr68m6w20w2zx5bg6dr1wmj5s4i0a9vk-ypcb-ddr3-cvc-sdf-seed-12/ypcb_00338_1p1_ddr3.placed.json,6204491b165264e94c92523604e912a5c93449f5d2ddd976334b1a997fee1d9a
baseline-no-lock-seed-13,baseline-no-lock,13,none,payload_v3_exact_abort,ypcb-fixes,8acf7df48d288aacf303c3483b71ccaab4a54db9,2026-05-30T10:57:40.725183+00:00,.#ypcb-ddr3-bitstream-seed-13,/nix/store/akvp04vymskv4bgbrfshn0w0nlw89yj0-ypcb-ddr3-bitstream-seed-13,/nix/store/akvp04vymskv4bgbrfshn0w0nlw89yj0-ypcb-ddr3-bitstream-seed-13/ypcb_00338_1p1_ddr3_openxc7.bit,8781863b8817fe40adbaa3b6aa8c8b63814f25c01bcbbf46099f0df5cac131e5,.#ypcb-ddr3-nextpnr-json-seed-13,/nix/store/92xq2mswx0m343wnn9vymi27vy0gjcq1-ypcb-ddr3-nextpnr-json-seed-13,/nix/store/92xq2mswx0m343wnn9vymi27vy0gjcq1-ypcb-ddr3-nextpnr-json-seed-13/ypcb_00338_1p1_ddr3.placed.json,438af0562553dddd56bd9c2b87b283b7de8da53175d571684b9eda648573a810,.#ypcb-ddr3-cvc-sdf-seed-13,/nix/store/920sll8fpiihpqqkqk1i0vjdqhz1k2mv-ypcb-ddr3-cvc-sdf-seed-13,/nix/store/920sll8fpiihpqqkqk1i0vjdqhz1k2mv-ypcb-ddr3-cvc-sdf-seed-13/ypcb_00338_1p1_ddr3.cvc.sdf,0ebf19b4037288f91dc35d3ce6de11259770c3dca381474fc3440588244029bc,/nix/store/920sll8fpiihpqqkqk1i0vjdqhz1k2mv-ypcb-ddr3-cvc-sdf-seed-13/ypcb_00338_1p1_ddr3.placed.json,438af0562553dddd56bd9c2b87b283b7de8da53175d571684b9eda648573a810
baseline-no-lock-seed-16,baseline-no-lock,16,none,payload_v3_exact_abort,ypcb-fixes,8acf7df48d288aacf303c3483b71ccaab4a54db9,2026-05-30T10:57:40.725183+00:00,.#ypcb-ddr3-bitstream-seed-16,/nix/store/55qln8xbcwcsdw3xg68h7z2fnlza834j-ypcb-ddr3-bitstream-seed-16,/nix/store/55qln8xbcwcsdw3xg68h7z2fnlza834j-ypcb-ddr3-bitstream-seed-16/ypcb_00338_1p1_ddr3_openxc7.bit,edfce5e32b013d3400d457f45b74bec9d84f9b6f7c62fe1c76cdb6ddfec029f5,.#ypcb-ddr3-nextpnr-json-seed-16,/nix/store/vq8gjjndi8rs7xn5bkwgp2pzqf9azc60-ypcb-ddr3-nextpnr-json-seed-16,/nix/store/vq8gjjndi8rs7xn5bkwgp2pzqf9azc60-ypcb-ddr3-nextpnr-json-seed-16/ypcb_00338_1p1_ddr3.placed.json,825dd9e99317bdf99447a4a0f82cbc214384c412068cd2303f5d006f1779c21f,.#ypcb-ddr3-cvc-sdf-seed-16,/nix/store/9hmhzlkdj37brg1gmllk97zfs9qfv4zy-ypcb-ddr3-cvc-sdf-seed-16,/nix/store/9hmhzlkdj37brg1gmllk97zfs9qfv4zy-ypcb-ddr3-cvc-sdf-seed-16/ypcb_00338_1p1_ddr3.cvc.sdf,bddd512e7341b2e5aa20c4a4f36b2b3cf7c55db913930d617256aeddeb90cb91,/nix/store/9hmhzlkdj37brg1gmllk97zfs9qfv4zy-ypcb-ddr3-cvc-sdf-seed-16/ypcb_00338_1p1_ddr3.placed.json,825dd9e99317bdf99447a4a0f82cbc214384c412068cd2303f5d006f1779c21f
baseline-no-lock-seed-20,baseline-no-lock,20,none,payload_v3_exact_abort,ypcb-fixes,8acf7df48d288aacf303c3483b71ccaab4a54db9,2026-05-30T10:57:40.725183+00:00,.#ypcb-ddr3-bitstream-seed-20,/nix/store/c3adwashza7c9843612l6wpibib0i373-ypcb-ddr3-bitstream-seed-20,/nix/store/c3adwashza7c9843612l6wpibib0i373-ypcb-ddr3-bitstream-seed-20/ypcb_00338_1p1_ddr3_openxc7.bit,e0cd763377736ab5d41cee07273c34652dea7b3419af7a985060338f9ad4e64a,.#ypcb-ddr3-nextpnr-json-seed-20,/nix/store/dm27rhd2h91fvcs7i66rxl4dnahwknz2-ypcb-ddr3-nextpnr-json-seed-20,/nix/store/dm27rhd2h91fvcs7i66rxl4dnahwknz2-ypcb-ddr3-nextpnr-json-seed-20/ypcb_00338_1p1_ddr3.placed.json,de76f2c6754dd5f2e313811cd7ec740ba0c281061ee4684fee908b0eb96db451,.#ypcb-ddr3-cvc-sdf-seed-20,/nix/store/rlhcwq15qimhhxrhzj9p8lw4y6w75qyi-ypcb-ddr3-cvc-sdf-seed-20,/nix/store/rlhcwq15qimhhxrhzj9p8lw4y6w75qyi-ypcb-ddr3-cvc-sdf-seed-20/ypcb_00338_1p1_ddr3.cvc.sdf,e9a3dae67bfa1d640a9240e6d997d58a1063800e2b6a1bf9b8825771c819db17,/nix/store/rlhcwq15qimhhxrhzj9p8lw4y6w75qyi-ypcb-ddr3-cvc-sdf-seed-20/ypcb_00338_1p1_ddr3.placed.json,de76f2c6754dd5f2e313811cd7ec740ba0c281061ee4684fee908b0eb96db451
