experiment_id,variant,seed,lock_set,observer_payload,repo_branch,repo_commit_at_build,build_completed_at_utc,bitstream_attr,bitstream_store_path,bitstream_file,bitstream_sha256,nextpnr_json_attr,nextpnr_json_store_path,nextpnr_json_file,nextpnr_json_sha256,cvc_sdf_attr,cvc_sdf_store_path,cvc_sdf_file,cvc_sdf_sha256,cvc_sdf_nextpnr_json_file,cvc_sdf_nextpnr_json_sha256
baseline-no-lock-seed-31,baseline-no-lock,31,none,payload_v3_exact_abort,ypcb-fixes,98edacc7b25519c9335d35d5ea485660d2b6157d,2026-05-28T11:16:39.719147+00:00,.#ypcb-ddr3-bitstream-seed-31,/nix/store/hxn2h7hr5yqlbk58f5yblay10f15l48j-ypcb-ddr3-bitstream-seed-31,/nix/store/hxn2h7hr5yqlbk58f5yblay10f15l48j-ypcb-ddr3-bitstream-seed-31/ypcb_00338_1p1_ddr3_openxc7.bit,f22104a4741d99f2550f94fa1b1da638cb802cb630f5869791c4e545809db1bc,.#ypcb-ddr3-nextpnr-json-seed-31,/nix/store/16y44kkbv1g68n8fvbpavaknm6ml2pph-ypcb-ddr3-nextpnr-json-seed-31,/nix/store/16y44kkbv1g68n8fvbpavaknm6ml2pph-ypcb-ddr3-nextpnr-json-seed-31/ypcb_00338_1p1_ddr3.placed.json,1503db2a365b35a3c6b336047186f4238055ba8e32135494bb8f1fe2a94aa90b,.#ypcb-ddr3-cvc-sdf-seed-31,/nix/store/rn6p13ihhvjbcn4pfs9wbcv975v23q64-ypcb-ddr3-cvc-sdf-seed-31,/nix/store/rn6p13ihhvjbcn4pfs9wbcv975v23q64-ypcb-ddr3-cvc-sdf-seed-31/ypcb_00338_1p1_ddr3.cvc.sdf,4126fd6cf9cc8cd274be7846fcd3700b862e8af26a050af256d3d8155de055c1,/nix/store/rn6p13ihhvjbcn4pfs9wbcv975v23q64-ypcb-ddr3-cvc-sdf-seed-31/ypcb_00338_1p1_ddr3.placed.json,1503db2a365b35a3c6b336047186f4238055ba8e32135494bb8f1fe2a94aa90b
cntvaluein3-skew-locked-seed-31,cntvaluein3-skew-locked,31,cntvaluein3_two_cell_bel_lock,payload_v3_exact_abort,ypcb-fixes,98edacc7b25519c9335d35d5ea485660d2b6157d,2026-05-28T11:16:39.719147+00:00,.#ypcb-ddr3-bitstream-seed-31-cntvaluein3-skew-locked,/nix/store/2j0gjd3vkbdb4695v1n8cby83w7fnis7-ypcb-ddr3-bitstream-seed-31-cntvaluein3-skew-locked,/nix/store/2j0gjd3vkbdb4695v1n8cby83w7fnis7-ypcb-ddr3-bitstream-seed-31-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,0145fcc0eeb48fb44a6a59a5c47b4ca89cb494a87f2e9dc938ac8f577f31a008,.#ypcb-ddr3-nextpnr-json-seed-31-cntvaluein3-skew-locked,/nix/store/ska3k63a4dvzfkx4i2hmy2xjg3lb07ls-ypcb-ddr3-nextpnr-json-seed-31-cntvaluein3-skew-locked,/nix/store/ska3k63a4dvzfkx4i2hmy2xjg3lb07ls-ypcb-ddr3-nextpnr-json-seed-31-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,712ed5ab10e9d112b5998ddc2f08b21521d7a6daedae211871123726faefe19e,.#ypcb-ddr3-cvc-sdf-seed-31-cntvaluein3-skew-locked,/nix/store/xnp6a5a97258bm9n1knbvn20a4wrg6yw-ypcb-ddr3-cvc-sdf-seed-31-cntvaluein3-skew-locked,/nix/store/xnp6a5a97258bm9n1knbvn20a4wrg6yw-ypcb-ddr3-cvc-sdf-seed-31-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,fd437779018bfc2c9706232e237a0f7863ba93a00d155f55c8f7234d0b939c30,/nix/store/xnp6a5a97258bm9n1knbvn20a4wrg6yw-ypcb-ddr3-cvc-sdf-seed-31-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,712ed5ab10e9d112b5998ddc2f08b21521d7a6daedae211871123726faefe19e
baseline-no-lock-seed-32,baseline-no-lock,32,none,payload_v3_exact_abort,ypcb-fixes,98edacc7b25519c9335d35d5ea485660d2b6157d,2026-05-28T11:16:39.719147+00:00,.#ypcb-ddr3-bitstream-seed-32,/nix/store/8ffgc1llnv26vpdkvw3fkilj0ssi32kk-ypcb-ddr3-bitstream-seed-32,/nix/store/8ffgc1llnv26vpdkvw3fkilj0ssi32kk-ypcb-ddr3-bitstream-seed-32/ypcb_00338_1p1_ddr3_openxc7.bit,32572c8d91d7d784116f3947daecca13a0d64fc784c08868bff4b2c43edf91d3,.#ypcb-ddr3-nextpnr-json-seed-32,/nix/store/pr35b486mvpjbyvmihrmbqv2xk9pjhrv-ypcb-ddr3-nextpnr-json-seed-32,/nix/store/pr35b486mvpjbyvmihrmbqv2xk9pjhrv-ypcb-ddr3-nextpnr-json-seed-32/ypcb_00338_1p1_ddr3.placed.json,96f2c6e435a24303d4f346dc179b8df6b6f3c56afa94d9168647ff2df7803580,.#ypcb-ddr3-cvc-sdf-seed-32,/nix/store/sdsvgyx8pf6m7fifnn98863wqrbiw4az-ypcb-ddr3-cvc-sdf-seed-32,/nix/store/sdsvgyx8pf6m7fifnn98863wqrbiw4az-ypcb-ddr3-cvc-sdf-seed-32/ypcb_00338_1p1_ddr3.cvc.sdf,a2bbb5155a940f194150ab6fd016a7077590b422ff8330b13db0559b44affe2f,/nix/store/sdsvgyx8pf6m7fifnn98863wqrbiw4az-ypcb-ddr3-cvc-sdf-seed-32/ypcb_00338_1p1_ddr3.placed.json,96f2c6e435a24303d4f346dc179b8df6b6f3c56afa94d9168647ff2df7803580
cntvaluein3-skew-locked-seed-32,cntvaluein3-skew-locked,32,cntvaluein3_two_cell_bel_lock,payload_v3_exact_abort,ypcb-fixes,98edacc7b25519c9335d35d5ea485660d2b6157d,2026-05-28T11:16:39.719147+00:00,.#ypcb-ddr3-bitstream-seed-32-cntvaluein3-skew-locked,/nix/store/y584al9wn2883z2bd1mspg37pbdmwdfg-ypcb-ddr3-bitstream-seed-32-cntvaluein3-skew-locked,/nix/store/y584al9wn2883z2bd1mspg37pbdmwdfg-ypcb-ddr3-bitstream-seed-32-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,d99a6745e5f4f55189a813879d656c5c6593ac92a00b9f1c55a5a18a3a2675d1,.#ypcb-ddr3-nextpnr-json-seed-32-cntvaluein3-skew-locked,/nix/store/9jzpy99k6xm72ifd17qw2q8c7baa30j8-ypcb-ddr3-nextpnr-json-seed-32-cntvaluein3-skew-locked,/nix/store/9jzpy99k6xm72ifd17qw2q8c7baa30j8-ypcb-ddr3-nextpnr-json-seed-32-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,3c6bc03d7550d2098dcbb96be63dd6e4b58624867feb496e320c025d48a096eb,.#ypcb-ddr3-cvc-sdf-seed-32-cntvaluein3-skew-locked,/nix/store/2ik576xdlabgwahzcj14ivskzdhs9jy8-ypcb-ddr3-cvc-sdf-seed-32-cntvaluein3-skew-locked,/nix/store/2ik576xdlabgwahzcj14ivskzdhs9jy8-ypcb-ddr3-cvc-sdf-seed-32-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,f1183ad5367ee95ca2fd17ae9ef547034e48d144b28da48031d2de6a375699a0,/nix/store/2ik576xdlabgwahzcj14ivskzdhs9jy8-ypcb-ddr3-cvc-sdf-seed-32-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,3c6bc03d7550d2098dcbb96be63dd6e4b58624867feb496e320c025d48a096eb
baseline-no-lock-seed-33,baseline-no-lock,33,none,payload_v3_exact_abort,ypcb-fixes,98edacc7b25519c9335d35d5ea485660d2b6157d,2026-05-28T11:16:39.719147+00:00,.#ypcb-ddr3-bitstream-seed-33,/nix/store/l3yysz1k594bh0pqhzrak4hk3n07v03s-ypcb-ddr3-bitstream-seed-33,/nix/store/l3yysz1k594bh0pqhzrak4hk3n07v03s-ypcb-ddr3-bitstream-seed-33/ypcb_00338_1p1_ddr3_openxc7.bit,004328651c38e104ae405f6c555db74f5f6f02589687a2274170dd2c021fb553,.#ypcb-ddr3-nextpnr-json-seed-33,/nix/store/hh98a41hd8925h3sgfdk5igirrv9skii-ypcb-ddr3-nextpnr-json-seed-33,/nix/store/hh98a41hd8925h3sgfdk5igirrv9skii-ypcb-ddr3-nextpnr-json-seed-33/ypcb_00338_1p1_ddr3.placed.json,1af5150a31b372721fbbc3aa7a9d6c5b5ac61ba2aebd00e670c5ced11b9dba95,.#ypcb-ddr3-cvc-sdf-seed-33,/nix/store/qisixd74jjx6p26nbv2wrdy18wvsk5p1-ypcb-ddr3-cvc-sdf-seed-33,/nix/store/qisixd74jjx6p26nbv2wrdy18wvsk5p1-ypcb-ddr3-cvc-sdf-seed-33/ypcb_00338_1p1_ddr3.cvc.sdf,c0583b5efd27d3ea5aa784ddd2bc2dc0a7362e16a4308f9101a7e60e214f2108,/nix/store/qisixd74jjx6p26nbv2wrdy18wvsk5p1-ypcb-ddr3-cvc-sdf-seed-33/ypcb_00338_1p1_ddr3.placed.json,1af5150a31b372721fbbc3aa7a9d6c5b5ac61ba2aebd00e670c5ced11b9dba95
cntvaluein3-skew-locked-seed-33,cntvaluein3-skew-locked,33,cntvaluein3_two_cell_bel_lock,payload_v3_exact_abort,ypcb-fixes,98edacc7b25519c9335d35d5ea485660d2b6157d,2026-05-28T11:16:39.719147+00:00,.#ypcb-ddr3-bitstream-seed-33-cntvaluein3-skew-locked,/nix/store/skls0ilpwcyh8kdr6kazpwlk4b35kvjp-ypcb-ddr3-bitstream-seed-33-cntvaluein3-skew-locked,/nix/store/skls0ilpwcyh8kdr6kazpwlk4b35kvjp-ypcb-ddr3-bitstream-seed-33-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,b4a3a04940439db650ec6dd5a9dfdecbc59fccece75711d9a18987342b4c3227,.#ypcb-ddr3-nextpnr-json-seed-33-cntvaluein3-skew-locked,/nix/store/njk4rks488ah3zixycbqqz9m5wlrbv6a-ypcb-ddr3-nextpnr-json-seed-33-cntvaluein3-skew-locked,/nix/store/njk4rks488ah3zixycbqqz9m5wlrbv6a-ypcb-ddr3-nextpnr-json-seed-33-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,ab5aa2a03538393ee0d67eeb45446d9425892cb2bb2fc98e03a31c6368ef9d55,.#ypcb-ddr3-cvc-sdf-seed-33-cntvaluein3-skew-locked,/nix/store/538193v05gkbxwyzvr8cya1cp9kvnkjj-ypcb-ddr3-cvc-sdf-seed-33-cntvaluein3-skew-locked,/nix/store/538193v05gkbxwyzvr8cya1cp9kvnkjj-ypcb-ddr3-cvc-sdf-seed-33-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,4dc051dad44a8547753d524bd8864607cf5585378c51b879d1c0b56d33b519b2,/nix/store/538193v05gkbxwyzvr8cya1cp9kvnkjj-ypcb-ddr3-cvc-sdf-seed-33-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,ab5aa2a03538393ee0d67eeb45446d9425892cb2bb2fc98e03a31c6368ef9d55
baseline-no-lock-seed-34,baseline-no-lock,34,none,payload_v3_exact_abort,ypcb-fixes,98edacc7b25519c9335d35d5ea485660d2b6157d,2026-05-28T11:16:39.719147+00:00,.#ypcb-ddr3-bitstream-seed-34,/nix/store/n8pp80kbr9qny5pndxws12rz93d39z2x-ypcb-ddr3-bitstream-seed-34,/nix/store/n8pp80kbr9qny5pndxws12rz93d39z2x-ypcb-ddr3-bitstream-seed-34/ypcb_00338_1p1_ddr3_openxc7.bit,6d7940a1a2904175efb8a3dfedcce350d35da4b4b463976515742b8372309674,.#ypcb-ddr3-nextpnr-json-seed-34,/nix/store/45xvy0vi98d6py90qfhp020iavd7gcwi-ypcb-ddr3-nextpnr-json-seed-34,/nix/store/45xvy0vi98d6py90qfhp020iavd7gcwi-ypcb-ddr3-nextpnr-json-seed-34/ypcb_00338_1p1_ddr3.placed.json,bae1716a8920beadaa40e4e31b7008401b7f92f6bff678e5e7487221b3ebe3c0,.#ypcb-ddr3-cvc-sdf-seed-34,/nix/store/3560jfrb1q25gj4vpjl4673wnfddhyn4-ypcb-ddr3-cvc-sdf-seed-34,/nix/store/3560jfrb1q25gj4vpjl4673wnfddhyn4-ypcb-ddr3-cvc-sdf-seed-34/ypcb_00338_1p1_ddr3.cvc.sdf,38e63f279490d71dd2575a9193cb7a35143327dd206208e12cbdb18b25e943a8,/nix/store/3560jfrb1q25gj4vpjl4673wnfddhyn4-ypcb-ddr3-cvc-sdf-seed-34/ypcb_00338_1p1_ddr3.placed.json,bae1716a8920beadaa40e4e31b7008401b7f92f6bff678e5e7487221b3ebe3c0
cntvaluein3-skew-locked-seed-34,cntvaluein3-skew-locked,34,cntvaluein3_two_cell_bel_lock,payload_v3_exact_abort,ypcb-fixes,98edacc7b25519c9335d35d5ea485660d2b6157d,2026-05-28T11:16:39.719147+00:00,.#ypcb-ddr3-bitstream-seed-34-cntvaluein3-skew-locked,/nix/store/jakfdqi12jzsyagn1wlxdh05ax4iy87m-ypcb-ddr3-bitstream-seed-34-cntvaluein3-skew-locked,/nix/store/jakfdqi12jzsyagn1wlxdh05ax4iy87m-ypcb-ddr3-bitstream-seed-34-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,6a5425816e6abb68919bd3813d21933456eb190859c58a7387aa0283565e40c5,.#ypcb-ddr3-nextpnr-json-seed-34-cntvaluein3-skew-locked,/nix/store/b0digs9gg8q85pdb5vjhxg19v80b93nc-ypcb-ddr3-nextpnr-json-seed-34-cntvaluein3-skew-locked,/nix/store/b0digs9gg8q85pdb5vjhxg19v80b93nc-ypcb-ddr3-nextpnr-json-seed-34-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,02463b7bd214ab289fc5a02673ab9cd51df59aac1e12743ddc1323756dd50489,.#ypcb-ddr3-cvc-sdf-seed-34-cntvaluein3-skew-locked,/nix/store/kxvyljhsvj02r2jp2xwf7pz8lm62ip10-ypcb-ddr3-cvc-sdf-seed-34-cntvaluein3-skew-locked,/nix/store/kxvyljhsvj02r2jp2xwf7pz8lm62ip10-ypcb-ddr3-cvc-sdf-seed-34-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,397f57aad2ffa485c97fcff7a76d4fc2f79f10762d9e90d583ab504cf529301d,/nix/store/kxvyljhsvj02r2jp2xwf7pz8lm62ip10-ypcb-ddr3-cvc-sdf-seed-34-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,02463b7bd214ab289fc5a02673ab9cd51df59aac1e12743ddc1323756dd50489
baseline-no-lock-seed-35,baseline-no-lock,35,none,payload_v3_exact_abort,ypcb-fixes,98edacc7b25519c9335d35d5ea485660d2b6157d,2026-05-28T11:16:39.719147+00:00,.#ypcb-ddr3-bitstream-seed-35,/nix/store/jpds4drl8b4ng67rkwcf0si60znnjzir-ypcb-ddr3-bitstream-seed-35,/nix/store/jpds4drl8b4ng67rkwcf0si60znnjzir-ypcb-ddr3-bitstream-seed-35/ypcb_00338_1p1_ddr3_openxc7.bit,b2408d071dbe487801e941aeb0adf001753143c5392fb40280c5629c141876c7,.#ypcb-ddr3-nextpnr-json-seed-35,/nix/store/6c9ch3zyi7dkci1kzp8r3ip7v8avsgpl-ypcb-ddr3-nextpnr-json-seed-35,/nix/store/6c9ch3zyi7dkci1kzp8r3ip7v8avsgpl-ypcb-ddr3-nextpnr-json-seed-35/ypcb_00338_1p1_ddr3.placed.json,599612f5ec1c4cce2bcf5e1d5e1c929fd1c8cee51871eb503f35a86f4395bc5b,.#ypcb-ddr3-cvc-sdf-seed-35,/nix/store/gnf2c27sxn1vf61nmmvzkw3yjjda4q1b-ypcb-ddr3-cvc-sdf-seed-35,/nix/store/gnf2c27sxn1vf61nmmvzkw3yjjda4q1b-ypcb-ddr3-cvc-sdf-seed-35/ypcb_00338_1p1_ddr3.cvc.sdf,4c6c1db6874e7d64310dce3e08b27282e0b912623d1a28ac1c481d022bf196d3,/nix/store/gnf2c27sxn1vf61nmmvzkw3yjjda4q1b-ypcb-ddr3-cvc-sdf-seed-35/ypcb_00338_1p1_ddr3.placed.json,599612f5ec1c4cce2bcf5e1d5e1c929fd1c8cee51871eb503f35a86f4395bc5b
cntvaluein3-skew-locked-seed-35,cntvaluein3-skew-locked,35,cntvaluein3_two_cell_bel_lock,payload_v3_exact_abort,ypcb-fixes,98edacc7b25519c9335d35d5ea485660d2b6157d,2026-05-28T11:16:39.719147+00:00,.#ypcb-ddr3-bitstream-seed-35-cntvaluein3-skew-locked,/nix/store/6xnan3ssw637h2ipdfs471i56dr38d44-ypcb-ddr3-bitstream-seed-35-cntvaluein3-skew-locked,/nix/store/6xnan3ssw637h2ipdfs471i56dr38d44-ypcb-ddr3-bitstream-seed-35-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,8a93de658594853e1ebcc2ed2511255ccc6a2293332b19edc164c1e09badf98b,.#ypcb-ddr3-nextpnr-json-seed-35-cntvaluein3-skew-locked,/nix/store/pac48h93z9jsvk9gay4r31fwy35jcfz5-ypcb-ddr3-nextpnr-json-seed-35-cntvaluein3-skew-locked,/nix/store/pac48h93z9jsvk9gay4r31fwy35jcfz5-ypcb-ddr3-nextpnr-json-seed-35-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,39c683a6b5a04c075c2a0dda014d8e3c298f543a97db411937bf416719f9df00,.#ypcb-ddr3-cvc-sdf-seed-35-cntvaluein3-skew-locked,/nix/store/yv02j7q5rwgm16f4pc4g1siq7r3m6bd8-ypcb-ddr3-cvc-sdf-seed-35-cntvaluein3-skew-locked,/nix/store/yv02j7q5rwgm16f4pc4g1siq7r3m6bd8-ypcb-ddr3-cvc-sdf-seed-35-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,1c83db2ed10a5633e0859c71df4fd45ccf3c97b4285b72df6d7ad7f0189a665d,/nix/store/yv02j7q5rwgm16f4pc4g1siq7r3m6bd8-ypcb-ddr3-cvc-sdf-seed-35-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,39c683a6b5a04c075c2a0dda014d8e3c298f543a97db411937bf416719f9df00
