trial,seed,returncode,pass,fail_reasons,state_calibrate,instruction_address,wrong_read_data,abort_reason_name,abort_lane,abort_start_index_check,abort_dq_target_index,started_at,elapsed_s,result_json,result_log
2,1,0,True,,23,22,0,none,0,0,0,2026-05-27T19:33:31.029964+00:00,35.200,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-1-trial-02.json,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-1-trial-02.log
2,2,2,False,"calib_incomplete,calib_state_not_done,bist_not_done",0,1,0,check_starting_data_search_exhausted,1,48,33,2026-05-27T19:34:06.231031+00:00,71.550,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-2-trial-02.json,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-2-trial-02.log
2,3,0,True,,23,22,0,none,0,0,0,2026-05-27T19:35:17.781887+00:00,35.243,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-3-trial-02.json,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-3-trial-02.log
2,4,0,True,,23,22,0,none,0,0,0,2026-05-27T19:35:53.025723+00:00,35.144,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-4-trial-02.json,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-4-trial-02.log
2,5,0,True,,23,22,0,none,0,0,0,2026-05-27T19:36:28.169878+00:00,35.259,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-5-trial-02.json,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-5-trial-02.log
2,6,2,False,"calib_incomplete,calib_state_not_done,bist_not_done",0,1,0,check_starting_data_search_exhausted,0,48,33,2026-05-27T19:37:03.429305+00:00,71.643,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-6-trial-02.json,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-6-trial-02.log
2,7,0,True,,23,22,0,none,0,0,0,2026-05-27T19:38:15.073166+00:00,35.136,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-7-trial-02.json,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-7-trial-02.log
2,8,0,True,,23,22,0,none,0,0,0,2026-05-27T19:38:50.209442+00:00,35.225,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-8-trial-02.json,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-8-trial-02.log
2,9,0,True,,23,21,0,none,0,0,0,2026-05-27T19:39:25.435395+00:00,35.118,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-9-trial-02.json,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-9-trial-02.log
2,10,0,True,,23,22,0,none,0,0,0,2026-05-27T19:40:00.554265+00:00,35.247,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-10-trial-02.json,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-10-trial-02.log
2,11,2,False,"calib_incomplete,calib_state_not_done,bist_not_done",0,1,0,check_starting_data_search_exhausted,0,48,33,2026-05-27T19:40:35.801973+00:00,71.450,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-11-trial-02.json,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-11-trial-02.log
2,12,2,False,"calib_incomplete,calib_state_not_done,bist_not_done",0,2,0,check_starting_data_search_exhausted,0,48,33,2026-05-27T19:41:47.252086+00:00,71.602,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-12-trial-02.json,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-12-trial-02.log
2,13,0,True,,23,22,0,none,0,0,0,2026-05-27T19:42:58.854754+00:00,35.111,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-13-trial-02.json,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-13-trial-02.log
2,14,0,True,,23,22,0,none,0,0,0,2026-05-27T19:43:33.966009+00:00,35.236,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-14-trial-02.json,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-14-trial-02.log
2,15,0,True,,23,22,0,none,0,0,0,2026-05-27T19:44:09.202513+00:00,35.178,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-15-trial-02.json,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-15-trial-02.log
2,16,2,False,"calib_incomplete,calib_state_not_done,bist_not_done",2,13,0,none,0,0,0,2026-05-27T19:44:44.380710+00:00,71.925,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-16-trial-02.json,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-16-trial-02.log
2,17,0,True,,23,22,0,none,0,0,0,2026-05-27T19:45:56.306393+00:00,35.224,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-17-trial-02.json,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-17-trial-02.log
2,18,0,True,,23,22,0,none,0,0,0,2026-05-27T19:46:31.531281+00:00,35.216,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-18-trial-02.json,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-18-trial-02.log
2,19,0,True,,23,22,0,none,0,0,0,2026-05-27T19:47:06.747974+00:00,35.189,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-19-trial-02.json,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-19-trial-02.log
2,20,2,False,"calib_incomplete,calib_state_not_done,bist_not_done",0,2,0,check_starting_data_search_exhausted,0,48,33,2026-05-27T19:47:41.937918+00:00,71.674,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-20-trial-02.json,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-20-trial-02.log
2,21,0,True,,23,22,0,none,0,0,0,2026-05-27T19:48:53.612803+00:00,35.175,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-21-trial-02.json,artifacts/hardware/baseline-no-lock-seed-1-30-repeatability/trial-02/baseline-no-lock-seed-21-trial-02.log
