seed,trial1_pass,trial2_pass,stable_pass_fail,trial1_state,trial2_state,stable_state,trial1_abort_reason,trial2_abort_reason,stable_abort_reason,trial1_abort_lane,trial2_abort_lane,trial1_abort_start_index_check,trial2_abort_start_index_check,trial1_abort_dq_target_index,trial2_abort_dq_target_index,classification
1,True,True,True,23,23,True,none,none,True,0,0,0,0,0,0,stable_pass
2,False,False,True,0,0,True,check_starting_data_search_exhausted,check_starting_data_search_exhausted,True,1,1,48,48,33,33,stable_reason2_fail
3,True,True,True,23,23,True,none,none,True,0,0,0,0,0,0,stable_pass
4,True,True,True,23,23,True,none,none,True,0,0,0,0,0,0,stable_pass
5,True,True,True,23,23,True,none,none,True,0,0,0,0,0,0,stable_pass
6,False,False,True,0,0,True,check_starting_data_search_exhausted,check_starting_data_search_exhausted,True,0,0,48,48,33,33,stable_reason2_fail
7,True,True,True,23,23,True,none,none,True,0,0,0,0,0,0,stable_pass
8,True,True,True,23,23,True,none,none,True,0,0,0,0,0,0,stable_pass
9,True,True,True,23,23,True,none,none,True,0,0,0,0,0,0,stable_pass
10,True,True,True,23,23,True,none,none,True,0,0,0,0,0,0,stable_pass
11,False,False,True,0,0,True,check_starting_data_search_exhausted,check_starting_data_search_exhausted,True,0,0,48,48,33,33,stable_reason2_fail
12,False,False,True,0,0,True,check_starting_data_search_exhausted,check_starting_data_search_exhausted,True,0,0,48,48,33,33,stable_reason2_fail
13,True,True,True,23,23,True,none,none,True,0,0,0,0,0,0,stable_pass
14,True,True,True,23,23,True,none,none,True,0,0,0,0,0,0,stable_pass
15,True,True,True,23,23,True,none,none,True,0,0,0,0,0,0,stable_pass
16,False,False,True,3,2,False,none,none,True,0,0,0,0,0,0,stable_fail_state_varies
17,True,True,True,23,23,True,none,none,True,0,0,0,0,0,0,stable_pass
18,True,True,True,23,23,True,none,none,True,0,0,0,0,0,0,stable_pass
19,True,True,True,23,23,True,none,none,True,0,0,0,0,0,0,stable_pass
20,False,False,True,0,0,True,check_starting_data_search_exhausted,check_starting_data_search_exhausted,True,0,0,48,48,33,33,stable_reason2_fail
21,True,True,True,23,23,True,none,none,True,0,0,0,0,0,0,stable_pass
22,True,True,True,23,23,True,none,none,True,0,0,0,0,0,0,stable_pass
23,False,False,True,0,0,True,check_starting_data_search_exhausted,check_starting_data_search_exhausted,True,0,0,48,48,33,33,stable_reason2_fail
24,True,True,True,23,23,True,none,none,True,0,0,0,0,0,0,stable_pass
25,True,True,True,23,23,True,none,none,True,0,0,0,0,0,0,stable_pass
26,True,True,True,23,23,True,none,none,True,0,0,0,0,0,0,stable_pass
27,False,False,True,0,0,True,check_starting_data_search_exhausted,check_starting_data_search_exhausted,True,0,0,48,48,33,33,stable_reason2_fail
28,True,True,True,23,23,True,none,none,True,0,0,0,0,0,0,stable_pass
29,True,True,True,23,23,True,none,none,True,0,0,0,0,0,0,stable_pass
30,True,True,True,23,23,True,none,none,True,0,0,0,0,0,0,stable_pass
