seed,returncode,pass,fail_reasons,state_calibrate,wrong_read_data,started_at,elapsed_s,result_json,result_log
1,0,True,,23,0,2026-05-27T18:57:35.110850+00:00,35.139,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-1.json,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-1.log
2,2,False,"calib_incomplete,calib_state_not_done,bist_not_done",0,0,2026-05-27T18:58:10.250575+00:00,41.058,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-2.json,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-2.log
3,0,True,,23,0,2026-05-27T18:58:51.309626+00:00,35.156,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-3.json,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-3.log
4,0,True,,23,0,2026-05-27T18:59:26.466011+00:00,35.115,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-4.json,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-4.log
5,0,True,,23,0,2026-05-27T19:00:01.581380+00:00,35.208,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-5.json,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-5.log
6,2,False,"calib_incomplete,calib_state_not_done,bist_not_done",0,0,2026-05-27T19:00:36.790544+00:00,40.981,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-6.json,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-6.log
7,0,True,,23,0,2026-05-27T19:01:17.772143+00:00,35.253,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-7.json,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-7.log
8,0,True,,23,0,2026-05-27T19:01:53.025360+00:00,35.238,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-8.json,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-8.log
9,0,True,,23,0,2026-05-27T19:02:28.264190+00:00,35.226,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-9.json,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-9.log
10,0,True,,23,0,2026-05-27T19:03:03.490657+00:00,35.216,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-10.json,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-10.log
11,2,False,"calib_incomplete,calib_state_not_done,bist_not_done",0,0,2026-05-27T19:03:38.706849+00:00,40.967,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-11.json,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-11.log
12,2,False,"calib_incomplete,calib_state_not_done,bist_not_done",0,0,2026-05-27T19:04:19.674958+00:00,40.997,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-12.json,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-12.log
13,0,True,,23,0,2026-05-27T19:05:00.672208+00:00,35.209,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-13.json,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-13.log
14,0,True,,23,0,2026-05-27T19:05:35.881762+00:00,35.203,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-14.json,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-14.log
15,0,True,,23,0,2026-05-27T19:06:11.085797+00:00,35.164,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-15.json,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-15.log
