experiment_id,seed,variant,bitstream,result_json,log,returncode,status
baseline-no-lock-seed-2,2,baseline-no-lock,/nix/store/9xpq0b4yv0l59pjnawaldi9jx1biq6xr-ypcb-ddr3-bitstream-seed-2/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/repeat-baseline-no-lock-seed-1-60-current2-poll200/baseline-no-lock-seed-2.json,artifacts/hardware/repeat-baseline-no-lock-seed-1-60-current2-poll200/baseline-no-lock-seed-2.log,0,pass
baseline-no-lock-seed-3,3,baseline-no-lock,/nix/store/3mib0dg5jf5v8yml8lmdxjd1c5q35nhy-ypcb-ddr3-bitstream-seed-3/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/repeat-baseline-no-lock-seed-1-60-current2-poll200/baseline-no-lock-seed-3.json,artifacts/hardware/repeat-baseline-no-lock-seed-1-60-current2-poll200/baseline-no-lock-seed-3.log,2,fail
baseline-no-lock-seed-5,5,baseline-no-lock,/nix/store/v097mnc0mhjm5ywc2i24fnq52z8z79bf-ypcb-ddr3-bitstream-seed-5/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/repeat-baseline-no-lock-seed-1-60-current2-poll200/baseline-no-lock-seed-5.json,artifacts/hardware/repeat-baseline-no-lock-seed-1-60-current2-poll200/baseline-no-lock-seed-5.log,0,pass
baseline-no-lock-seed-6,6,baseline-no-lock,/nix/store/3nsl4zpb8wsilf85xp87ph6fy4prcln0-ypcb-ddr3-bitstream-seed-6/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/repeat-baseline-no-lock-seed-1-60-current2-poll200/baseline-no-lock-seed-6.json,artifacts/hardware/repeat-baseline-no-lock-seed-1-60-current2-poll200/baseline-no-lock-seed-6.log,0,pass
baseline-no-lock-seed-10,10,baseline-no-lock,/nix/store/jg1a31z90zdlvnw7kjgw6mmzhzl4lq06-ypcb-ddr3-bitstream-seed-10/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/repeat-baseline-no-lock-seed-1-60-current2-poll200/baseline-no-lock-seed-10.json,artifacts/hardware/repeat-baseline-no-lock-seed-1-60-current2-poll200/baseline-no-lock-seed-10.log,2,fail
baseline-no-lock-seed-11,11,baseline-no-lock,/nix/store/pfcnv6fadpz69x2asi90q5lw543hb8c3-ypcb-ddr3-bitstream-seed-11/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/repeat-baseline-no-lock-seed-1-60-current2-poll200/baseline-no-lock-seed-11.json,artifacts/hardware/repeat-baseline-no-lock-seed-1-60-current2-poll200/baseline-no-lock-seed-11.log,0,pass
baseline-no-lock-seed-12,12,baseline-no-lock,/nix/store/v4c81czz0vg2v294ggc4bnfhm8fw2nn2-ypcb-ddr3-bitstream-seed-12/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/repeat-baseline-no-lock-seed-1-60-current2-poll200/baseline-no-lock-seed-12.json,artifacts/hardware/repeat-baseline-no-lock-seed-1-60-current2-poll200/baseline-no-lock-seed-12.log,0,pass
baseline-no-lock-seed-13,13,baseline-no-lock,/nix/store/akvp04vymskv4bgbrfshn0w0nlw89yj0-ypcb-ddr3-bitstream-seed-13/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/repeat-baseline-no-lock-seed-1-60-current2-poll200/baseline-no-lock-seed-13.json,artifacts/hardware/repeat-baseline-no-lock-seed-1-60-current2-poll200/baseline-no-lock-seed-13.log,2,fail
baseline-no-lock-seed-16,16,baseline-no-lock,/nix/store/55qln8xbcwcsdw3xg68h7z2fnlza834j-ypcb-ddr3-bitstream-seed-16/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/repeat-baseline-no-lock-seed-1-60-current2-poll200/baseline-no-lock-seed-16.json,artifacts/hardware/repeat-baseline-no-lock-seed-1-60-current2-poll200/baseline-no-lock-seed-16.log,0,pass
baseline-no-lock-seed-20,20,baseline-no-lock,/nix/store/c3adwashza7c9843612l6wpibib0i373-ypcb-ddr3-bitstream-seed-20/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/repeat-baseline-no-lock-seed-1-60-current2-poll200/baseline-no-lock-seed-20.json,artifacts/hardware/repeat-baseline-no-lock-seed-1-60-current2-poll200/baseline-no-lock-seed-20.log,0,pass
