experiment_id,seed,variant,bitstream,result_json,log,returncode,status
baseline-no-lock-seed-31,31,baseline-no-lock,/nix/store/hxn2h7hr5yqlbk58f5yblay10f15l48j-ypcb-ddr3-bitstream-seed-31/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-31.json,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-31.log,2,fail
cntvaluein3-skew-locked-seed-31,31,cntvaluein3-skew-locked,/nix/store/2j0gjd3vkbdb4695v1n8cby83w7fnis7-ypcb-ddr3-bitstream-seed-31-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-31.json,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-31.log,0,pass
baseline-no-lock-seed-32,32,baseline-no-lock,/nix/store/8ffgc1llnv26vpdkvw3fkilj0ssi32kk-ypcb-ddr3-bitstream-seed-32/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-32.json,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-32.log,2,fail
cntvaluein3-skew-locked-seed-32,32,cntvaluein3-skew-locked,/nix/store/y584al9wn2883z2bd1mspg37pbdmwdfg-ypcb-ddr3-bitstream-seed-32-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-32.json,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-32.log,0,pass
baseline-no-lock-seed-33,33,baseline-no-lock,/nix/store/l3yysz1k594bh0pqhzrak4hk3n07v03s-ypcb-ddr3-bitstream-seed-33/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-33.json,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-33.log,0,pass
cntvaluein3-skew-locked-seed-33,33,cntvaluein3-skew-locked,/nix/store/skls0ilpwcyh8kdr6kazpwlk4b35kvjp-ypcb-ddr3-bitstream-seed-33-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-33.json,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-33.log,2,fail
baseline-no-lock-seed-34,34,baseline-no-lock,/nix/store/n8pp80kbr9qny5pndxws12rz93d39z2x-ypcb-ddr3-bitstream-seed-34/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-34.json,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-34.log,2,fail
cntvaluein3-skew-locked-seed-34,34,cntvaluein3-skew-locked,/nix/store/jakfdqi12jzsyagn1wlxdh05ax4iy87m-ypcb-ddr3-bitstream-seed-34-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-34.json,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-34.log,0,pass
baseline-no-lock-seed-35,35,baseline-no-lock,/nix/store/jpds4drl8b4ng67rkwcf0si60znnjzir-ypcb-ddr3-bitstream-seed-35/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-35.json,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-35.log,0,pass
cntvaluein3-skew-locked-seed-35,35,cntvaluein3-skew-locked,/nix/store/6xnan3ssw637h2ipdfs471i56dr38d44-ypcb-ddr3-bitstream-seed-35-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-35.json,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-35.log,0,pass
