delta_ps,good_ps,bad_ps,bad_lane,bad_bit,bad_families,key,good_text,bad_text
5981.0,439.0,6420.0,all,,['other'],INTERCONNECT:ddr3_top_inst.ddr3_controller_inst.check_test_address_counter[5]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$42594.Q ddr3_top_inst\.ddr3_controller_inst\.check_test_address_counter\[5\]\$LUT\$788.A1 (439:439:439) (439:439:439)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_controller_inst\.check_test_address_counter\[5\]\$LUT\$788.A1 (6420:6420:6420) (6420:6420:6420))
5755.0,395.0,6150.0,all,,['other'],INTERCONNECT:ddr3_top_inst.ddr3_controller_inst.dqs_count_repeat[2]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$42728.Q ddr3_top_inst\.ddr3_controller_inst\.dqs_count_repeat\[2\]\$LUT\$178.A1 (395:395:395) (395:395:395)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_controller_inst\.dqs_count_repeat\[2\]\$LUT\$178.A1 (6150:6150:6150) (6150:6150:6150))
5658.0,731.0,6389.0,all,,['calibration_fsm'],INTERCONNECT:ddr3_top_inst.ddr3_controller_inst.dqs_start_index_stored[1]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$42736.Q ddr3_top_inst\.ddr3_controller_inst\.dqs_start_index_stored\[1\]\$LUT\$484.A1 (731:731:731) (731:731:731)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_controller_inst\.dqs_start_index_stored\[1\]\$LUT\$484.A1 (6389:6389:6389) (6389:6389:6389))
4927.0,337.0,5264.0,all,,['other'],INTERCONNECT:ddr3_top_inst.ddr3_controller_inst.write_test_address_counter[20]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43219.Q ddr3_top_inst\.ddr3_controller_inst\.write_test_address_counter\[20\]\$LUT\$340.A1 (337:337:337) (337:337:337)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_controller_inst\.write_test_address_counter\[20\]\$LUT\$340.A1 (5264:5264:5264) (5264:5264:5264))
4905.0,419.0,5324.0,all,,['other'],INTERCONNECT:ddr3_top_inst.ddr3_controller_inst.write_test_address_counter[10]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43209.Q ddr3_top_inst\.ddr3_controller_inst\.write_test_address_counter\[10\]\$LUT\$300.A1 (419:419:419) (419:419:419)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_controller_inst\.write_test_address_counter\[10\]\$LUT\$300.A1 (5324:5324:5324) (5324:5324:5324))
4876.0,419.0,5295.0,all,,['other'],INTERCONNECT:ddr3_top_inst.ddr3_controller_inst.write_test_address_counter[14]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43213.Q ddr3_top_inst\.ddr3_controller_inst\.write_test_address_counter\[14\]\$LUT\$316.A1 (419:419:419) (419:419:419)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_controller_inst\.write_test_address_counter\[14\]\$LUT\$316.A1 (5295:5295:5295) (5295:5295:5295))
4876.0,419.0,5295.0,all,,['other'],INTERCONNECT:ddr3_top_inst.ddr3_controller_inst.write_test_address_counter[15]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43214.Q ddr3_top_inst\.ddr3_controller_inst\.write_test_address_counter\[15\]\$LUT\$320.A1 (419:419:419) (419:419:419)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_controller_inst\.write_test_address_counter\[15\]\$LUT\$320.A1 (5295:5295:5295) (5295:5295:5295))
4795.0,469.0,5264.0,all,,['other'],INTERCONNECT:ddr3_top_inst.ddr3_controller_inst.write_test_address_counter[21]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43220.Q ddr3_top_inst\.ddr3_controller_inst\.write_test_address_counter\[21\]\$LUT\$344.A1 (469:469:469) (469:469:469)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_controller_inst\.write_test_address_counter\[21\]\$LUT\$344.A1 (5264:5264:5264) (5264:5264:5264))
4778.0,472.0,5250.0,all,,['calibration_fsm'],INTERCONNECT:ddr3_top_inst.ddr3_controller_inst.calib_addr[19]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$29967.Q ddr3_top_inst\.ddr3_controller_inst\.calib_addr\[19\]\$LUT\$80.A1 (472:472:472) (472:472:472)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_controller_inst\.calib_addr\[19\]\$LUT\$80.A1 (5250:5250:5250) (5250:5250:5250))
4636.0,583.0,5219.0,all,,['calibration_fsm'],INTERCONNECT:ddr3_top_inst.ddr3_controller_inst.calib_addr[22]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$29970.Q ddr3_top_inst\.ddr3_controller_inst\.calib_addr\[22\]\$LUT\$92.A1 (583:583:583) (583:583:583)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_controller_inst\.calib_addr\[22\]\$LUT\$92.A1 (5219:5219:5219) (5219:5219:5219))
4623.0,192.0,4815.0,all,,['other'],INTERCONNECT:$abc$$lut$flattenddr3_top_inst.ddr3_controller_inst.$shiftx$rtl/ddr3_controller.v:0$N.buffer[67].A6,(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$shiftx\$rtl/ddr3_controller\.v\:0\$9080\.buffer\[67\].A6 (192:192:192) (192:192:192)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$shiftx\$rtl/ddr3_controller\.v\:0\$9080\.buffer\[67\].A6 (4815:4815:4815) (4815:4815:4815))
4531.0,298.0,4829.0,all,,['calibration_fsm'],INTERCONNECT:ddr3_top_inst.o_debug_calib_gate[7]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$38328.Q ddr3_top_inst\.o_debug_calib_gate\[7\]\$LUT\$806.A1 (298:298:298) (298:298:298)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.o_debug_calib_gate\[7\]\$LUT\$806.A1 (4829:4829:4829) (4829:4829:4829))
4531.0,298.0,4829.0,all,,['calibration_fsm'],INTERCONNECT:ddr3_top_inst.o_debug_calib_gate[8]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$38329.Q ddr3_top_inst\.o_debug_calib_gate\[8\]\$LUT\$810.A1 (298:298:298) (298:298:298)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.o_debug_calib_gate\[8\]\$LUT\$810.A1 (4829:4829:4829) (4829:4829:4829))
4488.0,296.0,4784.0,all,,['other'],INTERCONNECT:ddr3_top_inst.ddr3_controller_inst.read_test_address_counter[16]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43190.Q ddr3_top_inst\.ddr3_controller_inst\.read_test_address_counter\[16\]\$LUT\$434.A1 (296:296:296) (296:296:296)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_controller_inst\.read_test_address_counter\[16\]\$LUT\$434.A1 (4784:4784:4784) (4784:4784:4784))
4455.0,300.0,4755.0,all,,['other'],INTERCONNECT:ddr3_top_inst.ddr3_controller_inst.read_test_address_counter[20]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43194.Q ddr3_top_inst\.ddr3_controller_inst\.read_test_address_counter\[20\]\$LUT\$450.A1 (300:300:300) (300:300:300)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_controller_inst\.read_test_address_counter\[20\]\$LUT\$450.A1 (4755:4755:4755) (4755:4755:4755))
4443.0,192.0,4635.0,all,,['other'],INTERCONNECT:$abc$$lut$flattenddr3_top_inst.ddr3_controller_inst.$shiftx$rtl/ddr3_controller.v:0$N.buffer[34].A6,(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$shiftx\$rtl/ddr3_controller\.v\:0\$9080\.buffer\[34\].A6 (192:192:192) (192:192:192)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$shiftx\$rtl/ddr3_controller\.v\:0\$9080\.buffer\[34\].A6 (4635:4635:4635) (4635:4635:4635))
4436.0,439.0,4875.0,all,,['other'],INTERCONNECT:ddr3_top_inst.ddr3_controller_inst.read_test_address_counter[5]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43179.Q ddr3_top_inst\.ddr3_controller_inst\.read_test_address_counter\[5\]\$LUT\$390.A1 (439:439:439) (439:439:439)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_controller_inst\.read_test_address_counter\[5\]\$LUT\$390.A1 (4875:4875:4875) (4875:4875:4875))
4233.0,192.0,4425.0,all,,['other'],INTERCONNECT:$abc$$lut$flattenddr3_top_inst.ddr3_controller_inst.$procmux$N_Y[4].A6,(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$procmux\$14616_Y\[4\].A6 (192:192:192) (192:192:192)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$procmux\$14616_Y\[4\].A6 (4425:4425:4425) (4425:4425:4425))
4083.0,192.0,4275.0,all,,['other'],INTERCONNECT:$abc$$lut$not$aiger179447$N.A6,(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\$not\$aiger179447\$184.A6 (192:192:192) (192:192:192)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\$not\$aiger179447\$44.A6 (4275:4275:4275) (4275:4275:4275))
4052.0,192.0,4244.0,all,,['other'],INTERCONNECT:$abc$$lut$flattenddr3_top_inst.ddr3_controller_inst.$shiftx$rtl/ddr3_controller.v:0$N.buffer[19].A6,(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$shiftx\$rtl/ddr3_controller\.v\:0\$9080\.buffer\[19\].A6 (192:192:192) (192:192:192)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$shiftx\$rtl/ddr3_controller\.v\:0\$9080\.buffer\[19\].A6 (4244:4244:4244) (4244:4244:4244))
4038.0,192.0,4230.0,all,,['other'],INTERCONNECT:$abc$$lut$auto$,(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\$auto\$opt_dff\.cc\:219\:make_patterns_logic\$27716.A6 (192:192:192) (192:192:192)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\$auto\$rtlil\.cc\:2706\:AndGate\$59950.A6 (4230:4230:4230) (4230:4230:4230))
3963.0,192.0,4155.0,all,,['other'],INTERCONNECT:$abc$$lut$flattenddr3_top_inst.ddr3_controller_inst.$procmux$N_Y[1].A6,(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$procmux\$14654_Y\[1\].A6 (192:192:192) (192:192:192)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$procmux\$14654_Y\[1\].A6 (4155:4155:4155) (4155:4155:4155))
3901.0,192.0,4093.0,all,,['other'],INTERCONNECT:$abc$$lut$flattenddr3_top_inst.ddr3_controller_inst.$shiftx$rtl/ddr3_controller.v:0$N.buffer[103].A6,(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$shiftx\$rtl/ddr3_controller\.v\:0\$9080\.buffer\[103\].A6 (192:192:192) (192:192:192)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$shiftx\$rtl/ddr3_controller\.v\:0\$9080\.buffer\[103\].A6 (4093:4093:4093) (4093:4093:4093))
3841.0,192.0,4033.0,all,,['other'],INTERCONNECT:$abc$$lut$flattenddr3_top_inst.ddr3_controller_inst.$shiftx$rtl/ddr3_controller.v:0$N.buffer[35].A6,(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$shiftx\$rtl/ddr3_controller\.v\:0\$9080\.buffer\[35\].A6 (192:192:192) (192:192:192)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$shiftx\$rtl/ddr3_controller\.v\:0\$9080\.buffer\[35\].A6 (4033:4033:4033) (4033:4033:4033))
3841.0,192.0,4033.0,all,,['other'],INTERCONNECT:$abc$$lutddr3_top_inst.ddr3_controller_inst.delay_before_read_counter_d[2][1].A6,(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\\ddr3_top_inst\.ddr3_controller_inst\.delay_before_read_counter_d\[2\]\[1\].A6 (192:192:192) (192:192:192)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\\ddr3_top_inst\.ddr3_controller_inst\.delay_before_read_counter_d\[2\]\[1\].A6 (4033:4033:4033) (4033:4033:4033))
3377.0,192.0,3569.0,all,,['other'],INTERCONNECT:$abc$$lut$flattenddr3_top_inst.ddr3_phy_inst.$ternary$rtl/ddr3_phy.v:1304$N_Y[0].A6,(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_phy_inst\.\$ternary\$rtl/ddr3_phy\.v\:1304\$7436_Y\[0\].A6 (192:192:192) (192:192:192)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_phy_inst\.\$ternary\$rtl/ddr3_phy\.v\:1304\$7436_Y\[0\].A6 (3569:3569:3569) (3569:3569:3569))
3377.0,192.0,3569.0,all,,['other'],INTERCONNECT:$abc$$lut$flattenddr3_top_inst.ddr3_phy_inst.$ternary$rtl/ddr3_phy.v:1304$N_Y[3].A6,(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_phy_inst\.\$ternary\$rtl/ddr3_phy\.v\:1304\$7436_Y\[3\].A6 (192:192:192) (192:192:192)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_phy_inst\.\$ternary\$rtl/ddr3_phy\.v\:1304\$7436_Y\[3\].A6 (3569:3569:3569) (3569:3569:3569))
