delta_ps,good_ps,bad_ps,bad_lane,bad_bit,bad_families,key,good_text,bad_text
5848.0,541.0,6389.0,all,,['calibration_fsm'],INTERCONNECT:ddr3_top_inst.ddr3_controller_inst.dqs_start_index_stored[1]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$42736.Q ddr3_top_inst\.ddr3_controller_inst\.dqs_start_index_stored\[1\]\$LUT\$484.A1 (541:541:541) (541:541:541)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_controller_inst\.dqs_start_index_stored\[1\]\$LUT\$484.A1 (6389:6389:6389) (6389:6389:6389))
5789.0,600.0,6389.0,all,,['calibration_fsm'],INTERCONNECT:ddr3_top_inst.ddr3_controller_inst.dqs_start_index_stored[2]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$42737.Q ddr3_top_inst\.ddr3_controller_inst\.dqs_start_index_stored\[2\]\$LUT\$488.A1 (600:600:600) (600:600:600)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_controller_inst\.dqs_start_index_stored\[2\]\$LUT\$488.A1 (6389:6389:6389) (6389:6389:6389))
5166.0,323.0,5489.0,all,,['idelay_control'],INTERCONNECT:ddr3_top_inst.idelay_data_cntvaluein[2]$LUT$N.A1,(INTERCONNECT \$abc\$179448\$lut\\ddr3_top_inst\.ddr3_phy_inst\.i_controller_idelay_data_cntvaluein\[2\].O6 ddr3_top_inst\.idelay_data_cntvaluein\[2\]\$LUT\$116.A1 (323:323:323) (323:323:323)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.idelay_data_cntvaluein\[2\]\$LUT\$116.A1 (5489:5489:5489) (5489:5489:5489))
4954.0,326.0,5280.0,all,,['calibration_fsm'],INTERCONNECT:ddr3_top_inst.ddr3_controller_inst.calib_addr[14]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$29962.Q ddr3_top_inst\.ddr3_controller_inst\.calib_addr\[14\]\$LUT\$60.A1 (326:326:326) (326:326:326)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_controller_inst\.calib_addr\[14\]\$LUT\$60.A1 (5280:5280:5280) (5280:5280:5280))
4888.0,331.0,5219.0,all,,['calibration_fsm'],INTERCONNECT:ddr3_top_inst.ddr3_controller_inst.calib_addr[24]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$29972.Q ddr3_top_inst\.ddr3_controller_inst\.calib_addr\[24\]\$LUT\$100.A1 (331:331:331) (331:331:331)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_controller_inst\.calib_addr\[24\]\$LUT\$100.A1 (5219:5219:5219) (5219:5219:5219))
4849.0,460.0,5309.0,all,,['calibration_fsm'],INTERCONNECT:ddr3_top_inst.ddr3_controller_inst.calib_addr[13]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$29961.Q ddr3_top_inst\.ddr3_controller_inst\.calib_addr\[13\]\$LUT\$56.A1 (460:460:460) (460:460:460)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_controller_inst\.calib_addr\[13\]\$LUT\$56.A1 (5309:5309:5309) (5309:5309:5309))
4847.0,508.0,5355.0,all,,['calibration_fsm'],INTERCONNECT:ddr3_top_inst.ddr3_controller_inst.calib_data_randomized[103]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43206.Q ddr3_top_inst\.ddr3_controller_inst\.calib_data_randomized\[103\]\$LUT\$288.A1 (508:508:508) (508:508:508)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_controller_inst\.calib_data_randomized\[103\]\$LUT\$288.A1 (5355:5355:5355) (5355:5355:5355))
4844.0,465.0,5309.0,all,,['calibration_fsm'],INTERCONNECT:ddr3_top_inst.ddr3_controller_inst.calib_addr[12]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$29960.Q ddr3_top_inst\.ddr3_controller_inst\.calib_addr\[12\]\$LUT\$52.A1 (465:465:465) (465:465:465)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_controller_inst\.calib_addr\[12\]\$LUT\$52.A1 (5309:5309:5309) (5309:5309:5309))
4843.0,421.0,5264.0,all,,['other'],INTERCONNECT:ddr3_top_inst.ddr3_controller_inst.write_test_address_counter[20]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43219.Q ddr3_top_inst\.ddr3_controller_inst\.write_test_address_counter\[20\]\$LUT\$340.A1 (421:421:421) (421:421:421)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_controller_inst\.write_test_address_counter\[20\]\$LUT\$340.A1 (5264:5264:5264) (5264:5264:5264))
4842.0,453.0,5295.0,all,,['other'],INTERCONNECT:ddr3_top_inst.ddr3_controller_inst.write_test_address_counter[15]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43214.Q ddr3_top_inst\.ddr3_controller_inst\.write_test_address_counter\[15\]\$LUT\$320.A1 (453:453:453) (453:453:453)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_controller_inst\.write_test_address_counter\[15\]\$LUT\$320.A1 (5295:5295:5295) (5295:5295:5295))
4841.0,528.0,5369.0,all,,['calibration_fsm'],INTERCONNECT:ddr3_top_inst.ddr3_controller_inst.calib_addr[4]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$42777.Q ddr3_top_inst\.ddr3_controller_inst\.calib_addr\[4\]\$LUT\$20.A1 (528:528:528) (528:528:528)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_controller_inst\.calib_addr\[4\]\$LUT\$20.A1 (5369:5369:5369) (5369:5369:5369))
