family,lane,good_count,good_max_ps,good_spread_ps,bad_count,bad_max_ps,bad_spread_ps,delta_median_ps,delta_p95_ps,delta_max_ps
calibration_fsm,all,208,12899.0,12899.0,208,12750.0,12750.0,0.0,413.0,12077.0
clocking,all,2078,5519.0,5400.0,2079,6914.0,6795.0,0.0,0.0,241.0
dq_input,all,60,0.0,0.0,60,0.0,0.0,0.0,0.0,0.0
dq_output,all,200,1055.0,1055.0,200,1055.0,1055.0,0.0,0.0,0.0
dqs_input,all,137,11789.0,11789.0,135,11699.0,11699.0,0.0,586.0,7458.0
dqs_output,all,90,3404.0,3404.0,90,2536.0,2536.0,0.0,275.0,515.0
idelay_control,all,3300,11789.0,11789.0,3295,11760.0,11760.0,0.0,810.0,7458.0
idelayctrl,all,6,2944.0,1818.0,5,3089.0,1963.0,-572.5,0.0,0.0
idelayctrl_reset_release,all,12,6090.0,6090.0,12,6210.0,6210.0,120.0,120.0,120.0
iologic_physical,all,346,7019.0,7019.0,346,6690.0,6690.0,0.0,0.0,241.0
other,all,50284,12899.0,12899.0,50571,12750.0,12750.0,0.0,1049.0,12023.0
reset_cdc,all,107,6090.0,6090.0,107,6210.0,6210.0,120.0,241.0,241.0
