family,lane,good_count,good_max_ps,good_spread_ps,bad_count,bad_max_ps,bad_spread_ps,delta_median_ps,delta_p95_ps,delta_max_ps
calibration_fsm,all,208,10020.0,10020.0,208,12750.0,12750.0,0.0,10726.0,12306.0
clocking,all,2080,6855.0,6736.0,2079,6914.0,6795.0,0.0,0.0,195.0
dq_input,all,60,0.0,0.0,60,0.0,0.0,0.0,0.0,0.0
dq_output,all,200,1055.0,1055.0,200,1055.0,1055.0,0.0,0.0,0.0
dqs_input,all,131,9329.0,9329.0,135,11699.0,11699.0,0.0,630.0,7458.0
dqs_output,all,90,3122.0,3122.0,90,2536.0,2536.0,0.0,265.0,874.0
idelay_control,all,3281,9329.0,9329.0,3295,11760.0,11760.0,0.0,604.0,11437.0
idelayctrl,all,5,2970.0,1844.0,5,3089.0,1963.0,-329.0,0.0,0.0
idelayctrl_reset_release,all,12,8954.0,8954.0,12,6210.0,6210.0,-2744.0,-2744.0,-2744.0
iologic_physical,all,347,5894.0,5894.0,346,6690.0,6690.0,0.0,0.0,195.0
other,all,50225,11145.0,11145.0,50571,12750.0,12750.0,0.0,1133.0,10871.0
reset_cdc,all,108,8954.0,8954.0,107,6210.0,6210.0,-1372.0,195.0,195.0
