family,manhattan,cell,type,baseline_bel,variant_bel
read_bist_state17,51,ddr3_top_inst.ddr3_controller_inst.dqs_start_index[1]$LUT$N,SLICE_LUTX,SLICE_X8Y70/B6LUT,SLICE_X12Y23/B6LUT
read_bist_state17,51,ddr3_top_inst.ddr3_controller_inst.dqs_start_index[2]$LUT$N,SLICE_LUTX,SLICE_X8Y70/C6LUT,SLICE_X12Y23/C6LUT
read_bist_state17,51,ddr3_top_inst.ddr3_controller_inst.dqs_start_index[3]$LUT$N,SLICE_LUTX,SLICE_X8Y70/D6LUT,SLICE_X12Y23/D6LUT
read_bist_state17,51,ddr3_top_inst.ddr3_controller_inst.dqs_start_index[4]$LUT$N,SLICE_LUTX,SLICE_X8Y71/A6LUT,SLICE_X12Y24/A6LUT
read_bist_state17,51,ddr3_top_inst.ddr3_controller_inst.dqs_start_index[5]$LUT$N,SLICE_LUTX,SLICE_X8Y71/B6LUT,SLICE_X12Y24/B6LUT
read_bist_state17,38,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_bank_d[0],SLICE_LUTX,SLICE_X13Y98/A6LUT,SLICE_X12Y61/B6LUT
read_bist_state17,37,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_bank_d[2],SLICE_LUTX,SLICE_X12Y98/D6LUT,SLICE_X12Y61/A6LUT
read_bist_state17,36,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_bank_d[1],SLICE_LUTX,SLICE_X12Y96/C6LUT,SLICE_X12Y60/B6LUT
read_bist_state17,33,ddr3_top_inst.ddr3_controller_inst.dqs_start_index_stored[1]$LUT$N,SLICE_LUTX,SLICE_X12Y63/B6LUT,SLICE_X12Y30/B6LUT
read_bist_state17,33,ddr3_top_inst.ddr3_controller_inst.dqs_start_index_stored[2]$LUT$N,SLICE_LUTX,SLICE_X12Y63/C6LUT,SLICE_X12Y30/C6LUT
read_bist_state17,33,ddr3_top_inst.ddr3_controller_inst.dqs_start_index_stored[3]$LUT$N,SLICE_LUTX,SLICE_X12Y63/D6LUT,SLICE_X12Y30/D6LUT
read_bist_state17,33,ddr3_top_inst.ddr3_controller_inst.dqs_start_index_stored[4]$LUT$N,SLICE_LUTX,SLICE_X12Y64/A6LUT,SLICE_X12Y31/A6LUT
read_bist_state17,33,ddr3_top_inst.ddr3_controller_inst.dqs_start_index_stored[5]$LUT$N,SLICE_LUTX,SLICE_X12Y64/B6LUT,SLICE_X12Y31/B6LUT
read_bist_state17,30,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_do_pre_d,SLICE_LUTX,SLICE_X13Y106/B6LUT,SLICE_X13Y76/D6LUT
read_bist_state17,30,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_do_update_delay_before_precharge_after_rd_d,SLICE_LUTX,SLICE_X15Y103/B6LUT,SLICE_X13Y75/C6LUT
