family,constant_edge,delta_ps,baseline_ps,variant_ps,key,baseline_text,variant_text
dq_dqs_input,True,138.0,345.0,483.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk5[11].IDELAYE2_data.CINVCTRL,(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[11\]\.IDELAYE2_data.CINVCTRL (345:345:345) (345:345:345)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[11\]\.IDELAYE2_data.CINVCTRL (483:483:483) (483:483:483))
dq_dqs_input,True,138.0,345.0,483.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk5[12].IDELAYE2_data.CINVCTRL,(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[12\]\.IDELAYE2_data.CINVCTRL (345:345:345) (345:345:345)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[12\]\.IDELAYE2_data.CINVCTRL (483:483:483) (483:483:483))
dq_dqs_input,True,137.0,307.0,444.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk5[11].IDELAYE2_data.REGRST,(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[11\]\.IDELAYE2_data.REGRST (307:307:307) (307:307:307)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[11\]\.IDELAYE2_data.REGRST (444:444:444) (444:444:444))
dq_dqs_input,True,137.0,307.0,444.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk5[12].IDELAYE2_data.REGRST,(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[12\]\.IDELAYE2_data.REGRST (307:307:307) (307:307:307)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[12\]\.IDELAYE2_data.REGRST (444:444:444) (444:444:444))
idelay_programming,True,136.0,444.0,580.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk5[13].IDELAYE2_data.CE,(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[13\]\.IDELAYE2_data.CE (444:444:444) (444:444:444)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[13\]\.IDELAYE2_data.CE (580:580:580) (580:580:580))
idelay_programming,True,136.0,444.0,580.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk5[13].IDELAYE2_data.INC,(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[13\]\.IDELAYE2_data.INC (444:444:444) (444:444:444)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[13\]\.IDELAYE2_data.INC (580:580:580) (580:580:580))
idelay_programming,True,136.0,444.0,580.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data.CE,(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[14\]\.IDELAYE2_data.CE (444:444:444) (444:444:444)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[14\]\.IDELAYE2_data.CE (580:580:580) (580:580:580))
idelay_programming,True,136.0,444.0,580.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data.INC,(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[14\]\.IDELAYE2_data.INC (444:444:444) (444:444:444)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[14\]\.IDELAYE2_data.INC (580:580:580) (580:580:580))
dq_dqs_input,True,136.0,444.0,580.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk5[13].IDELAYE2_data.CE,(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[13\]\.IDELAYE2_data.CE (444:444:444) (444:444:444)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[13\]\.IDELAYE2_data.CE (580:580:580) (580:580:580))
dq_dqs_input,True,136.0,444.0,580.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk5[13].IDELAYE2_data.INC,(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[13\]\.IDELAYE2_data.INC (444:444:444) (444:444:444)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[13\]\.IDELAYE2_data.INC (580:580:580) (580:580:580))
dq_dqs_input,True,136.0,444.0,580.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data.CE,(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[14\]\.IDELAYE2_data.CE (444:444:444) (444:444:444)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[14\]\.IDELAYE2_data.CE (580:580:580) (580:580:580))
dq_dqs_input,True,136.0,444.0,580.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data.INC,(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[14\]\.IDELAYE2_data.INC (444:444:444) (444:444:444)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[14\]\.IDELAYE2_data.INC (580:580:580) (580:580:580))
idelay_programming,True,0.0,307.0,307.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk5[0].IDELAYE2_data.CE,(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[0\]\.IDELAYE2_data.CE (307:307:307) (307:307:307)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[0\]\.IDELAYE2_data.CE (307:307:307) (307:307:307))
idelay_programming,True,0.0,307.0,307.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk5[0].IDELAYE2_data.INC,(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[0\]\.IDELAYE2_data.INC (307:307:307) (307:307:307)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[0\]\.IDELAYE2_data.INC (307:307:307) (307:307:307))
idelay_programming,True,0.0,307.0,307.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk5[10].IDELAYE2_data.CE,(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[10\]\.IDELAYE2_data.CE (307:307:307) (307:307:307)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[10\]\.IDELAYE2_data.CE (307:307:307) (307:307:307))
idelay_programming,True,0.0,307.0,307.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk5[10].IDELAYE2_data.INC,(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[10\]\.IDELAYE2_data.INC (307:307:307) (307:307:307)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[10\]\.IDELAYE2_data.INC (307:307:307) (307:307:307))
idelay_programming,True,0.0,307.0,307.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk5[11].IDELAYE2_data.CE,(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[11\]\.IDELAYE2_data.CE (307:307:307) (307:307:307)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[11\]\.IDELAYE2_data.CE (307:307:307) (307:307:307))
idelay_programming,True,0.0,307.0,307.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk5[11].IDELAYE2_data.INC,(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[11\]\.IDELAYE2_data.INC (307:307:307) (307:307:307)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[11\]\.IDELAYE2_data.INC (307:307:307) (307:307:307))
idelay_programming,True,0.0,444.0,444.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk5[12].IDELAYE2_data.CE,(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[12\]\.IDELAYE2_data.CE (444:444:444) (444:444:444)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[12\]\.IDELAYE2_data.CE (444:444:444) (444:444:444))
idelay_programming,True,0.0,444.0,444.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk5[12].IDELAYE2_data.INC,(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[12\]\.IDELAYE2_data.INC (444:444:444) (444:444:444)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[12\]\.IDELAYE2_data.INC (444:444:444) (444:444:444))
idelay_programming,True,0.0,307.0,307.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk5[15].IDELAYE2_data.CE,(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[15\]\.IDELAYE2_data.CE (307:307:307) (307:307:307)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[15\]\.IDELAYE2_data.CE (307:307:307) (307:307:307))
idelay_programming,True,0.0,307.0,307.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk5[15].IDELAYE2_data.INC,(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[15\]\.IDELAYE2_data.INC (307:307:307) (307:307:307)),(INTERCONNECT \$PACKER_GND_DRV.Y ddr3_top_inst\.ddr3_phy_inst\.genblk5\[15\]\.IDELAYE2_data.INC (307:307:307) (307:307:307))
