family,constant_edge,delta_ps,baseline_ps,variant_ps,key,baseline_text,variant_text
dq_dqs_input,False,-1299.0,3029.0,1730.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk5[6].ISERDESE2_data.RST,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk5\[6\]\.ISERDESE2_data.RST (3029:3029:3029) (3029:3029:3029)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk5\[6\]\.ISERDESE2_data.RST (1730:1730:1730) (1730:1730:1730))
dq_dqs_input,False,-1216.0,3122.0,1906.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk7[0].ISERDESE2_dqs.RST,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk7\[0\]\.ISERDESE2_dqs.RST (3122:3122:3122) (3122:3122:3122)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk7\[0\]\.ISERDESE2_dqs.RST (1906:1906:1906) (1906:1906:1906))
dq_dqs_input,False,-1207.0,3213.0,2006.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk5[8].ISERDESE2_data.RST,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk5\[8\]\.ISERDESE2_data.RST (3213:3213:3213) (3213:3213:3213)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk5\[8\]\.ISERDESE2_data.RST (2006:2006:2006) (2006:2006:2006))
dq_dqs_input,False,-1206.0,2937.0,1731.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk5[2].ISERDESE2_data.RST,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk5\[2\]\.ISERDESE2_data.RST (2937:2937:2937) (2937:2937:2937)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk5\[2\]\.ISERDESE2_data.RST (1731:1731:1731) (1731:1731:1731))
dq_dqs_input,False,-1205.0,3075.0,1870.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk5[5].ISERDESE2_data.RST,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk5\[5\]\.ISERDESE2_data.RST (3075:3075:3075) (3075:3075:3075)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk5\[5\]\.ISERDESE2_data.RST (1870:1870:1870) (1870:1870:1870))
dq_dqs_input,False,-1162.0,2665.0,1503.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk5[0].ISERDESE2_data.RST,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk5\[0\]\.ISERDESE2_data.RST (2665:2665:2665) (2665:2665:2665)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk5\[0\]\.ISERDESE2_data.RST (1503:1503:1503) (1503:1503:1503))
dq_dqs_input,False,-1144.0,3042.0,1898.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk5[9].ISERDESE2_data.RST,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk5\[9\]\.ISERDESE2_data.RST (3042:3042:3042) (3042:3042:3042)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk5\[9\]\.ISERDESE2_data.RST (1898:1898:1898) (1898:1898:1898))
dq_dqs_input,False,-1099.0,2694.0,1595.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk5[1].ISERDESE2_data.RST,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk5\[1\]\.ISERDESE2_data.RST (2694:2694:2694) (2694:2694:2694)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk5\[1\]\.ISERDESE2_data.RST (1595:1595:1595) (1595:1595:1595))
dq_dqs_input,False,-1096.0,2913.0,1817.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk5[7].ISERDESE2_data.RST,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk5\[7\]\.ISERDESE2_data.RST (2913:2913:2913) (2913:2913:2913)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk5\[7\]\.ISERDESE2_data.RST (1817:1817:1817) (1817:1817:1817))
dq_dqs_input,False,-1086.0,2572.0,1486.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk5[10].ISERDESE2_data.RST,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk5\[10\]\.ISERDESE2_data.RST (2572:2572:2572) (2572:2572:2572)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk5\[10\]\.ISERDESE2_data.RST (1486:1486:1486) (1486:1486:1486))
