family,manhattan,cell,type,baseline_bel,variant_bel
read_bist_state17,27,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_row_d[11],SLICE_LUTX,SLICE_X12Y72/A6LUT,SLICE_X16Y95/C6LUT
phy_reset_release,26,ddr3_top_inst.ddr3_phy_inst.delay_before_release_reset[0]$LUT$N,SLICE_LUTX,SLICE_X8Y86/A6LUT,SLICE_X2Y66/A6LUT
phy_reset_release,26,ddr3_top_inst.ddr3_phy_inst.delay_before_release_reset[0]$LUT$N,SLICE_LUTX,SLICE_X8Y86/A5LUT,SLICE_X2Y66/A5LUT
phy_reset_release,26,ddr3_top_inst.ddr3_phy_inst.delay_before_release_reset[1]$LUT$N,SLICE_LUTX,SLICE_X8Y86/B5LUT,SLICE_X2Y66/B5LUT
phy_reset_release,26,ddr3_top_inst.ddr3_phy_inst.delay_before_release_reset[2]$LUT$N,SLICE_LUTX,SLICE_X8Y86/C5LUT,SLICE_X2Y66/C5LUT
read_bist_state17,23,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_bank_d[0],SLICE_LUTX,SLICE_X13Y98/A6LUT,SLICE_X12Y76/D6LUT
read_bist_state17,23,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_do_pre_d,SLICE_LUTX,SLICE_X13Y106/B6LUT,SLICE_X16Y86/B6LUT
read_bist_state17,23,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_row_d[13],SLICE_LUTX,SLICE_X12Y78/D6LUT,SLICE_X14Y99/B6LUT
read_bist_state17,21,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_do_update_delay_before_precharge_after_rd_d,SLICE_LUTX,SLICE_X15Y103/B6LUT,SLICE_X14Y83/B6LUT
read_bist_state17,21,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_do_wr_or_rd_d,SLICE_LUTX,SLICE_X13Y106/A5LUT,SLICE_X14Y86/C5LUT
read_bist_state17,20,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_row_d[5],SLICE_LUTX,SLICE_X12Y71/B6LUT,SLICE_X15Y88/A6LUT
read_bist_state17,20,ddr3_top_inst.ddr3_controller_inst.dqs_start_index[1]$LUT$N,SLICE_LUTX,SLICE_X8Y70/B6LUT,SLICE_X14Y56/B6LUT
read_bist_state17,20,ddr3_top_inst.ddr3_controller_inst.dqs_start_index[2]$LUT$N,SLICE_LUTX,SLICE_X8Y70/C6LUT,SLICE_X14Y56/C6LUT
read_bist_state17,20,ddr3_top_inst.ddr3_controller_inst.dqs_start_index[3]$LUT$N,SLICE_LUTX,SLICE_X8Y70/D6LUT,SLICE_X14Y56/D6LUT
read_bist_state17,20,ddr3_top_inst.ddr3_controller_inst.dqs_start_index[4]$LUT$N,SLICE_LUTX,SLICE_X8Y71/A6LUT,SLICE_X14Y57/A6LUT
read_bist_state17,20,ddr3_top_inst.ddr3_controller_inst.dqs_start_index[5]$LUT$N,SLICE_LUTX,SLICE_X8Y71/B6LUT,SLICE_X14Y57/B6LUT
read_bist_state17,19,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_bank_d[1],SLICE_LUTX,SLICE_X12Y96/C6LUT,SLICE_X13Y78/B6LUT
read_bist_state17,16,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage1_next_bank_d[0],SLICE_LUTX,SLICE_X8Y109/A6LUT,SLICE_X9Y94/C6LUT
read_bist_state17,16,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_bank_d[2],SLICE_LUTX,SLICE_X12Y98/D6LUT,SLICE_X16Y86/C6LUT
read_bist_state17,15,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage1_next_bank_d[2],SLICE_LUTX,SLICE_X11Y107/B6LUT,SLICE_X9Y94/B6LUT
read_bist_state17,14,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_row_d[1],SLICE_LUTX,SLICE_X12Y111/C6LUT,SLICE_X12Y97/A6LUT
read_bist_state17,13,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage1_do_pre_d,SLICE_LUTX,SLICE_X12Y100/A5LUT,SLICE_X14Y89/A5LUT
read_bist_state17,13,ddr3_top_inst.ddr3_controller_inst.dqs_target_index_orig[1]$LUT$N,SLICE_LUTX,SLICE_X12Y55/A6LUT,SLICE_X16Y64/A6LUT
read_bist_state17,13,ddr3_top_inst.ddr3_controller_inst.dqs_target_index_orig[1]$LUT$N,SLICE_LUTX,SLICE_X12Y55/A5LUT,SLICE_X16Y64/A5LUT
read_bist_state17,13,ddr3_top_inst.ddr3_controller_inst.dqs_target_index_orig[2]$LUT$N,SLICE_LUTX,SLICE_X12Y55/B5LUT,SLICE_X16Y64/B5LUT
read_bist_state17,13,ddr3_top_inst.ddr3_controller_inst.dqs_target_index_orig[3]$LUT$N,SLICE_LUTX,SLICE_X12Y55/C5LUT,SLICE_X16Y64/C5LUT
read_bist_state17,13,ddr3_top_inst.ddr3_controller_inst.dqs_target_index_orig[4]$LUT$N,SLICE_LUTX,SLICE_X12Y55/D5LUT,SLICE_X16Y64/D5LUT
read_bist_state17,13,ddr3_top_inst.ddr3_controller_inst.dqs_target_index_orig[5]$LUT$N,SLICE_LUTX,SLICE_X12Y56/A5LUT,SLICE_X16Y65/A5LUT
read_bist_state17,12,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage1_next_row_d[8],SLICE_LUTX,SLICE_X10Y99/A6LUT,SLICE_X8Y89/B6LUT
read_bist_state17,12,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_row_d[14],SLICE_LUTX,SLICE_X12Y85/B6LUT,SLICE_X14Y95/B6LUT
calib_state_release,11,$abc$$lutbist_done,SLICE_LUTX,SLICE_X1Y214/A6LUT,SLICE_X1Y203/A6LUT
read_bist_state17,11,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage1_next_bank_d[1],SLICE_LUTX,SLICE_X10Y115/C6LUT,SLICE_X11Y105/A6LUT
read_bist_state17,11,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage1_next_row_d[5],SLICE_LUTX,SLICE_X11Y100/A6LUT,SLICE_X10Y90/B6LUT
read_bist_state17,11,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_do_update_delay_before_write_after_act_d,SLICE_LUTX,SLICE_X14Y87/C6LUT,SLICE_X16Y78/B6LUT
read_bist_state17,10,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_row_d[0],SLICE_LUTX,SLICE_X12Y105/B6LUT,SLICE_X16Y99/C6LUT
read_bist_state17,10,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_row_d[12],SLICE_LUTX,SLICE_X9Y107/A6LUT,SLICE_X12Y100/D6LUT
read_bist_state17,10,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_row_d[6],SLICE_LUTX,SLICE_X8Y101/A6LUT,SLICE_X13Y96/A6LUT
read_bist_state17,10,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_row_d[9],SLICE_LUTX,SLICE_X10Y113/B6LUT,SLICE_X12Y105/A6LUT
read_bist_state17,9,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage1_next_row_d[2],SLICE_LUTX,SLICE_X11Y100/D6LUT,SLICE_X10Y92/B6LUT
read_bist_state17,9,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage1_next_row_d[4],SLICE_LUTX,SLICE_X11Y100/B6LUT,SLICE_X10Y92/A6LUT
read_bist_state17,9,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage1_next_row_d[9],SLICE_LUTX,SLICE_X11Y111/A6LUT,SLICE_X11Y102/A6LUT
read_bist_state17,8,$abc$$lut$memoryddr3_top_inst.ddr3_controller_inst.delay_read_pipe$wrmux[0][1][0]$y$N,SLICE_LUTX,SLICE_X12Y60/B5LUT,SLICE_X11Y67/B5LUT
read_bist_state17,8,$abc$$lut$memoryddr3_top_inst.ddr3_controller_inst.delay_read_pipe$wrmux[1][1][0]$y$N,SLICE_LUTX,SLICE_X12Y60/A5LUT,SLICE_X11Y67/A5LUT
read_bist_state17,8,$abc$$lutddr3_top_inst.ddr3_controller_inst.shift_reg_read_pipe_d[1][1],SLICE_LUTX,SLICE_X8Y90/A6LUT,SLICE_X11Y85/C6LUT
read_bist_state17,8,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_do_rd_d,SLICE_LUTX,SLICE_X14Y79/A5LUT,SLICE_X17Y74/A5LUT
read_bist_state17,8,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_row_d[8],SLICE_LUTX,SLICE_X9Y91/A6LUT,SLICE_X14Y88/D6LUT
read_bist_state17,7,$abc$$lut$flattenddr3_top_inst.ddr3_controller_inst.$Nlate_dq[1:0][0],SLICE_LUTX,SLICE_X9Y56/A5LUT,SLICE_X8Y50/A5LUT
read_bist_state17,7,$abc$$lutddr3_top_inst.ddr3_controller_inst.shift_reg_read_pipe_d[3][1],SLICE_LUTX,SLICE_X11Y92/B5LUT,SLICE_X8Y88/B5LUT
read_bist_state17,7,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage1_next_row_d[12],SLICE_LUTX,SLICE_X8Y106/B6LUT,SLICE_X11Y102/C6LUT
read_bist_state17,7,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage1_next_row_d[1],SLICE_LUTX,SLICE_X8Y106/A6LUT,SLICE_X11Y102/B6LUT
read_bist_state17,7,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage1_next_row_d[3],SLICE_LUTX,SLICE_X11Y100/C6LUT,SLICE_X9Y95/A6LUT
read_bist_state17,7,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_row_d[3],SLICE_LUTX,SLICE_X10Y97/A6LUT,SLICE_X12Y92/B6LUT
read_bist_state17,7,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_we_d,SLICE_LUTX,SLICE_X12Y80/B6LUT,SLICE_X14Y75/A6LUT
read_bist_state17,7,bist_counts[33]$LUT$N,SLICE_LUTX,SLICE_X2Y191/B6LUT,SLICE_X2Y184/B6LUT
read_bist_state17,7,bist_counts[34]$LUT$N,SLICE_LUTX,SLICE_X2Y191/C6LUT,SLICE_X2Y184/C6LUT
read_bist_state17,7,bist_counts[35]$LUT$N,SLICE_LUTX,SLICE_X2Y191/D6LUT,SLICE_X2Y184/D6LUT
read_bist_state17,7,bist_counts[36]$LUT$N,SLICE_LUTX,SLICE_X2Y192/A6LUT,SLICE_X2Y185/A6LUT
read_bist_state17,7,bist_counts[37]$LUT$N,SLICE_LUTX,SLICE_X2Y192/B6LUT,SLICE_X2Y185/B6LUT
read_bist_state17,7,bist_counts[38]$LUT$N,SLICE_LUTX,SLICE_X2Y192/C6LUT,SLICE_X2Y185/C6LUT
read_bist_state17,7,bist_counts[39]$LUT$N,SLICE_LUTX,SLICE_X2Y192/D6LUT,SLICE_X2Y185/D6LUT
read_bist_state17,7,bist_counts[40]$LUT$N,SLICE_LUTX,SLICE_X2Y193/A6LUT,SLICE_X2Y186/A6LUT
read_bist_state17,7,bist_counts[41]$LUT$N,SLICE_LUTX,SLICE_X2Y193/B6LUT,SLICE_X2Y186/B6LUT
read_bist_state17,7,bist_counts[42]$LUT$N,SLICE_LUTX,SLICE_X2Y193/C6LUT,SLICE_X2Y186/C6LUT
read_bist_state17,7,bist_counts[43]$LUT$N,SLICE_LUTX,SLICE_X2Y193/D6LUT,SLICE_X2Y186/D6LUT
read_bist_state17,7,bist_counts[44]$LUT$N,SLICE_LUTX,SLICE_X2Y194/A6LUT,SLICE_X2Y187/A6LUT
read_bist_state17,7,bist_counts[45]$LUT$N,SLICE_LUTX,SLICE_X2Y194/B6LUT,SLICE_X2Y187/B6LUT
read_bist_state17,7,bist_counts[46]$LUT$N,SLICE_LUTX,SLICE_X2Y194/C6LUT,SLICE_X2Y187/C6LUT
read_bist_state17,7,bist_counts[47]$LUT$N,SLICE_LUTX,SLICE_X2Y194/D6LUT,SLICE_X2Y187/D6LUT
read_bist_state17,7,bist_counts[48]$LUT$N,SLICE_LUTX,SLICE_X2Y195/A6LUT,SLICE_X2Y188/A6LUT
read_bist_state17,7,bist_counts[49]$LUT$N,SLICE_LUTX,SLICE_X2Y195/B6LUT,SLICE_X2Y188/B6LUT
read_bist_state17,7,bist_counts[50]$LUT$N,SLICE_LUTX,SLICE_X2Y195/C6LUT,SLICE_X2Y188/C6LUT
