family,constant_edge,delta_ps,baseline_ps,variant_ps,key,baseline_text,variant_text
dq_dqs_input,False,-1853.0,3213.0,1360.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk5[8].ISERDESE2_data.RST,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk5\[8\]\.ISERDESE2_data.RST (3213:3213:3213) (3213:3213:3213)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk5\[8\]\.ISERDESE2_data.RST (1360:1360:1360) (1360:1360:1360))
dq_dqs_input,False,-1724.0,2937.0,1213.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk5[2].ISERDESE2_data.RST,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk5\[2\]\.ISERDESE2_data.RST (2937:2937:2937) (2937:2937:2937)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk5\[2\]\.ISERDESE2_data.RST (1213:1213:1213) (1213:1213:1213))
dq_dqs_input,False,-1608.0,3042.0,1434.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk5[9].ISERDESE2_data.RST,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk5\[9\]\.ISERDESE2_data.RST (3042:3042:3042) (3042:3042:3042)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk5\[9\]\.ISERDESE2_data.RST (1434:1434:1434) (1434:1434:1434))
dq_dqs_input,False,-1551.0,3075.0,1524.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk5[5].ISERDESE2_data.RST,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk5\[5\]\.ISERDESE2_data.RST (3075:3075:3075) (3075:3075:3075)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk5\[5\]\.ISERDESE2_data.RST (1524:1524:1524) (1524:1524:1524))
dq_dqs_input,False,-1531.0,2878.0,1347.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk5[15].ISERDESE2_data.RST,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk5\[15\]\.ISERDESE2_data.RST (2878:2878:2878) (2878:2878:2878)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk5\[15\]\.ISERDESE2_data.RST (1347:1347:1347) (1347:1347:1347))
idelayctrl_ready,False,-1479.0,2457.0,978.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.IDELAYCTRL_inst$intcell$CTRL_DUP_0.RST,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.IDELAYCTRL_inst\$intcell\$CTRL_DUP_0.RST (2457:2457:2457) (2457:2457:2457)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.IDELAYCTRL_inst\$intcell\$CTRL_DUP_0.RST (978:978:978) (978:978:978))
dq_dqs_input,False,-1429.0,2657.0,1228.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk5[12].ISERDESE2_data.RST,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk5\[12\]\.ISERDESE2_data.RST (2657:2657:2657) (2657:2657:2657)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk5\[12\]\.ISERDESE2_data.RST (1228:1228:1228) (1228:1228:1228))
dq_dqs_input,False,-1428.0,2572.0,1144.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk5[10].ISERDESE2_data.RST,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk5\[10\]\.ISERDESE2_data.RST (2572:2572:2572) (2572:2572:2572)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk5\[10\]\.ISERDESE2_data.RST (1144:1144:1144) (1144:1144:1144))
dq_dqs_input,False,-1368.0,2578.0,1210.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk5[11].ISERDESE2_data.RST,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk5\[11\]\.ISERDESE2_data.RST (2578:2578:2578) (2578:2578:2578)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk5\[11\]\.ISERDESE2_data.RST (1210:1210:1210) (1210:1210:1210))
dq_dqs_input,False,-1367.0,2663.0,1296.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk5[13].ISERDESE2_data.RST,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk5\[13\]\.ISERDESE2_data.RST (2663:2663:2663) (2663:2663:2663)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk5\[13\]\.ISERDESE2_data.RST (1296:1296:1296) (1296:1296:1296))
dq_dqs_input,False,-1366.0,2838.0,1472.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk7[1].ISERDESE2_dqs.RST,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk7\[1\]\.ISERDESE2_dqs.RST (2838:2838:2838) (2838:2838:2838)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk7\[1\]\.ISERDESE2_dqs.RST (1472:1472:1472) (1472:1472:1472))
dq_dqs_input,False,-1352.0,3029.0,1677.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk5[6].ISERDESE2_data.RST,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk5\[6\]\.ISERDESE2_data.RST (3029:3029:3029) (3029:3029:3029)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk5\[6\]\.ISERDESE2_data.RST (1677:1677:1677) (1677:1677:1677))
dq_dqs_input,False,-1264.0,3122.0,1858.0,INTERCONNECT:ddr3_top_inst.ddr3_phy_inst.genblk7[0].ISERDESE2_dqs.RST,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk7\[0\]\.ISERDESE2_dqs.RST (3122:3122:3122) (3122:3122:3122)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43799.Q ddr3_top_inst\.ddr3_phy_inst\.genblk7\[0\]\.ISERDESE2_dqs.RST (1858:1858:1858) (1858:1858:1858))
