experiment_id,seed,variant,hardware_pass,abort_reason,abort_reason_name,abort_lane,dq14_delay_ps,dqs1_delay_ps,signed_dqs1_minus_dq14_ps,abs_dqs1_minus_dq14_ps,dq14_from_pin,dq14_to_pin,dqs1_from_pin,dqs1_to_pin,dq14_from_cell,dq14_to_cell,dqs1_from_cell,dqs1_to_cell,dq14_from_bel,dq14_to_bel,dqs1_from_bel,dqs1_to_bel,dq14_from_site,dq14_to_site,dqs1_from_site,dqs1_to_site,source_dqs1_minus_dq14_same_site_type,source_dqs1_minus_dq14_dx,source_dqs1_minus_dq14_dy,source_dqs1_minus_dq14_manhattan,sink_dqs1_minus_dq14_same_site_type,sink_dqs1_minus_dq14_dx,sink_dqs1_minus_dq14_dy,sink_dqs1_minus_dq14_manhattan
baseline-no-lock-seed-1,1,baseline-no-lock,True,0,none,0,1659.0,1518.0,-141.0,141.0,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs,SLICE_X7Y65/A6LUT,IDELAY_X0Y27/IDELAYE2,SLICE_X0Y74/B6LUT,IDELAY_X0Y32/IDELAYE2,SLICE_X7Y65,IDELAY_X0Y27,SLICE_X0Y74,IDELAY_X0Y32,True,-7,9,16,True,0,5,5
baseline-no-lock-seed-2,2,baseline-no-lock,False,2,check_starting_data_search_exhausted,1,1118.0,1825.0,707.0,707.0,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs,SLICE_X1Y58/B6LUT,IDELAY_X0Y27/IDELAYE2,SLICE_X5Y75/A6LUT,IDELAY_X0Y32/IDELAYE2,SLICE_X1Y58,IDELAY_X0Y27,SLICE_X5Y75,IDELAY_X0Y32,True,4,17,21,True,0,5,5
baseline-no-lock-seed-3,3,baseline-no-lock,True,0,none,0,1756.0,1809.0,53.0,53.0,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs,SLICE_X1Y72/A6LUT,IDELAY_X0Y27/IDELAYE2,SLICE_X1Y75/B6LUT,IDELAY_X0Y32/IDELAYE2,SLICE_X1Y72,IDELAY_X0Y27,SLICE_X1Y75,IDELAY_X0Y32,True,0,3,3,True,0,5,5
baseline-no-lock-seed-4,4,baseline-no-lock,True,0,none,0,1256.0,1396.0,140.0,140.0,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs,SLICE_X5Y60/A6LUT,IDELAY_X0Y27/IDELAYE2,SLICE_X1Y68/A6LUT,IDELAY_X0Y32/IDELAYE2,SLICE_X5Y60,IDELAY_X0Y27,SLICE_X1Y68,IDELAY_X0Y32,True,-4,8,12,True,0,5,5
baseline-no-lock-seed-5,5,baseline-no-lock,True,0,none,0,1125.0,1264.0,139.0,139.0,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs,SLICE_X6Y58/A6LUT,IDELAY_X0Y27/IDELAYE2,SLICE_X5Y64/A6LUT,IDELAY_X0Y32/IDELAYE2,SLICE_X6Y58,IDELAY_X0Y27,SLICE_X5Y64,IDELAY_X0Y32,True,-1,6,7,True,0,5,5
baseline-no-lock-seed-6,6,baseline-no-lock,False,2,check_starting_data_search_exhausted,0,2036.0,1710.0,-326.0,326.0,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs,SLICE_X1Y70/B6LUT,IDELAY_X0Y27/IDELAYE2,SLICE_X7Y81/A6LUT,IDELAY_X0Y32/IDELAYE2,SLICE_X1Y70,IDELAY_X0Y27,SLICE_X7Y81,IDELAY_X0Y32,True,6,11,17,True,0,5,5
baseline-no-lock-seed-7,7,baseline-no-lock,True,0,none,0,1493.0,1279.0,-214.0,214.0,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs,SLICE_X7Y68/A6LUT,IDELAY_X0Y27/IDELAYE2,SLICE_X3Y73/A6LUT,IDELAY_X0Y32/IDELAYE2,SLICE_X7Y68,IDELAY_X0Y27,SLICE_X3Y73,IDELAY_X0Y32,True,-4,5,9,True,0,5,5
baseline-no-lock-seed-8,8,baseline-no-lock,True,0,none,0,1284.0,967.0,-317.0,317.0,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs,SLICE_X5Y54/B6LUT,IDELAY_X0Y27/IDELAYE2,SLICE_X9Y46/A6LUT,IDELAY_X0Y32/IDELAYE2,SLICE_X5Y54,IDELAY_X0Y27,SLICE_X9Y46,IDELAY_X0Y32,True,4,-8,12,True,0,5,5
baseline-no-lock-seed-9,9,baseline-no-lock,True,0,none,0,1567.0,1302.0,-265.0,265.0,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs,SLICE_X1Y62/B6LUT,IDELAY_X0Y27/IDELAYE2,SLICE_X0Y67/A6LUT,IDELAY_X0Y32/IDELAYE2,SLICE_X1Y62,IDELAY_X0Y27,SLICE_X0Y67,IDELAY_X0Y32,True,-1,5,6,True,0,5,5
baseline-no-lock-seed-10,10,baseline-no-lock,True,0,none,0,1868.0,1715.0,-153.0,153.0,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs,SLICE_X5Y60/A6LUT,IDELAY_X0Y27/IDELAYE2,SLICE_X7Y77/A6LUT,IDELAY_X0Y32/IDELAYE2,SLICE_X5Y60,IDELAY_X0Y27,SLICE_X7Y77,IDELAY_X0Y32,True,2,17,19,True,0,5,5
