experiment_id,seed,variant,hardware_pass,abort_reason,abort_reason_name,abort_lane,dq14_delay_ps,dqs1_delay_ps,signed_dqs1_minus_dq14_ps,abs_dqs1_minus_dq14_ps,dq14_from_pin,dq14_to_pin,dqs1_from_pin,dqs1_to_pin,dq14_from_cell,dq14_to_cell,dqs1_from_cell,dqs1_to_cell,dq14_from_bel,dq14_to_bel,dqs1_from_bel,dqs1_to_bel,dq14_from_site,dq14_to_site,dqs1_from_site,dqs1_to_site,source_dqs1_minus_dq14_same_site_type,source_dqs1_minus_dq14_dx,source_dqs1_minus_dq14_dy,source_dqs1_minus_dq14_manhattan,sink_dqs1_minus_dq14_same_site_type,sink_dqs1_minus_dq14_dx,sink_dqs1_minus_dq14_dy,sink_dqs1_minus_dq14_manhattan
cntvaluein3-skew-locked-seed2,2,cntvaluein3-skew-locked,True,0,none,0,1588.0,1751.0,163.0,163.0,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.phy_idelay_data_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.phy_idelay_dqs_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.phy_idelay_data_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.phy_idelay_dqs_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs,SLICE_X1Y72/A6LUT,IDELAY_X0Y27/IDELAYE2,SLICE_X1Y75/B6LUT,IDELAY_X0Y32/IDELAYE2,SLICE_X1Y72,IDELAY_X0Y27,SLICE_X1Y75,IDELAY_X0Y32,True,0,3,3,True,0,5,5
cntvaluein3-skew-locked-seed3,3,cntvaluein3-skew-locked,True,0,none,0,1909.0,1376.0,-533.0,533.0,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.phy_idelay_data_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.phy_idelay_dqs_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.phy_idelay_data_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.phy_idelay_dqs_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs,SLICE_X1Y72/A6LUT,IDELAY_X0Y27/IDELAYE2,SLICE_X1Y75/B6LUT,IDELAY_X0Y32/IDELAYE2,SLICE_X1Y72,IDELAY_X0Y27,SLICE_X1Y75,IDELAY_X0Y32,True,0,3,3,True,0,5,5
cntvaluein3-skew-locked-seed6,6,cntvaluein3-skew-locked,True,0,none,0,1929.0,1407.0,-522.0,522.0,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.phy_idelay_data_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.phy_idelay_dqs_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.phy_idelay_data_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.phy_idelay_dqs_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs,SLICE_X1Y72/A6LUT,IDELAY_X0Y27/IDELAYE2,SLICE_X1Y75/B6LUT,IDELAY_X0Y32/IDELAYE2,SLICE_X1Y72,IDELAY_X0Y27,SLICE_X1Y75,IDELAY_X0Y32,True,0,3,3,True,0,5,5
cntvaluein3-skew-locked-seed11,11,cntvaluein3-skew-locked,True,0,none,0,1751.0,1605.0,-146.0,146.0,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.phy_idelay_data_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.phy_idelay_dqs_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.phy_idelay_data_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.phy_idelay_dqs_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs,SLICE_X1Y72/A6LUT,IDELAY_X0Y27/IDELAYE2,SLICE_X1Y75/B6LUT,IDELAY_X0Y32/IDELAYE2,SLICE_X1Y72,IDELAY_X0Y27,SLICE_X1Y75,IDELAY_X0Y32,True,0,3,3,True,0,5,5
cntvaluein3-skew-locked-seed12,12,cntvaluein3-skew-locked,False,0,none,0,1728.0,1378.0,-350.0,350.0,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.phy_idelay_data_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.phy_idelay_dqs_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.phy_idelay_data_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.phy_idelay_dqs_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs,SLICE_X1Y72/A6LUT,IDELAY_X0Y27/IDELAYE2,SLICE_X1Y75/B6LUT,IDELAY_X0Y32/IDELAYE2,SLICE_X1Y72,IDELAY_X0Y27,SLICE_X1Y75,IDELAY_X0Y32,True,0,3,3,True,0,5,5
cntvaluein3-skew-locked-seed16,16,cntvaluein3-skew-locked,False,2,check_starting_data_search_exhausted,0,1876.0,1368.0,-508.0,508.0,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.phy_idelay_data_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.phy_idelay_dqs_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.phy_idelay_data_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.phy_idelay_dqs_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs,SLICE_X1Y72/A6LUT,IDELAY_X0Y27/IDELAYE2,SLICE_X1Y75/B6LUT,IDELAY_X0Y32/IDELAYE2,SLICE_X1Y72,IDELAY_X0Y27,SLICE_X1Y75,IDELAY_X0Y32,True,0,3,3,True,0,5,5
cntvaluein3-skew-locked-seed20,20,cntvaluein3-skew-locked,True,0,none,0,1860.0,1929.0,69.0,69.0,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.phy_idelay_data_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.phy_idelay_dqs_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.phy_idelay_data_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.phy_idelay_dqs_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs,SLICE_X1Y72/A6LUT,IDELAY_X0Y27/IDELAYE2,SLICE_X1Y75/B6LUT,IDELAY_X0Y32/IDELAYE2,SLICE_X1Y72,IDELAY_X0Y27,SLICE_X1Y75,IDELAY_X0Y32,True,0,3,3,True,0,5,5
cntvaluein3-skew-locked-seed23,23,cntvaluein3-skew-locked,False,2,check_starting_data_search_exhausted,0,1787.0,1368.0,-419.0,419.0,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.phy_idelay_data_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.phy_idelay_dqs_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.phy_idelay_data_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.phy_idelay_dqs_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs,SLICE_X1Y72/A6LUT,IDELAY_X0Y27/IDELAYE2,SLICE_X1Y75/B6LUT,IDELAY_X0Y32/IDELAYE2,SLICE_X1Y72,IDELAY_X0Y27,SLICE_X1Y75,IDELAY_X0Y32,True,0,3,3,True,0,5,5
cntvaluein3-skew-locked-seed27,27,cntvaluein3-skew-locked,True,0,none,0,2201.0,1572.0,-629.0,629.0,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.phy_idelay_data_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.phy_idelay_dqs_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.phy_idelay_data_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.phy_idelay_dqs_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs,SLICE_X1Y72/A6LUT,IDELAY_X0Y27/IDELAYE2,SLICE_X1Y75/B6LUT,IDELAY_X0Y32/IDELAYE2,SLICE_X1Y72,IDELAY_X0Y27,SLICE_X1Y75,IDELAY_X0Y32,True,0,3,3,True,0,5,5
cntvaluein3-skew-locked-seed1,1,cntvaluein3-skew-locked,True,0,none,0,1761.0,2086.0,325.0,325.0,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.phy_idelay_data_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.phy_idelay_dqs_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs.CNTVALUEIN3,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.phy_idelay_data_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk5[14].IDELAYE2_data,$abc$192400$lut\ddr3_top_inst.ddr3_phy_inst.phy_idelay_dqs_cntvaluein[3],ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs,SLICE_X1Y72/A6LUT,IDELAY_X0Y27/IDELAYE2,SLICE_X1Y75/B6LUT,IDELAY_X0Y32/IDELAYE2,SLICE_X1Y72,IDELAY_X0Y27,SLICE_X1Y75,IDELAY_X0Y32,True,0,3,3,True,0,5,5
