seed,baseline_experiment_id,locked_experiment_id,hardware_transition,baseline_pass,locked_pass,baseline_abort_reason,locked_abort_reason,locked_abort_reason_name,baseline_abs_dqs1_minus_dq14_ps,locked_abs_dqs1_minus_dq14_ps,delta_abs_dqs1_minus_dq14_ps,baseline_signed_dqs1_minus_dq14_ps,locked_signed_dqs1_minus_dq14_ps,delta_signed_dqs1_minus_dq14_ps,baseline_source_manhattan,locked_source_manhattan,delta_source_manhattan,baseline_sink_manhattan,locked_sink_manhattan,delta_sink_manhattan,baseline_dq14_from_bel,baseline_dqs1_from_bel,locked_dq14_from_bel,locked_dqs1_from_bel
1,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,pass_to_pass,True,True,0,0,none,141,325,184,-141,325,466,16,3,-13,5,5,0,SLICE_X7Y65/A6LUT,SLICE_X0Y74/B6LUT,SLICE_X1Y72/A6LUT,SLICE_X1Y75/B6LUT
2,baseline-no-lock-seed-2,cntvaluein3-skew-locked-seed2,fail_to_pass,False,True,2,0,none,707,163,-544,707,163,-544,21,3,-18,5,5,0,SLICE_X1Y58/B6LUT,SLICE_X5Y75/A6LUT,SLICE_X1Y72/A6LUT,SLICE_X1Y75/B6LUT
3,baseline-no-lock-seed-3,cntvaluein3-skew-locked-seed3,pass_to_pass,True,True,0,0,none,53,533,480,53,-533,-586,3,3,0,5,5,0,SLICE_X1Y72/A6LUT,SLICE_X1Y75/B6LUT,SLICE_X1Y72/A6LUT,SLICE_X1Y75/B6LUT
5,baseline-no-lock-seed-5,cntvaluein3-skew-locked-seed5,pass_to_pass,True,True,0,0,none,139,355,216,139,-355,-494,7,3,-4,5,5,0,SLICE_X6Y58/A6LUT,SLICE_X5Y64/A6LUT,SLICE_X1Y72/A6LUT,SLICE_X1Y75/B6LUT
6,baseline-no-lock-seed-6,cntvaluein3-skew-locked-seed6,fail_to_pass,False,True,2,0,none,326,522,196,-326,-522,-196,17,3,-14,5,5,0,SLICE_X1Y70/B6LUT,SLICE_X7Y81/A6LUT,SLICE_X1Y72/A6LUT,SLICE_X1Y75/B6LUT
11,baseline-no-lock-seed-11,cntvaluein3-skew-locked-seed11,fail_to_pass,False,True,2,0,none,301,146,-155,301,-146,-447,9,3,-6,5,5,0,SLICE_X2Y58/A6LUT,SLICE_X7Y62/A6LUT,SLICE_X1Y72/A6LUT,SLICE_X1Y75/B6LUT
12,baseline-no-lock-seed-12,cntvaluein3-skew-locked-seed12-long-poll,fail_to_fail,False,False,2,0,none,117,350,233,117,-350,-467,15,3,-12,5,5,0,SLICE_X0Y63/A6LUT,SLICE_X6Y72/A6LUT,SLICE_X1Y72/A6LUT,SLICE_X1Y75/B6LUT
16,baseline-no-lock-seed-16,cntvaluein3-skew-locked-seed16-long-poll,fail_to_fail,False,False,0,2,check_starting_data_search_exhausted,480,508,28,-480,-508,-28,3,3,0,5,5,0,SLICE_X3Y62/B6LUT,SLICE_X6Y62/A6LUT,SLICE_X1Y72/A6LUT,SLICE_X1Y75/B6LUT
20,baseline-no-lock-seed-20,cntvaluein3-skew-locked-seed20,fail_to_pass,False,True,2,0,none,421,69,-352,-421,69,490,22,3,-19,5,5,0,SLICE_X1Y70/A6LUT,SLICE_X7Y86/A6LUT,SLICE_X1Y72/A6LUT,SLICE_X1Y75/B6LUT
23,baseline-no-lock-seed-23,cntvaluein3-skew-locked-seed23-long-poll,fail_to_fail,False,False,2,2,check_starting_data_search_exhausted,230,419,189,-230,-419,-189,13,3,-10,5,5,0,SLICE_X7Y50/A6LUT,SLICE_X7Y63/B6LUT,SLICE_X1Y72/A6LUT,SLICE_X1Y75/B6LUT
27,baseline-no-lock-seed-27,cntvaluein3-skew-locked-seed27,fail_to_pass,False,True,2,0,none,400,629,229,-400,-629,-229,12,3,-9,5,5,0,SLICE_X7Y60/A6LUT,SLICE_X5Y70/A6LUT,SLICE_X1Y72/A6LUT,SLICE_X1Y75/B6LUT
28,baseline-no-lock-seed-28,cntvaluein3-skew-locked-seed28-long-poll,pass_to_fail,True,False,0,2,check_starting_data_search_exhausted,179,538,359,-179,538,717,9,3,-6,5,5,0,SLICE_X1Y60/B6LUT,SLICE_X5Y65/B6LUT,SLICE_X1Y72/A6LUT,SLICE_X1Y75/B6LUT
30,baseline-no-lock-seed-30,cntvaluein3-skew-locked-seed30-long-poll,pass_to_fail,True,False,0,2,check_starting_data_search_exhausted,143,69,-74,-143,69,212,14,3,-11,5,5,0,SLICE_X0Y65/A6LUT,SLICE_X7Y72/A6LUT,SLICE_X1Y72/A6LUT,SLICE_X1Y75/B6LUT
