metric,family,lane,bit,control_bit,scope,fail_count,fail_min_ps,fail_median_ps,fail_max_ps,pass_count,pass_min_ps,pass_median_ps,pass_max_ps,robust_count,robust_min_ps,robust_median_ps,robust_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,robust_minus_fail_median_ps
direct_max,idelay_data_cntvaluein,lane0,dq5,4,endpoint,8,990.0,1816.0,2132.0,22,1100.0,1441.0,2290.0,0,,,,375.0,-1300.0,
direct_max,idelay_data_cntvaluein,lane0,dq7,4,endpoint,8,1279.0,2047.0,2256.0,22,944.0,1703.5,2446.0,0,,,,343.5,-1167.0,
direct_max,idelay_data_cntvaluein,lane0,dq4,4,endpoint,8,1184.0,1961.5,2161.0,22,1024.0,1636.0,2358.0,0,,,,325.5,-1174.0,
direct_max,idelay_data_cntvaluein,lane0,dq0,4,endpoint,8,1088.0,1922.0,2076.0,22,1128.0,1615.0,2384.0,0,,,,307.0,-1296.0,
cntvaluein_bus_skew,idelay_dqs_cntvaluein,lane0,dqs0,,dqs0,8,487.0,879.0,1323.0,22,220.0,574.0,1157.0,0,,,,305.0,-670.0,
lane_spread,idelay_dqs_cntvaluein,lane0,,,lane,8,487.0,879.0,1323.0,22,220.0,574.0,1157.0,0,,,,305.0,-670.0,
direct_max,idelay_data_cntvaluein,lane0,dq3,4,endpoint,8,1077.0,1739.5,2134.0,22,1011.0,1435.0,2206.0,0,,,,304.5,-1129.0,
direct_max,idelay_data_cntvaluein,lane1,dq8,4,endpoint,8,1192.0,1632.5,1886.0,22,989.0,1359.0,2331.0,0,,,,273.5,-1139.0,
direct_max,idelay_data_cntvaluein,lane0,dq1,4,endpoint,8,1095.0,1938.5,2135.0,22,1082.0,1680.5,2388.0,0,,,,258.0,-1293.0,
direct_max,dq_iologic,lane1,dq11,,endpoint,8,2325.0,2714.0,3190.0,22,2223.0,2460.0,3805.0,0,,,,254.0,-1480.0,
direct_max,dq_iologic,lane1,dq10,,endpoint,8,2144.0,2805.0,3256.0,22,2177.0,2565.0,3391.0,0,,,,240.0,-1247.0,
direct_max,idelay_data_cntvaluein,lane0,dq2,4,endpoint,8,1190.0,1933.5,2049.0,22,1225.0,1697.5,2358.0,0,,,,236.0,-1168.0,
direct_max,idelay_dqs_cntvaluein,lane0,dqs0,4,endpoint,8,1179.0,1695.5,2055.0,22,1078.0,1461.0,2137.0,0,,,,234.5,-958.0,
direct_max,dqs_iologic,lane1,dqs1,,endpoint,8,2542.0,3007.5,3150.0,22,2121.0,2781.5,3884.0,0,,,,226.0,-1342.0,
lane_spread,dqs_iologic,lane1,,,lane,8,2542.0,3007.5,3150.0,22,2121.0,2781.5,3884.0,0,,,,226.0,-1342.0,
direct_max,idelay_data_cntvaluein,lane1,dq14,4,endpoint,8,1105.0,1664.0,1896.0,22,973.0,1439.5,2155.0,0,,,,224.5,-1050.0,
direct_max,dq_iologic,lane1,dq13,,endpoint,8,1960.0,2631.0,3276.0,22,2115.0,2417.5,3891.0,0,,,,213.5,-1931.0,
lane_spread,dq_iologic,lane1,,,lane,8,2345.0,2888.0,3513.0,22,2265.0,2694.0,4359.0,0,,,,194.0,-2014.0,
direct_max,idelay_data_cntvaluein,lane1,dq11,4,endpoint,8,936.0,1463.0,1809.0,22,785.0,1270.0,1950.0,0,,,,193.0,-1014.0,
direct_max,idelay_dqs_cntvaluein,lane1,dqs1,4,endpoint,8,1154.0,1415.5,1644.0,22,1004.0,1222.5,1789.0,0,,,,193.0,-635.0,
direct_max,idelay_data_cntvaluein,lane1,dq10,4,endpoint,8,1009.0,1562.0,1820.0,22,945.0,1374.5,2062.0,0,,,,187.5,-1053.0,
direct_max,idelay_data_cntvaluein,lane0,dq6,4,endpoint,8,1286.0,1868.5,2144.0,22,1182.0,1698.5,2453.0,0,,,,170.0,-1167.0,
direct_max,dq_iologic,lane0,dq6,,endpoint,8,1738.0,2119.5,2815.0,22,1638.0,1952.0,4176.0,0,,,,167.5,-2438.0,
direct_max,idelay_data_cntvaluein,lane1,dq12,4,endpoint,8,1093.0,1606.5,1870.0,22,953.0,1446.0,2236.0,0,,,,160.5,-1143.0,
direct_max,dq_iologic,lane0,dq7,,endpoint,8,1952.0,2389.5,2900.0,22,1695.0,2234.0,3805.0,0,,,,155.5,-1853.0,
direct_max,idelay_data_cntvaluein,lane1,dq15,4,endpoint,8,799.0,1383.5,1419.0,22,739.0,1228.0,1886.0,0,,,,155.5,-1087.0,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq7,,dq7,8,265.0,821.5,1105.0,22,135.0,681.0,1182.0,0,,,,140.5,-917.0,
direct_max,dqs_iologic,lane0,dqs0,,endpoint,8,2904.0,3352.5,3539.0,22,2555.0,3217.0,4275.0,0,,,,135.5,-1371.0,
lane_spread,dqs_iologic,lane0,,,lane,8,2904.0,3352.5,3539.0,22,2555.0,3217.0,4275.0,0,,,,135.5,-1371.0,
direct_max,idelay_dqs_cntvaluein,lane0,dqs0,0,endpoint,8,1085.0,1743.5,2591.0,22,958.0,1611.5,2061.0,0,,,,132.0,-976.0,
direct_max,dq_iologic,lane1,dq14,,endpoint,8,2055.0,2618.0,3279.0,22,2234.0,2489.5,3421.0,0,,,,128.5,-1366.0,
direct_max,idelay_data_cntvaluein,lane1,dq13,4,endpoint,8,848.0,1455.0,1896.0,22,873.0,1331.5,2038.0,0,,,,123.5,-1190.0,
direct_max,idelay_dqs_cntvaluein,lane1,dqs1,0,endpoint,8,1082.0,1467.5,2325.0,22,975.0,1350.0,2062.0,0,,,,117.5,-980.0,
control_fanout_spread,idelay_data_cntvaluein,lane0,,3,lane_control_bit,8,273.0,491.0,691.0,22,193.0,374.0,624.0,0,,,,117.0,-351.0,
direct_max,idelay_data_cntvaluein,lane0,dq3,0,endpoint,8,1210.0,1547.5,1965.0,22,1059.0,1432.5,1919.0,0,,,,115.0,-709.0,
direct_max,idelay_data_cntvaluein,lane0,dq4,0,endpoint,8,1009.0,1727.0,2109.0,22,1271.0,1614.0,2170.0,0,,,,113.0,-1161.0,
direct_max,dq_iologic,lane1,dq12,,endpoint,8,2209.0,2654.5,3342.0,22,2204.0,2556.5,3483.0,0,,,,98.0,-1274.0,
control_fanout_spread,idelay_data_cntvaluein,lane1,,0,lane_control_bit,8,211.0,476.5,693.0,22,140.0,378.5,781.0,0,,,,98.0,-570.0,
direct_max,dq_iologic,lane1,dq15,,endpoint,8,1942.0,2513.5,3326.0,22,1904.0,2416.0,3944.0,0,,,,97.5,-2002.0,
direct_max,idelay_data_cntvaluein,lane0,dq5,0,endpoint,8,1230.0,1594.0,1883.0,22,970.0,1498.5,2003.0,0,,,,95.5,-773.0,
direct_max,idelay_data_cntvaluein,lane1,dq9,2,endpoint,8,975.0,1271.5,1718.0,22,887.0,1179.5,1643.0,0,,,,92.0,-668.0,
control_fanout_spread,idelay_data_cntvaluein,lane1,,4,lane_control_bit,8,358.0,486.0,709.0,22,192.0,400.0,693.0,0,,,,86.0,-335.0,
direct_max,idelay_data_cntvaluein,lane0,dq7,0,endpoint,8,1177.0,1710.0,2187.0,22,1271.0,1633.5,2265.0,0,,,,76.5,-1088.0,
direct_max,idelay_ld,lane0,dq3,,endpoint,8,1376.0,1555.5,2009.0,22,1314.0,1479.0,2121.0,0,,,,76.5,-745.0,
direct_max,dq_iologic,lane0,dq4,,endpoint,8,1575.0,2048.0,3174.0,22,1621.0,1973.5,4073.0,0,,,,74.5,-2498.0,
direct_max,idelay_data_cntvaluein,lane1,dq10,0,endpoint,8,978.0,1452.5,1957.0,22,970.0,1378.5,1730.0,0,,,,74.0,-752.0,
direct_max,idelay_data_cntvaluein,lane1,dq9,4,endpoint,8,711.0,1311.0,1504.0,22,827.0,1241.0,1973.0,0,,,,70.0,-1262.0,
direct_max,idelay_data_cntvaluein,lane0,dq2,3,endpoint,8,1269.0,1814.5,2351.0,22,1200.0,1744.5,2286.0,0,,,,70.0,-1017.0,
direct_max,idelay_data_cntvaluein,lane1,dq13,0,endpoint,8,1021.0,1402.5,1738.0,22,913.0,1333.5,1754.0,0,,,,69.0,-733.0,
direct_max,idelay_data_cntvaluein,lane1,dq11,0,endpoint,8,934.0,1401.0,1731.0,22,782.0,1332.5,1667.0,0,,,,68.5,-733.0,
lane_spread,idelay_ld,lane1,,,lane,8,316.0,422.0,617.0,22,146.0,353.5,706.0,0,,,,68.5,-390.0,
direct_max,idelay_data_cntvaluein,lane0,dq6,0,endpoint,8,990.0,1681.5,2069.0,22,1279.0,1619.5,2124.0,0,,,,62.0,-1134.0,
direct_max,idelay_ld,lane1,dq14,,endpoint,8,1312.0,1634.5,2036.0,22,1271.0,1572.5,1955.0,0,,,,62.0,-643.0,
direct_max,idelay_data_cntvaluein,lane0,dq1,0,endpoint,8,1185.0,1716.5,2234.0,22,1069.0,1655.0,2246.0,0,,,,61.5,-1061.0,
direct_max,idelay_data_cntvaluein,lane1,dq14,3,endpoint,8,1070.0,1572.5,2125.0,22,879.0,1511.0,1940.0,0,,,,61.5,-870.0,
direct_max,idelay_ld,lane0,dq5,,endpoint,8,1353.0,1610.0,1929.0,22,1381.0,1552.0,1860.0,0,,,,58.0,-507.0,
direct_max,idelay_data_cntvaluein,lane1,dq15,2,endpoint,8,884.0,1256.0,1626.0,22,802.0,1199.5,1643.0,0,,,,56.5,-759.0,
direct_max,idelay_data_cntvaluein,lane1,dq9,1,endpoint,8,814.0,1238.0,1519.0,22,808.0,1185.5,1664.0,0,,,,52.5,-850.0,
direct_max,dq_iologic,lane0,dq1,,endpoint,8,1876.0,2149.0,3088.0,22,1649.0,2099.5,3990.0,0,,,,49.5,-2114.0,
control_fanout_spread,idelay_data_cntvaluein,lane1,,1,lane_control_bit,8,250.0,468.5,554.0,22,145.0,420.5,1067.0,0,,,,48.0,-817.0,
direct_max,idelay_ld,lane0,dq1,,endpoint,8,1434.0,1753.0,2158.0,22,1245.0,1709.5,2244.0,0,,,,43.5,-810.0,
direct_max,idelay_dqs_cntvaluein,lane1,dqs1,3,endpoint,8,1072.0,1418.0,1825.0,22,961.0,1374.5,1809.0,0,,,,43.5,-737.0,
direct_max,idelay_data_cntvaluein,lane1,dq12,3,endpoint,8,949.0,1523.5,2032.0,22,961.0,1481.5,1850.0,0,,,,42.0,-901.0,
direct_max,idelay_ld,lane1,dq13,,endpoint,8,1215.0,1519.0,2029.0,22,1159.0,1479.0,1843.0,0,,,,40.0,-628.0,
direct_max,idelay_data_cntvaluein,lane1,dq12,2,endpoint,8,1133.0,1551.5,1934.0,22,1069.0,1513.5,2216.0,0,,,,38.0,-1083.0,
direct_max,dq_iologic,lane0,dq2,,endpoint,8,1740.0,2022.0,3181.0,22,1634.0,1984.5,4083.0,0,,,,37.5,-2343.0,
control_fanout_spread,idelay_data_cntvaluein,lane1,,3,lane_control_bit,8,178.0,458.5,783.0,22,210.0,423.0,625.0,0,,,,35.5,-447.0,
control_fanout_spread,idelay_data_cntvaluein,lane1,,2,lane_control_bit,8,227.0,421.5,611.0,22,222.0,386.5,776.0,0,,,,35.0,-549.0,
lane_spread,dq_iologic,lane0,,,lane,8,1988.0,2481.5,3398.0,22,1863.0,2449.5,4221.0,0,,,,32.0,-2233.0,
direct_max,idelay_ld,lane1,dq11,,endpoint,8,1208.0,1532.5,1945.0,22,1304.0,1501.0,1812.0,0,,,,31.5,-604.0,
direct_max,idelay_data_cntvaluein,lane1,dq8,1,endpoint,8,939.0,1515.0,1929.0,22,1065.0,1484.0,2029.0,0,,,,31.0,-1090.0,
direct_max,dq_iologic,lane1,dq9,,endpoint,8,2105.0,2310.0,2595.0,22,1904.0,2280.5,4106.0,0,,,,29.5,-2001.0,
cntvaluein_bus_skew,idelay_dqs_cntvaluein,lane1,dqs1,,dqs1,8,378.0,548.5,970.0,22,183.0,520.5,731.0,0,,,,28.0,-353.0,
lane_spread,idelay_dqs_cntvaluein,lane1,,,lane,8,378.0,548.5,970.0,22,183.0,520.5,731.0,0,,,,28.0,-353.0,
lane_spread,idelay_ld,lane0,,,lane,8,232.0,386.5,501.0,22,220.0,361.5,705.0,0,,,,25.0,-473.0,
direct_max,idelay_data_cntvaluein,lane0,dq5,2,endpoint,8,1082.0,1677.0,2246.0,22,1128.0,1656.0,2401.0,0,,,,21.0,-1319.0,
direct_max,idelay_ld,lane0,dq0,,endpoint,8,1365.0,1717.0,2239.0,22,1154.0,1696.5,2178.0,0,,,,20.5,-813.0,
direct_max,idelay_data_cntvaluein,lane0,dq6,3,endpoint,8,944.0,1747.0,2282.0,22,1190.0,1727.5,2378.0,0,,,,19.5,-1434.0,
direct_max,idelay_ld,lane1,dqs1,,endpoint,8,1179.0,1437.5,1916.0,22,1146.0,1424.0,1963.0,0,,,,13.5,-784.0,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,8,278.0,684.0,1002.0,22,242.0,677.5,1180.0,0,,,,6.5,-902.0,
direct_max,dq_iologic,lane0,dq3,,endpoint,8,1741.0,2414.0,3398.0,22,1726.0,2411.0,3805.0,0,,,,3.0,-2064.0,
direct_max,idelay_data_cntvaluein,lane0,dq0,2,endpoint,8,1162.0,1741.0,2164.0,22,1248.0,1738.5,2217.0,0,,,,2.5,-1055.0,
