sample,status,metric,family,lane,bit,control_bit,scope,count,min_ps,median_ps,p95_ps,max_ps,spread_ps,value_ps
baseline-no-lock-seed-1,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1266.0,1986.0,2028.0,2028.0,762.0,762.0
baseline-no-lock-seed-10,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1542.0,1845.0,1985.0,1985.0,443.0,443.0
baseline-no-lock-seed-11,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1215.0,1286.0,1498.0,1498.0,283.0,283.0
baseline-no-lock-seed-12,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1171.0,1350.0,1866.0,1866.0,695.0,695.0
baseline-no-lock-seed-13,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1718.0,1945.0,2322.0,2322.0,604.0,604.0
baseline-no-lock-seed-14,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1304.0,1687.0,1998.0,1998.0,694.0,694.0
baseline-no-lock-seed-15,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1082.0,1567.0,2207.0,2207.0,1125.0,1125.0
baseline-no-lock-seed-16,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1101.0,1791.0,2096.0,2096.0,995.0,995.0
baseline-no-lock-seed-17,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1383.0,1950.0,2384.0,2384.0,1001.0,1001.0
baseline-no-lock-seed-18,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1309.0,1557.0,1699.0,1699.0,390.0,390.0
baseline-no-lock-seed-19,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1159.0,1284.0,1547.0,1547.0,388.0,388.0
baseline-no-lock-seed-2,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1088.0,1269.0,1879.0,1879.0,791.0,791.0
baseline-no-lock-seed-20,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1830.0,2023.0,2339.0,2339.0,509.0,509.0
baseline-no-lock-seed-21,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1128.0,1386.0,1656.0,1656.0,528.0,528.0
baseline-no-lock-seed-22,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1363.0,1759.0,2548.0,2548.0,1185.0,1185.0
baseline-no-lock-seed-23,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1348.0,1526.0,1652.0,1652.0,304.0,304.0
baseline-no-lock-seed-24,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1210.0,1389.0,1664.0,1664.0,454.0,454.0
baseline-no-lock-seed-25,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,985.0,1639.0,1947.0,1947.0,962.0,962.0
baseline-no-lock-seed-26,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1498.0,1641.0,1937.0,1937.0,439.0,439.0
baseline-no-lock-seed-27,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1916.0,2164.0,2303.0,2303.0,387.0,387.0
baseline-no-lock-seed-28,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1134.0,1804.0,2055.0,2055.0,921.0,921.0
baseline-no-lock-seed-29,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1200.0,1526.0,2086.0,2086.0,886.0,886.0
baseline-no-lock-seed-3,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1654.0,2066.0,2217.0,2217.0,563.0,563.0
baseline-no-lock-seed-30,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1351.0,1917.0,1973.0,1973.0,622.0,622.0
baseline-no-lock-seed-4,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1167.0,1593.0,2059.0,2059.0,892.0,892.0
baseline-no-lock-seed-5,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1493.0,1710.0,1916.0,1916.0,423.0,423.0
baseline-no-lock-seed-6,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1610.0,2023.0,2358.0,2358.0,748.0,748.0
baseline-no-lock-seed-7,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1710.0,1921.0,2108.0,2108.0,398.0,398.0
baseline-no-lock-seed-8,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1039.0,1521.0,1720.0,1720.0,681.0,681.0
baseline-no-lock-seed-9,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1172.0,1712.0,1934.0,1934.0,762.0,762.0
baseline-no-lock-seed-1,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1179.0,1906.0,2091.0,2091.0,912.0,912.0
baseline-no-lock-seed-10,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1626.0,1919.0,1980.0,1980.0,354.0,354.0
baseline-no-lock-seed-11,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1133.0,1365.0,1411.0,1411.0,278.0,278.0
baseline-no-lock-seed-12,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1090.0,1391.0,1953.0,1953.0,863.0,863.0
baseline-no-lock-seed-13,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1638.0,1939.0,2263.0,2263.0,625.0,625.0
baseline-no-lock-seed-14,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1166.0,1804.0,2051.0,2051.0,885.0,885.0
