metric,family,lane,bit,control_bit,scope,fail_count,fail_min_ps,fail_median_ps,fail_max_ps,pass_count,pass_min_ps,pass_median_ps,pass_max_ps,robust_count,robust_min_ps,robust_median_ps,robust_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,robust_minus_fail_median_ps
direct_max,dq_iologic,lane0,dq1,,endpoint,5,2111.0,2795.0,3256.0,6,1891.0,2229.0,2335.0,0,,,,566.0,-224.0,
direct_max,dq_iologic,lane0,dq6,,endpoint,5,1932.0,2598.0,3368.0,6,1949.0,2075.5,2494.0,0,,,,522.5,-562.0,
direct_max,dq_iologic,lane1,dq8,,endpoint,5,1902.0,2780.0,3477.0,6,1707.0,2333.5,3052.0,0,,,,446.5,-1150.0,
direct_max,dq_iologic,lane1,dq12,,endpoint,5,1924.0,2549.0,3193.0,6,1756.0,2131.5,2769.0,0,,,,417.5,-845.0,
direct_max,dq_iologic,lane0,dq5,,endpoint,5,2273.0,2684.0,3339.0,6,2108.0,2272.0,2546.0,0,,,,412.0,-273.0,
direct_max,dq_iologic,lane0,dq2,,endpoint,5,2019.0,2505.0,3285.0,6,1707.0,2142.5,2559.0,0,,,,362.5,-540.0,
direct_max,dq_iologic,lane1,dq11,,endpoint,5,2260.0,2476.0,2986.0,6,2009.0,2143.5,2420.0,0,,,,332.5,-160.0,
lane_spread,dq_iologic,lane0,,,lane,5,2483.0,2795.0,3447.0,6,2357.0,2463.5,2723.0,0,,,,331.5,-240.0,
direct_max,dq_iologic,lane0,dq7,,endpoint,5,1929.0,2589.0,3447.0,6,1945.0,2283.0,2571.0,0,,,,306.0,-642.0,
direct_max,dq_iologic,lane0,dq3,,endpoint,5,2424.0,2720.0,3249.0,6,2121.0,2419.0,2723.0,0,,,,301.0,-299.0,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq9,,dq9,5,708.0,970.0,1011.0,6,518.0,702.0,1005.0,0,,,,268.0,-297.0,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq15,,dq15,5,707.0,973.0,1014.0,6,598.0,720.5,943.0,0,,,,252.5,-236.0,
direct_max,dq_iologic,lane0,dq4,,endpoint,5,1837.0,2211.0,3368.0,6,1809.0,1977.5,2316.0,0,,,,233.5,-479.0,
direct_max,idelay_data_cntvaluein,lane1,dq10,1,endpoint,5,654.0,1029.0,1157.0,6,675.0,798.5,1950.0,0,,,,230.5,-1296.0,
direct_max,dqs_iologic,lane0,dqs0,,endpoint,5,3089.0,3855.0,4289.0,6,2775.0,3630.0,3900.0,0,,,,225.0,-811.0,
lane_spread,dqs_iologic,lane0,,,lane,5,3089.0,3855.0,4289.0,6,2775.0,3630.0,3900.0,0,,,,225.0,-811.0,
direct_max,dqs_iologic,lane1,dqs1,,endpoint,5,2700.0,3464.0,3900.0,6,2355.0,3240.0,3630.0,0,,,,224.0,-930.0,
lane_spread,dqs_iologic,lane1,,,lane,5,2700.0,3464.0,3900.0,6,2355.0,3240.0,3630.0,0,,,,224.0,-930.0,
direct_max,dq_iologic,lane0,dq0,,endpoint,5,2013.0,2352.0,3263.0,6,1937.0,2136.0,2434.0,0,,,,216.0,-421.0,
direct_max,idelay_data_cntvaluein,lane0,dq5,4,endpoint,5,787.0,1348.0,1682.0,6,869.0,1138.5,2081.0,0,,,,209.5,-1294.0,
direct_max,dq_iologic,lane1,dq10,,endpoint,5,1636.0,2259.0,3108.0,6,1868.0,2068.5,2598.0,0,,,,190.5,-962.0,
direct_max,idelay_data_cntvaluein,lane0,dq0,1,endpoint,5,934.0,1292.0,1659.0,6,1013.0,1110.5,2223.0,0,,,,181.5,-1289.0,
direct_max,idelay_data_cntvaluein,lane0,dq1,1,endpoint,5,1024.0,1376.0,1741.0,6,1046.0,1201.5,2308.0,0,,,,174.5,-1284.0,
direct_max,idelay_dqs_cntvaluein,lane0,dqs0,0,endpoint,5,919.0,1608.0,2016.0,6,990.0,1435.5,1669.0,0,,,,172.5,-750.0,
direct_max,idelay_ld,lane1,dq11,,endpoint,5,958.0,1462.0,1648.0,6,1008.0,1290.0,1613.0,0,,,,172.0,-655.0,
direct_max,idelay_data_cntvaluein,lane1,dq12,0,endpoint,5,865.0,944.0,1810.0,6,665.0,784.0,1656.0,0,,,,160.0,-791.0,
direct_max,idelay_data_cntvaluein,lane1,dq13,2,endpoint,5,643.0,889.0,1396.0,6,524.0,729.0,1287.0,0,,,,160.0,-644.0,
direct_max,idelay_data_cntvaluein,lane1,dq8,0,endpoint,5,794.0,1060.0,1807.0,6,711.0,919.5,1634.0,0,,,,140.5,-840.0,
lane_spread,dq_iologic,lane1,,,lane,5,2388.0,2780.0,3477.0,6,2464.0,2641.0,3085.0,0,,,,139.0,-697.0,
direct_max,idelay_data_cntvaluein,lane1,dq14,0,endpoint,5,864.0,972.0,1723.0,6,750.0,833.5,1575.0,0,,,,138.5,-711.0,
direct_max,idelay_ld,lane1,dq9,,endpoint,5,732.0,1268.0,1559.0,6,986.0,1130.0,1432.0,0,,,,138.0,-700.0,
direct_max,idelay_data_cntvaluein,lane1,dq10,0,endpoint,5,777.0,955.0,1812.0,6,726.0,825.0,1667.0,0,,,,130.0,-890.0,
control_fanout_spread,idelay_data_cntvaluein,lane1,,0,lane_control_bit,5,365.0,423.0,705.0,6,256.0,294.0,413.0,0,,,,129.0,-48.0,
