sample,status,metric,family,lane,bit,control_bit,scope,count,min_ps,median_ps,p95_ps,max_ps,spread_ps,value_ps
cntvaluein3-skew-locked-seed1,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1067.0,1110.0,1927.0,1927.0,860.0,860.0
cntvaluein3-skew-locked-seed11,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1121.0,1421.0,1659.0,1659.0,538.0,538.0
cntvaluein3-skew-locked-seed12-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,788.0,934.0,2127.0,2127.0,1339.0,1339.0
cntvaluein3-skew-locked-seed16-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,958.0,1161.0,1470.0,1470.0,512.0,512.0
cntvaluein3-skew-locked-seed20,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,921.0,1149.0,2154.0,2154.0,1233.0,1233.0
cntvaluein3-skew-locked-seed23-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1072.0,1133.0,1792.0,1792.0,720.0,720.0
cntvaluein3-skew-locked-seed27,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1554.0,2005.0,2223.0,2223.0,669.0,669.0
cntvaluein3-skew-locked-seed28-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1230.0,1376.0,1532.0,1532.0,302.0,302.0
cntvaluein3-skew-locked-seed30-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1659.0,1759.0,2049.0,2049.0,390.0,390.0
cntvaluein3-skew-locked-seed5,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,875.0,1185.0,2464.0,2464.0,1589.0,1589.0
cntvaluein3-skew-locked-seed6,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1013.0,1113.0,1705.0,1705.0,692.0,692.0
cntvaluein3-skew-locked-seed1,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1067.0,1202.0,1879.0,1879.0,812.0,812.0
cntvaluein3-skew-locked-seed11,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1205.0,1343.0,1751.0,1751.0,546.0,546.0
cntvaluein3-skew-locked-seed12-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,788.0,1024.0,2124.0,2124.0,1336.0,1336.0
cntvaluein3-skew-locked-seed16-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1044.0,1228.0,1559.0,1559.0,515.0,515.0
cntvaluein3-skew-locked-seed20,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,977.0,1241.0,2065.0,2065.0,1088.0,1088.0
cntvaluein3-skew-locked-seed23-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,987.0,1222.0,1883.0,1883.0,896.0,896.0
cntvaluein3-skew-locked-seed27,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1473.0,2005.0,2308.0,2308.0,835.0,835.0
cntvaluein3-skew-locked-seed28-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1149.0,1414.0,1547.0,1547.0,398.0,398.0
cntvaluein3-skew-locked-seed30-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1572.0,1741.0,2088.0,2088.0,516.0,516.0
cntvaluein3-skew-locked-seed5,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,962.0,1274.0,2549.0,2549.0,1587.0,1587.0
cntvaluein3-skew-locked-seed6,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,945.0,1100.0,1789.0,1789.0,844.0,844.0
cntvaluein3-skew-locked-seed1,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,981.0,1256.0,2049.0,2049.0,1068.0,1068.0
cntvaluein3-skew-locked-seed11,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1113.0,1437.0,1838.0,1838.0,725.0,725.0
cntvaluein3-skew-locked-seed12-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,769.0,1118.0,2150.0,2150.0,1381.0,1381.0
cntvaluein3-skew-locked-seed16-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,796.0,1136.0,1651.0,1651.0,855.0,855.0
cntvaluein3-skew-locked-seed20,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,805.0,1333.0,2107.0,2107.0,1302.0,1302.0
cntvaluein3-skew-locked-seed23-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,925.0,1171.0,1731.0,1731.0,806.0,806.0
cntvaluein3-skew-locked-seed27,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1557.0,2086.0,2401.0,2401.0,844.0,844.0
cntvaluein3-skew-locked-seed28-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1161.0,1319.0,1559.0,1559.0,398.0,398.0
cntvaluein3-skew-locked-seed30-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1613.0,1771.0,2163.0,2163.0,550.0,550.0
cntvaluein3-skew-locked-seed5,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,859.0,1368.0,2342.0,2342.0,1483.0,1483.0
cntvaluein3-skew-locked-seed6,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1044.0,1162.0,1883.0,1883.0,839.0,839.0
cntvaluein3-skew-locked-seed1,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,842.0,985.0,1794.0,1794.0,952.0,952.0
cntvaluein3-skew-locked-seed11,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,892.0,1412.0,1644.0,1644.0,752.0,752.0
cntvaluein3-skew-locked-seed12-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,856.0,938.0,1953.0,1953.0,1097.0,1097.0
cntvaluein3-skew-locked-seed16-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,862.0,998.0,1702.0,1702.0,840.0,840.0
cntvaluein3-skew-locked-seed20,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,795.0,899.0,1845.0,1845.0,1050.0,1050.0
cntvaluein3-skew-locked-seed23-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,856.0,985.0,1787.0,1787.0,931.0,931.0
cntvaluein3-skew-locked-seed27,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1613.0,1993.0,2114.0,2114.0,501.0,501.0
cntvaluein3-skew-locked-seed28-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,907.0,1154.0,1595.0,1595.0,688.0,688.0
cntvaluein3-skew-locked-seed30-long-poll,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1269.0,1593.0,1924.0,1924.0,655.0,655.0
