metric,family,lane,bit,control_bit,scope,fail_count,fail_min_ps,fail_median_ps,fail_max_ps,pass_count,pass_min_ps,pass_median_ps,pass_max_ps,robust_count,robust_min_ps,robust_median_ps,robust_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,robust_minus_fail_median_ps
direct_max,dq_iologic,lane0,dq1,,endpoint,5,2111.0,2795.0,3256.0,8,1891.0,2229.0,2361.0,0,,,,566.0,-250.0,
direct_max,dq_iologic,lane0,dq6,,endpoint,5,1932.0,2598.0,3368.0,8,1949.0,2166.0,2494.0,0,,,,432.0,-562.0,
direct_max,dqs_iologic,lane0,dqs0,,endpoint,5,3089.0,3855.0,4289.0,8,2775.0,3442.5,3900.0,0,,,,412.5,-811.0,
lane_spread,dqs_iologic,lane0,,,lane,5,3089.0,3855.0,4289.0,8,2775.0,3442.5,3900.0,0,,,,412.5,-811.0,
direct_max,dq_iologic,lane1,dq12,,endpoint,5,1924.0,2549.0,3193.0,8,1756.0,2168.5,2769.0,0,,,,380.5,-845.0,
direct_max,dq_iologic,lane0,dq3,,endpoint,5,2424.0,2720.0,3249.0,8,2121.0,2343.0,2723.0,0,,,,377.0,-299.0,
direct_max,dq_iologic,lane0,dq5,,endpoint,5,2273.0,2684.0,3339.0,8,2108.0,2322.5,2546.0,0,,,,361.5,-273.0,
direct_max,dq_iologic,lane0,dq2,,endpoint,5,2019.0,2505.0,3285.0,8,1707.0,2170.5,2559.0,0,,,,334.5,-540.0,
lane_spread,dq_iologic,lane0,,,lane,5,2483.0,2795.0,3447.0,8,2357.0,2461.5,2723.0,0,,,,333.5,-240.0,
direct_max,dq_iologic,lane1,dq11,,endpoint,5,2260.0,2476.0,2986.0,8,2009.0,2143.5,2420.0,0,,,,332.5,-160.0,
direct_max,dq_iologic,lane1,dq8,,endpoint,5,1902.0,2780.0,3477.0,8,1707.0,2462.5,3052.0,0,,,,317.5,-1150.0,
direct_max,dqs_iologic,lane1,dqs1,,endpoint,5,2700.0,3464.0,3900.0,8,2355.0,3164.5,3630.0,0,,,,299.5,-930.0,
lane_spread,dqs_iologic,lane1,,,lane,5,2700.0,3464.0,3900.0,8,2355.0,3164.5,3630.0,0,,,,299.5,-930.0,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq9,,dq9,5,708.0,970.0,1011.0,8,518.0,702.0,1529.0,0,,,,268.0,-821.0,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq15,,dq15,5,707.0,973.0,1014.0,8,481.0,720.5,1462.0,0,,,,252.5,-755.0,
direct_max,idelay_data_cntvaluein,lane1,dq10,1,endpoint,5,654.0,1029.0,1157.0,8,583.0,798.5,1950.0,0,,,,230.5,-1296.0,
direct_max,idelay_ld,lane1,dq13,,endpoint,5,870.0,1524.0,1695.0,8,1006.0,1299.5,1536.0,0,,,,224.5,-666.0,
direct_max,idelay_ld,lane1,dq11,,endpoint,5,958.0,1462.0,1648.0,8,1008.0,1238.0,1613.0,0,,,,224.0,-655.0,
direct_max,dq_iologic,lane0,dq0,,endpoint,5,2013.0,2352.0,3263.0,8,1937.0,2136.0,2434.0,0,,,,216.0,-421.0,
direct_max,dq_iologic,lane0,dq7,,endpoint,5,1929.0,2589.0,3447.0,8,1945.0,2390.5,2571.0,0,,,,198.5,-642.0,
lane_spread,dq_iologic,lane1,,,lane,5,2388.0,2780.0,3477.0,8,2461.0,2585.5,3085.0,0,,,,194.5,-697.0,
direct_max,idelay_data_cntvaluein,lane0,dq0,1,endpoint,5,934.0,1292.0,1659.0,8,787.0,1110.5,2223.0,0,,,,181.5,-1289.0,
direct_max,dq_iologic,lane1,dq10,,endpoint,5,1636.0,2259.0,3108.0,8,1868.0,2083.0,2598.0,0,,,,176.0,-962.0,
direct_max,dq_iologic,lane0,dq4,,endpoint,5,1837.0,2211.0,3368.0,8,1809.0,2036.0,2316.0,0,,,,175.0,-479.0,
direct_max,idelay_data_cntvaluein,lane0,dq1,1,endpoint,5,1024.0,1376.0,1741.0,8,870.0,1201.5,2308.0,0,,,,174.5,-1284.0,
direct_max,idelay_data_cntvaluein,lane0,dq5,4,endpoint,5,787.0,1348.0,1682.0,8,869.0,1174.5,2081.0,0,,,,173.5,-1294.0,
direct_max,idelay_ld,lane1,dq12,,endpoint,5,999.0,1483.0,1677.0,8,1083.0,1313.0,1646.0,0,,,,170.0,-647.0,
direct_max,idelay_data_cntvaluein,lane1,dq8,0,endpoint,5,794.0,1060.0,1807.0,8,711.0,919.5,1634.0,0,,,,140.5,-840.0,
direct_max,idelay_data_cntvaluein,lane1,dq14,0,endpoint,5,864.0,972.0,1723.0,8,750.0,833.5,1575.0,0,,,,138.5,-711.0,
direct_max,idelay_ld,lane1,dq9,,endpoint,5,732.0,1268.0,1559.0,8,986.0,1130.0,1432.0,0,,,,138.0,-700.0,
direct_max,idelay_data_cntvaluein,lane1,dq10,0,endpoint,5,777.0,955.0,1812.0,8,586.0,825.0,1667.0,0,,,,130.0,-890.0,
direct_max,idelay_ld,lane1,dq8,,endpoint,5,1011.0,1445.0,1669.0,8,1087.0,1315.0,1613.0,0,,,,130.0,-602.0,
direct_max,idelay_data_cntvaluein,lane1,dq13,2,endpoint,5,643.0,889.0,1396.0,8,524.0,766.0,1287.0,0,,,,123.0,-644.0,
direct_max,idelay_data_cntvaluein,lane0,dq5,0,endpoint,5,1008.0,1156.0,1738.0,8,768.0,1039.0,1774.0,0,,,,117.0,-766.0,
direct_max,idelay_data_cntvaluein,lane1,dq12,0,endpoint,5,865.0,944.0,1810.0,8,665.0,835.0,1656.0,0,,,,109.0,-791.0,
direct_max,idelay_ld,lane1,dq10,,endpoint,5,1085.0,1455.0,1625.0,8,1184.0,1347.5,1620.0,0,,,,107.5,-535.0,
direct_max,idelay_data_cntvaluein,lane0,dq2,0,endpoint,5,769.0,1256.0,1876.0,8,805.0,1149.0,2086.0,0,,,,107.0,-1317.0,
direct_max,dq_iologic,lane1,dq9,,endpoint,5,1758.0,2186.0,2895.0,8,1861.0,2080.5,2496.0,0,,,,105.5,-738.0,
direct_max,idelay_dqs_cntvaluein,lane0,dqs0,0,endpoint,5,919.0,1608.0,2016.0,8,990.0,1505.5,1751.0,0,,,,102.5,-832.0,
direct_max,reset_release,all,,,endpoint,5,584.0,764.0,944.0,8,540.0,664.0,855.0,0,,,,100.0,-271.0,
lane_spread,reset_release,all,,,lane,5,584.0,764.0,944.0,8,540.0,664.0,855.0,0,,,,100.0,-271.0,
direct_max,idelay_ld,lane1,dq15,,endpoint,5,773.0,1269.0,1511.0,8,896.0,1171.0,1355.0,0,,,,98.0,-582.0,
direct_max,idelay_data_cntvaluein,lane0,dq3,0,endpoint,5,925.0,1090.0,1819.0,8,769.0,995.5,1715.0,0,,,,94.5,-790.0,
control_fanout_spread,idelay_data_cntvaluein,lane0,,4,lane_control_bit,5,224.0,459.0,617.0,8,183.0,370.0,482.0,0,,,,89.0,-258.0,
direct_max,idelay_ld,lane1,dq14,,endpoint,5,1050.0,1363.0,1567.0,8,1003.0,1276.0,1605.0,0,,,,87.0,-555.0,
direct_max,idelay_data_cntvaluein,lane0,dq3,4,endpoint,5,885.0,1259.0,1595.0,8,781.0,1176.0,1993.0,0,,,,83.0,-1108.0,
direct_max,dq_iologic,lane1,dq15,,endpoint,5,2250.0,2440.0,3219.0,8,2207.0,2361.5,3085.0,0,,,,78.5,-835.0,
control_fanout_spread,idelay_data_cntvaluein,lane1,,1,lane_control_bit,5,312.0,409.0,622.0,8,179.0,331.0,638.0,0,,,,78.0,-326.0,
control_fanout_spread,idelay_data_cntvaluein,lane1,,0,lane_control_bit,5,365.0,423.0,705.0,8,256.0,347.0,448.0,0,,,,76.0,-83.0,
direct_max,idelay_data_cntvaluein,lane0,dq6,0,endpoint,5,907.0,1350.0,1922.0,8,899.0,1285.0,2082.0,0,,,,65.0,-1175.0,
direct_max,idelay_ld,lane0,dqs0,,endpoint,5,1059.0,1375.0,1595.0,8,1182.0,1318.5,1496.0,0,,,,56.5,-437.0,
control_fanout_spread,idelay_data_cntvaluein,lane0,,3,lane_control_bit,5,208.0,332.0,379.0,8,208.0,278.5,848.0,0,,,,53.5,-640.0,
direct_max,idelay_data_cntvaluein,lane1,dq13,0,endpoint,5,760.0,887.0,1592.0,8,597.0,842.0,1758.0,0,,,,45.0,-998.0,
lane_spread,idelay_ld,lane1,,,lane,5,278.0,353.0,384.0,8,177.0,311.5,535.0,0,,,,41.5,-257.0,
lane_spread,idelay_ld,lane0,,,lane,5,186.0,306.0,365.0,8,176.0,266.5,505.0,0,,,,39.5,-319.0,
direct_max,idelay_data_cntvaluein,lane0,dq3,1,endpoint,5,856.0,907.0,1269.0,8,796.0,872.0,2062.0,0,,,,35.0,-1206.0,
direct_max,idelay_data_cntvaluein,lane0,dq5,1,endpoint,5,947.0,991.0,1182.0,8,819.0,956.5,2151.0,0,,,,34.5,-1204.0,
direct_max,idelay_data_cntvaluein,lane0,dq0,0,endpoint,5,788.0,1251.0,2049.0,8,921.0,1219.0,2005.0,0,,,,32.0,-1217.0,
direct_max,idelay_data_cntvaluein,lane1,dq11,0,endpoint,5,772.0,799.0,1585.0,8,538.0,768.0,1483.0,0,,,,31.0,-711.0,
direct_max,idelay_data_cntvaluein,lane1,dq15,3,endpoint,5,1236.0,1457.0,1718.0,8,1233.0,1431.0,1860.0,0,,,,26.0,-624.0,
direct_max,idelay_data_cntvaluein,lane1,dq9,3,endpoint,5,1322.0,1542.0,1809.0,8,1279.0,1518.5,1952.0,0,,,,23.5,-630.0,
direct_max,idelay_data_cntvaluein,lane1,dq9,2,endpoint,5,503.0,796.0,1376.0,8,446.0,774.0,1195.0,0,,,,22.0,-692.0,
direct_max,idelay_data_cntvaluein,lane0,dq5,3,endpoint,5,1235.0,1878.0,2015.0,8,1728.0,1857.5,2032.0,0,,,,20.5,-797.0,
direct_max,idelay_data_cntvaluein,lane0,dq7,0,endpoint,5,853.0,1343.0,1863.0,8,893.0,1325.0,1942.0,0,,,,18.0,-1089.0,
direct_max,idelay_ld,lane0,dq5,,endpoint,5,1054.0,1337.0,1439.0,8,1218.0,1327.0,1475.0,0,,,,10.0,-421.0,
control_fanout_spread,idelay_data_cntvaluein,lane0,,1,lane_control_bit,5,354.0,391.0,658.0,8,187.0,383.5,537.0,0,,,,7.5,-183.0,
direct_max,idelay_dqs_cntvaluein,lane1,dqs1,0,endpoint,5,617.0,1330.0,1601.0,8,1054.0,1327.0,1613.0,0,,,,3.0,-996.0,
direct_max,idelay_data_cntvaluein,lane1,dq13,3,endpoint,5,1269.0,1552.0,1671.0,8,1455.0,1549.0,1922.0,0,,,,3.0,-653.0,
cntvaluein_bus_skew,idelay_dqs_cntvaluein,lane0,dqs0,,dqs0,5,577.0,664.0,1029.0,8,331.0,663.5,1542.0,0,,,,0.5,-965.0,
lane_spread,idelay_dqs_cntvaluein,lane0,,,lane,5,577.0,664.0,1029.0,8,331.0,663.5,1542.0,0,,,,0.5,-965.0,
