metric,family,lane,bit,control_bit,scope,fail_count,fail_min_ps,fail_median_ps,fail_max_ps,pass_count,pass_min_ps,pass_median_ps,pass_max_ps,robust_count,robust_min_ps,robust_median_ps,robust_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,robust_minus_fail_median_ps
direct_max,dq_iologic,lane0,dq1,,endpoint,5,2111.0,2795.0,3256.0,8,1891.0,2229.0,2361.0,0,,,,566.0,-250.0,
direct_max,idelay_dqs_cntvaluein,lane0,dqs0,4,endpoint,5,1064.0,1338.0,2194.0,8,1687.0,1848.0,2045.0,0,,,,-510.0,-981.0,
direct_max,idelay_dqs_cntvaluein,lane0,dqs0,2,endpoint,5,977.0,1282.0,1914.0,8,1069.0,1755.0,2108.0,0,,,,-473.0,-1131.0,
direct_max,dq_iologic,lane0,dq6,,endpoint,5,1932.0,2598.0,3368.0,8,1949.0,2166.0,2494.0,0,,,,432.0,-562.0,
direct_max,dqs_iologic,lane0,dqs0,,endpoint,5,3089.0,3855.0,4289.0,8,2775.0,3442.5,3900.0,0,,,,412.5,-811.0,
lane_spread,dqs_iologic,lane0,,,lane,5,3089.0,3855.0,4289.0,8,2775.0,3442.5,3900.0,0,,,,412.5,-811.0,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,319.0,536.0,1144.0,8,530.0,947.5,1695.0,0,,,,-411.5,-1376.0,
direct_max,dq_iologic,lane1,dq12,,endpoint,5,1924.0,2549.0,3193.0,8,1756.0,2168.5,2769.0,0,,,,380.5,-845.0,
direct_max,idelay_data_cntvaluein,lane0,dq2,4,endpoint,5,796.0,964.0,1771.0,8,1041.0,1341.5,1945.0,0,,,,-377.5,-1149.0,
direct_max,dq_iologic,lane0,dq3,,endpoint,5,2424.0,2720.0,3249.0,8,2121.0,2343.0,2723.0,0,,,,377.0,-299.0,
direct_max,idelay_dqs_cntvaluein,lane0,dqs0,1,endpoint,5,1080.0,1345.0,2289.0,8,1411.0,1714.0,2049.0,0,,,,-369.0,-969.0,
direct_max,dq_iologic,lane0,dq5,,endpoint,5,2273.0,2684.0,3339.0,8,2108.0,2322.5,2546.0,0,,,,361.5,-273.0,
direct_max,idelay_data_cntvaluein,lane1,dq8,4,endpoint,5,532.0,954.0,1708.0,8,663.0,1306.0,1580.0,0,,,,-352.0,-1048.0,
direct_max,idelay_dqs_cntvaluein,lane1,dqs1,2,endpoint,5,843.0,1103.0,1597.0,8,1000.0,1455.0,1845.0,0,,,,-352.0,-1002.0,
direct_max,idelay_dqs_cntvaluein,lane0,dqs0,3,endpoint,5,1641.0,1641.0,2242.0,8,1661.0,1990.0,2532.0,0,,,,-349.0,-891.0,
direct_max,idelay_data_cntvaluein,lane0,dq2,3,endpoint,5,1319.0,1731.0,2163.0,8,1838.0,2078.0,2342.0,0,,,,-347.0,-1023.0,
direct_max,dq_iologic,lane0,dq2,,endpoint,5,2019.0,2505.0,3285.0,8,1707.0,2170.5,2559.0,0,,,,334.5,-540.0,
lane_spread,dq_iologic,lane0,,,lane,5,2483.0,2795.0,3447.0,8,2357.0,2461.5,2723.0,0,,,,333.5,-240.0,
direct_max,dq_iologic,lane1,dq11,,endpoint,5,2260.0,2476.0,2986.0,8,2009.0,2143.5,2420.0,0,,,,332.5,-160.0,
direct_max,idelay_data_cntvaluein,lane0,dq4,3,endpoint,5,1233.0,1675.0,2161.0,8,1753.0,1998.5,2634.0,0,,,,-323.5,-1401.0,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,398.0,516.0,1336.0,8,462.0,839.5,1587.0,0,,,,-323.5,-1189.0,
direct_max,dq_iologic,lane1,dq8,,endpoint,5,1902.0,2780.0,3477.0,8,1707.0,2462.5,3052.0,0,,,,317.5,-1150.0,
direct_max,dqs_iologic,lane1,dqs1,,endpoint,5,2700.0,3464.0,3900.0,8,2355.0,3164.5,3630.0,0,,,,299.5,-930.0,
lane_spread,dqs_iologic,lane1,,,lane,5,2700.0,3464.0,3900.0,8,2355.0,3164.5,3630.0,0,,,,299.5,-930.0,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq11,,dq11,5,456.0,624.0,1156.0,8,459.0,905.0,1391.0,0,,,,-281.0,-935.0,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq6,,dq6,5,401.0,810.0,1425.0,8,486.0,1083.0,1190.0,0,,,,-273.0,-789.0,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq9,,dq9,5,708.0,970.0,1011.0,8,518.0,702.0,1529.0,0,,,,268.0,-821.0,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,302.0,512.0,1339.0,8,459.0,776.0,1589.0,0,,,,-264.0,-1287.0,
direct_max,idelay_dqs_cntvaluein,lane1,dqs1,4,endpoint,5,991.0,1154.0,1774.0,8,1269.0,1417.5,1707.0,0,,,,-263.5,-716.0,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq15,,dq15,5,707.0,973.0,1014.0,8,481.0,720.5,1462.0,0,,,,252.5,-755.0,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq8,,dq8,5,613.0,848.0,1198.0,8,943.0,1094.0,1513.0,0,,,,-246.0,-900.0,
direct_max,idelay_data_cntvaluein,lane0,dq0,3,endpoint,5,1230.0,1792.0,2127.0,8,1659.0,2031.0,2464.0,0,,,,-239.0,-1234.0,
direct_max,idelay_data_cntvaluein,lane0,dq6,2,endpoint,5,935.0,992.0,1588.0,8,1065.0,1229.5,1649.0,0,,,,-237.5,-714.0,
direct_max,idelay_data_cntvaluein,lane1,dq9,4,endpoint,5,504.0,600.0,1511.0,8,600.0,831.0,1899.0,0,,,,-231.0,-1395.0,
direct_max,idelay_data_cntvaluein,lane1,dq10,1,endpoint,5,654.0,1029.0,1157.0,8,583.0,798.5,1950.0,0,,,,230.5,-1296.0,
direct_max,idelay_data_cntvaluein,lane1,dq8,3,endpoint,5,1422.0,1730.0,1985.0,8,1789.0,1959.5,2292.0,0,,,,-229.5,-870.0,
direct_max,idelay_data_cntvaluein,lane1,dq15,0,endpoint,5,532.0,657.0,1447.0,8,398.0,882.0,1345.0,0,,,,-225.0,-813.0,
direct_max,idelay_ld,lane1,dq13,,endpoint,5,870.0,1524.0,1695.0,8,1006.0,1299.5,1536.0,0,,,,224.5,-666.0,
direct_max,idelay_ld,lane1,dq11,,endpoint,5,958.0,1462.0,1648.0,8,1008.0,1238.0,1613.0,0,,,,224.0,-655.0,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq13,,dq13,5,500.0,631.0,1101.0,8,604.0,854.0,1385.0,0,,,,-223.0,-885.0,
direct_max,idelay_data_cntvaluein,lane0,dq7,3,endpoint,5,1327.0,1875.0,2253.0,8,1845.0,2091.5,2217.0,0,,,,-216.5,-890.0,
direct_max,dq_iologic,lane0,dq0,,endpoint,5,2013.0,2352.0,3263.0,8,1937.0,2136.0,2434.0,0,,,,216.0,-421.0,
direct_max,idelay_dqs_cntvaluein,lane1,dqs1,3,endpoint,5,1368.0,1378.0,1963.0,8,1376.0,1588.5,2086.0,0,,,,-210.5,-718.0,
direct_max,idelay_data_cntvaluein,lane1,dq15,1,endpoint,5,451.0,615.0,1011.0,8,416.0,820.5,1585.0,0,,,,-205.5,-1134.0,
direct_max,idelay_data_cntvaluein,lane1,dq15,4,endpoint,5,418.0,541.0,1424.0,8,512.0,743.0,1810.0,0,,,,-202.0,-1392.0,
direct_max,idelay_ld,lane0,dq2,,endpoint,5,1146.0,1304.0,1615.0,8,1126.0,1503.5,1664.0,0,,,,-199.5,-518.0,
direct_max,dq_iologic,lane0,dq7,,endpoint,5,1929.0,2589.0,3447.0,8,1945.0,2390.5,2571.0,0,,,,198.5,-642.0,
lane_spread,dq_iologic,lane1,,,lane,5,2388.0,2780.0,3477.0,8,2461.0,2585.5,3085.0,0,,,,194.5,-697.0,
direct_max,idelay_data_cntvaluein,lane0,dq6,3,endpoint,5,1411.0,1827.0,2332.0,8,1930.0,2014.0,2142.0,0,,,,-187.0,-731.0,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq7,,dq7,5,405.0,732.0,1387.0,8,648.0,917.0,1310.0,0,,,,-185.0,-905.0,
direct_max,idelay_data_cntvaluein,lane0,dq0,1,endpoint,5,934.0,1292.0,1659.0,8,787.0,1110.5,2223.0,0,,,,181.5,-1289.0,
direct_max,dq_iologic,lane1,dq10,,endpoint,5,1636.0,2259.0,3108.0,8,1868.0,2083.0,2598.0,0,,,,176.0,-962.0,
direct_max,dq_iologic,lane0,dq4,,endpoint,5,1837.0,2211.0,3368.0,8,1809.0,2036.0,2316.0,0,,,,175.0,-479.0,
direct_max,idelay_data_cntvaluein,lane0,dq1,1,endpoint,5,1024.0,1376.0,1741.0,8,870.0,1201.5,2308.0,0,,,,174.5,-1284.0,
direct_max,idelay_data_cntvaluein,lane0,dq5,4,endpoint,5,787.0,1348.0,1682.0,8,869.0,1174.5,2081.0,0,,,,173.5,-1294.0,
direct_max,idelay_data_cntvaluein,lane0,dq6,4,endpoint,5,1059.0,1264.0,1942.0,8,833.0,1437.0,2038.0,0,,,,-173.0,-979.0,
lane_spread,idelay_data_cntvaluein,lane0,,,lane,5,775.0,1074.0,1563.0,8,959.0,1246.5,1853.0,0,,,,-172.5,-1078.0,
direct_max,idelay_ld,lane1,dq12,,endpoint,5,999.0,1483.0,1677.0,8,1083.0,1313.0,1646.0,0,,,,170.0,-647.0,
direct_max,idelay_data_cntvaluein,lane0,dq7,2,endpoint,5,1003.0,1151.0,1532.0,8,1139.0,1314.5,1648.0,0,,,,-163.5,-645.0,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,655.0,840.0,1097.0,8,501.0,1001.0,1286.0,0,,,,-161.0,-631.0,
direct_max,idelay_data_cntvaluein,lane1,dq9,1,endpoint,5,540.0,670.0,1101.0,8,423.0,829.0,1623.0,0,,,,-159.0,-1083.0,
direct_max,idelay_data_cntvaluein,lane1,dq12,3,endpoint,5,1330.0,1674.0,1802.0,8,1675.0,1827.0,2111.0,0,,,,-153.0,-781.0,
control_fanout_spread,idelay_data_cntvaluein,lane1,,3,lane_control_bit,5,186.0,405.0,692.0,8,227.0,557.5,709.0,0,,,,-152.5,-523.0,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,398.0,806.0,1381.0,8,725.0,956.0,1483.0,0,,,,-150.0,-1085.0,
direct_max,idelay_data_cntvaluein,lane0,dq4,2,endpoint,5,994.0,1182.0,1625.0,8,1131.0,1331.0,1476.0,0,,,,-149.0,-482.0,
direct_max,idelay_ld,lane0,dq6,,endpoint,5,1151.0,1225.0,1501.0,8,1205.0,1372.0,1628.0,0,,,,-147.0,-477.0,
direct_max,dq_iologic,lane1,dq14,,endpoint,5,1919.0,2049.0,3355.0,8,1934.0,2191.5,2653.0,0,,,,-142.5,-734.0,
direct_max,idelay_dqs_cntvaluein,lane1,dqs1,1,endpoint,5,802.0,1299.0,1891.0,8,1139.0,1440.5,1797.0,0,,,,-141.5,-995.0,
direct_max,idelay_data_cntvaluein,lane0,dq3,2,endpoint,5,856.0,998.0,1570.0,8,892.0,1139.5,1613.0,0,,,,-141.5,-757.0,
direct_max,idelay_data_cntvaluein,lane1,dq8,0,endpoint,5,794.0,1060.0,1807.0,8,711.0,919.5,1634.0,0,,,,140.5,-840.0,
direct_max,idelay_data_cntvaluein,lane1,dq10,4,endpoint,5,797.0,957.0,1562.0,8,755.0,1096.5,1580.0,0,,,,-139.5,-783.0,
direct_max,idelay_data_cntvaluein,lane1,dq14,0,endpoint,5,864.0,972.0,1723.0,8,750.0,833.5,1575.0,0,,,,138.5,-711.0,
direct_max,idelay_ld,lane1,dq9,,endpoint,5,732.0,1268.0,1559.0,8,986.0,1130.0,1432.0,0,,,,138.0,-700.0,
direct_max,idelay_data_cntvaluein,lane1,dq14,1,endpoint,5,736.0,828.0,1148.0,8,643.0,961.0,2131.0,0,,,,-133.0,-1395.0,
direct_max,idelay_ld,lane0,dq1,,endpoint,5,1143.0,1245.0,1527.0,8,1207.0,1376.0,1631.0,0,,,,-131.0,-488.0,
