sample,status,metric,family,lane,bit,control_bit,scope,count,min_ps,median_ps,p95_ps,max_ps,spread_ps,value_ps
seed1-fail,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1597.0,2016.0,2368.0,2368.0,771.0,771.0
seed1-no-tmdriv,no_tmdriv,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1363.0,1552.0,1848.0,1848.0,485.0,485.0
seed1-reset-locks-only,reset_locks_only,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1289.0,1593.0,1840.0,1840.0,551.0,551.0
seed1-robust,robust,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1286.0,1840.0,2553.0,2553.0,1267.0,1267.0
seed2-fail,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1498.0,1962.0,2082.0,2082.0,584.0,584.0
seed2-no-tmdriv,no_tmdriv,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1080.0,1416.0,2032.0,2032.0,952.0,952.0
seed2-reset-locks-only,reset_locks_only,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1889.0,2278.0,2497.0,2497.0,608.0,608.0
seed2-robust,robust,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1445.0,1723.0,1875.0,1875.0,430.0,430.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1453.0,1758.0,2163.0,2163.0,710.0,710.0
seed4-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1582.0,1835.0,2167.0,2167.0,585.0,585.0
seed5-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1282.0,1730.0,2000.0,2000.0,718.0,718.0
seed1-fail,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1689.0,2098.0,2453.0,2453.0,764.0,764.0
seed1-no-tmdriv,no_tmdriv,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1391.0,1472.0,1789.0,1789.0,398.0,398.0
seed1-reset-locks-only,reset_locks_only,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1381.0,1511.0,1899.0,1899.0,518.0,518.0
seed1-robust,robust,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1332.0,2013.0,2726.0,2726.0,1394.0,1394.0
seed2-fail,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1585.0,2006.0,2174.0,2174.0,589.0,589.0
seed2-no-tmdriv,no_tmdriv,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,987.0,1422.0,2121.0,2121.0,1134.0,1134.0
seed2-reset-locks-only,reset_locks_only,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1945.0,2408.0,2661.0,2661.0,716.0,716.0
seed2-robust,robust,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1358.0,1805.0,2016.0,2016.0,658.0,658.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1500.0,1756.0,2072.0,2072.0,572.0,572.0
seed4-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1674.0,1754.0,2206.0,2206.0,532.0,532.0
seed5-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1363.0,1822.0,2029.0,2029.0,666.0,666.0
seed1-fail,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1695.0,2193.0,2329.0,2329.0,634.0,634.0
seed1-no-tmdriv,no_tmdriv,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1389.0,1565.0,1756.0,1756.0,367.0,367.0
seed1-reset-locks-only,reset_locks_only,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1419.0,1557.0,1902.0,1902.0,483.0,483.0
seed1-robust,robust,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1360.0,2107.0,2822.0,2822.0,1462.0,1462.0
seed2-fail,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1680.0,2042.0,2140.0,2140.0,460.0,460.0
seed2-no-tmdriv,no_tmdriv,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1093.0,1590.0,2216.0,2216.0,1123.0,1123.0
seed2-reset-locks-only,reset_locks_only,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1789.0,2253.0,2398.0,2398.0,609.0,609.0
