metric,family,lane,bit,control_bit,scope,fail_count,fail_min_ps,fail_median_ps,fail_max_ps,pass_count,pass_min_ps,pass_median_ps,pass_max_ps,robust_count,robust_min_ps,robust_median_ps,robust_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,robust_minus_fail_median_ps
direct_max,clocking,all,,,endpoint,2,5159.0,6036.5,6914.0,3,5429.0,6824.0,6855.0,2,5519.0,5752.0,5985.0,-787.5,-1696.0,-284.5
lane_spread,clocking,all,,,lane,2,5040.0,5917.5,6795.0,3,5310.0,6705.0,6736.0,2,5400.0,5633.0,5866.0,-787.5,-1696.0,-284.5
direct_max,dq_iologic,lane1,dq12,,endpoint,2,2279.0,2759.5,3240.0,3,1835.0,1988.0,2657.0,2,1863.0,2336.0,2809.0,771.5,-378.0,-423.5
direct_max,idelay_dqs_cntvaluein,lane0,dqs0,4,endpoint,2,1952.0,2092.5,2233.0,3,1333.0,1350.0,1623.0,2,1328.0,1343.0,1358.0,742.5,329.0,-749.5
direct_max,idelay_data_cntvaluein,lane1,dq14,3,endpoint,2,1850.0,1995.5,2141.0,3,1248.0,1310.0,1669.0,2,1527.0,1602.0,1677.0,685.5,181.0,-393.5
direct_max,idelay_data_cntvaluein,lane1,dq8,2,endpoint,2,2000.0,2141.0,2282.0,3,1330.0,1473.0,1669.0,2,1149.0,1443.5,1738.0,668.0,331.0,-697.5
direct_max,idelay_data_cntvaluein,lane1,dq10,2,endpoint,2,1822.0,1988.0,2154.0,3,1203.0,1396.0,1648.0,2,1149.0,1425.5,1702.0,592.0,174.0,-562.5
direct_max,dq_iologic,lane0,dq6,,endpoint,2,2032.0,2185.0,2338.0,3,2227.0,2762.0,3029.0,2,2022.0,2528.5,3035.0,-577.0,-997.0,343.5
direct_max,dq_iologic,lane1,dq15,,endpoint,2,2250.0,2833.5,3417.0,3,2178.0,2272.0,2878.0,2,2160.0,2499.5,2839.0,561.5,-628.0,-334.0
direct_max,idelay_data_cntvaluein,lane1,dq12,2,endpoint,2,1906.0,2002.5,2099.0,3,1149.0,1488.0,1648.0,2,1202.0,1452.0,1702.0,514.5,258.0,-550.5
direct_max,idelay_data_cntvaluein,lane0,dq4,3,endpoint,2,2176.0,2318.0,2460.0,3,1626.0,1820.0,1824.0,2,1455.0,1638.5,1822.0,498.0,352.0,-679.5
direct_max,idelay_data_cntvaluein,lane0,dq1,3,endpoint,2,2174.0,2313.5,2453.0,3,1669.0,1822.0,1824.0,2,1371.0,1595.5,1820.0,491.5,350.0,-718.0
direct_max,idelay_data_cntvaluein,lane0,dq0,2,endpoint,2,2000.0,2072.5,2145.0,3,1282.0,1582.0,2006.0,2,1445.0,1642.5,1840.0,490.5,-6.0,-430.0
direct_max,idelay_data_cntvaluein,lane1,dq12,3,endpoint,2,1759.0,1905.5,2052.0,3,1394.0,1424.0,1585.0,2,1442.0,1517.0,1592.0,481.5,174.0,-388.5
direct_max,idelay_data_cntvaluein,lane1,dq8,3,endpoint,2,1853.0,1999.0,2145.0,3,1439.0,1518.0,1677.0,2,1702.0,1735.0,1768.0,481.0,176.0,-264.0
direct_max,idelay_data_cntvaluein,lane0,dq5,3,endpoint,2,1789.0,1943.5,2098.0,3,1442.0,1467.0,1888.0,2,1511.0,1643.5,1776.0,476.5,-99.0,-300.0
direct_max,idelay_data_cntvaluein,lane1,dq14,2,endpoint,2,1917.0,2053.5,2190.0,3,1240.0,1578.0,1597.0,2,1203.0,1425.5,1648.0,475.5,320.0,-628.0
direct_max,idelay_data_cntvaluein,lane0,dq4,2,endpoint,2,2141.0,2234.5,2328.0,3,1453.0,1764.0,1975.0,2,1450.0,1777.5,2105.0,470.5,166.0,-457.0
direct_max,dq_iologic,lane1,dq8,,endpoint,2,2332.0,2708.5,3085.0,3,2186.0,2240.0,3213.0,2,2299.0,2678.5,3058.0,468.5,-881.0,-30.0
direct_max,idelay_data_cntvaluein,lane0,dq3,3,endpoint,2,1707.0,1861.5,2016.0,3,1386.0,1393.0,1797.0,2,1457.0,1573.5,1690.0,468.5,-90.0,-288.0
direct_max,idelay_data_cntvaluein,lane0,dq0,3,endpoint,2,2082.0,2225.0,2368.0,3,1730.0,1758.0,1835.0,2,1286.0,1508.0,1730.0,467.0,247.0,-717.0
direct_max,idelay_data_cntvaluein,lane1,dq15,4,endpoint,2,1149.0,1344.0,1539.0,3,1240.0,1800.0,1842.0,2,1225.0,1697.5,2170.0,-456.0,-693.0,353.5
direct_max,idelay_data_cntvaluein,lane0,dq7,2,endpoint,2,2207.0,2314.0,2421.0,3,1547.0,1858.0,2094.0,2,1286.0,1741.5,2197.0,456.0,113.0,-572.5
direct_max,idelay_data_cntvaluein,lane0,dq1,2,endpoint,2,2006.0,2121.0,2236.0,3,1363.0,1674.0,1919.0,2,1358.0,1685.5,2013.0,447.0,87.0,-435.5
direct_max,idelay_data_cntvaluein,lane0,dq2,2,endpoint,2,2088.0,2208.5,2329.0,3,1207.0,1766.0,1827.0,2,1284.0,1695.5,2107.0,442.5,261.0,-513.0
direct_max,idelay_data_cntvaluein,lane0,dq5,2,endpoint,2,1935.0,2069.0,2203.0,3,1347.0,1628.0,1687.0,2,1328.0,1603.0,1878.0,441.0,248.0,-466.0
direct_max,idelay_data_cntvaluein,lane0,dq0,0,endpoint,2,1498.0,1726.5,1955.0,3,1587.0,2163.0,2167.0,2,1679.0,1903.5,2128.0,-436.5,-669.0,177.0
direct_max,idelay_dqs_cntvaluein,lane0,dqs0,2,endpoint,2,1587.0,1812.5,2038.0,3,1274.0,1376.0,1447.0,2,1572.0,1756.0,1940.0,436.5,140.0,-56.5
direct_max,idelay_data_cntvaluein,lane1,dq10,3,endpoint,2,1580.0,1775.0,1970.0,3,1338.0,1340.0,1500.0,2,1506.0,1515.0,1524.0,435.0,80.0,-260.0
