metric,family,lane,bit,control_bit,scope,fail_count,fail_min_ps,fail_median_ps,fail_max_ps,pass_count,pass_min_ps,pass_median_ps,pass_max_ps,robust_count,robust_min_ps,robust_median_ps,robust_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,robust_minus_fail_median_ps
direct_max,idelay_dqs_cntvaluein,lane0,dqs0,4,endpoint,2,1952.0,2092.5,2233.0,1,1350.0,1350.0,1350.0,2,1328.0,1343.0,1358.0,742.5,602.0,-749.5
direct_max,idelay_data_cntvaluein,lane0,dq4,3,endpoint,2,2176.0,2318.0,2460.0,1,1626.0,1626.0,1626.0,2,1455.0,1638.5,1822.0,692.0,550.0,-679.5
direct_max,idelay_data_cntvaluein,lane1,dq14,3,endpoint,2,1850.0,1995.5,2141.0,1,1310.0,1310.0,1310.0,2,1527.0,1602.0,1677.0,685.5,540.0,-393.5
direct_max,idelay_data_cntvaluein,lane1,dq8,2,endpoint,2,2000.0,2141.0,2282.0,1,1473.0,1473.0,1473.0,2,1149.0,1443.5,1738.0,668.0,527.0,-697.5
direct_max,idelay_data_cntvaluein,lane0,dq1,3,endpoint,2,2174.0,2313.5,2453.0,1,1669.0,1669.0,1669.0,2,1371.0,1595.5,1820.0,644.5,505.0,-718.0
direct_max,idelay_data_cntvaluein,lane1,dq8,3,endpoint,2,1853.0,1999.0,2145.0,1,1439.0,1439.0,1439.0,2,1702.0,1735.0,1768.0,560.0,414.0,-264.0
direct_max,idelay_data_cntvaluein,lane0,dq2,3,endpoint,2,2042.0,2134.0,2226.0,1,1577.0,1577.0,1577.0,2,1463.0,1599.0,1735.0,557.0,465.0,-535.0
direct_max,idelay_ld,lane0,dq7,,endpoint,2,2151.0,2305.5,2460.0,1,1774.0,1774.0,1774.0,2,1250.0,1310.5,1371.0,531.5,377.0,-995.0
direct_max,idelay_data_cntvaluein,lane1,dq12,3,endpoint,2,1759.0,1905.5,2052.0,1,1394.0,1394.0,1394.0,2,1442.0,1517.0,1592.0,511.5,365.0,-388.5
direct_max,idelay_data_cntvaluein,lane0,dq5,3,endpoint,2,1789.0,1943.5,2098.0,1,1442.0,1442.0,1442.0,2,1511.0,1643.5,1776.0,501.5,347.0,-300.0
direct_max,idelay_data_cntvaluein,lane0,dq6,3,endpoint,2,1904.0,2067.0,2230.0,1,1572.0,1572.0,1572.0,2,1557.0,1692.0,1827.0,495.0,332.0,-375.0
direct_max,idelay_data_cntvaluein,lane0,dq7,3,endpoint,2,2144.0,2206.5,2269.0,1,1718.0,1718.0,1718.0,2,1549.0,1558.0,1567.0,488.5,426.0,-648.5
direct_max,idelay_data_cntvaluein,lane0,dq3,3,endpoint,2,1707.0,1861.5,2016.0,1,1393.0,1393.0,1393.0,2,1457.0,1573.5,1690.0,468.5,314.0,-288.0
direct_max,idelay_data_cntvaluein,lane0,dq0,3,endpoint,2,2082.0,2225.0,2368.0,1,1758.0,1758.0,1758.0,2,1286.0,1508.0,1730.0,467.0,324.0,-717.0
direct_max,idelay_data_cntvaluein,lane1,dq14,2,endpoint,2,1917.0,2053.5,2190.0,1,1597.0,1597.0,1597.0,2,1203.0,1425.5,1648.0,456.5,320.0,-628.0
direct_max,idelay_data_cntvaluein,lane0,dq5,4,endpoint,2,1644.0,1932.0,2220.0,1,1481.0,1481.0,1481.0,2,1697.0,2072.5,2448.0,451.0,163.0,140.5
direct_max,idelay_data_cntvaluein,lane1,dq10,3,endpoint,2,1580.0,1775.0,1970.0,1,1338.0,1338.0,1338.0,2,1506.0,1515.0,1524.0,437.0,242.0,-260.0
direct_max,idelay_dqs_cntvaluein,lane0,dqs0,2,endpoint,2,1587.0,1812.5,2038.0,1,1376.0,1376.0,1376.0,2,1572.0,1756.0,1940.0,436.5,211.0,-56.5
direct_max,idelay_data_cntvaluein,lane1,dq11,3,endpoint,2,1452.0,1685.5,1919.0,1,1256.0,1256.0,1256.0,2,1363.0,1492.0,1621.0,429.5,196.0,-193.5
direct_max,idelay_data_cntvaluein,lane0,dq4,1,endpoint,2,1600.0,1869.0,2138.0,1,1445.0,1445.0,1445.0,2,1332.0,1614.0,1896.0,424.0,155.0,-255.0
direct_max,idelay_dqs_cntvaluein,lane1,dqs1,2,endpoint,2,1309.0,1517.5,1726.0,1,1103.0,1103.0,1103.0,2,1254.0,1478.0,1702.0,414.5,206.0,-39.5
direct_max,idelay_ld,lane0,dq2,,endpoint,2,2155.0,2262.0,2369.0,1,1855.0,1855.0,1855.0,2,1159.0,1253.5,1348.0,407.0,300.0,-1008.5
direct_max,idelay_data_cntvaluein,lane1,dq15,3,endpoint,2,1241.0,1549.5,1858.0,1,1157.0,1157.0,1157.0,2,1133.0,1249.5,1366.0,392.5,84.0,-300.0
direct_max,idelay_data_cntvaluein,lane1,dq10,4,endpoint,2,1421.0,1698.5,1976.0,1,1309.0,1309.0,1309.0,2,1633.0,1974.5,2316.0,389.5,112.0,276.0
direct_max,idelay_data_cntvaluein,lane1,dq12,1,endpoint,2,1485.0,1627.0,1769.0,1,1243.0,1243.0,1243.0,2,1371.0,1480.5,1590.0,384.0,242.0,-146.5
direct_max,idelay_data_cntvaluein,lane0,dq5,2,endpoint,2,1935.0,2069.0,2203.0,1,1687.0,1687.0,1687.0,2,1328.0,1603.0,1878.0,382.0,248.0,-466.0
direct_max,idelay_data_cntvaluein,lane0,dq2,2,endpoint,2,2088.0,2208.5,2329.0,1,1827.0,1827.0,1827.0,2,1284.0,1695.5,2107.0,381.5,261.0,-513.0
direct_max,idelay_data_cntvaluein,lane0,dq2,1,endpoint,2,1695.0,1917.5,2140.0,1,1536.0,1536.0,1536.0,2,1360.0,1498.0,1636.0,381.5,159.0,-419.5
direct_max,idelay_data_cntvaluein,lane0,dq1,1,endpoint,2,1689.0,1867.5,2046.0,1,1500.0,1500.0,1500.0,2,1332.0,1568.5,1805.0,367.5,189.0,-299.0
direct_max,idelay_data_cntvaluein,lane1,dq12,2,endpoint,2,1906.0,2002.5,2099.0,1,1648.0,1648.0,1648.0,2,1202.0,1452.0,1702.0,354.5,258.0,-550.5
direct_max,idelay_data_cntvaluein,lane0,dq7,1,endpoint,2,1694.0,1962.0,2230.0,1,1621.0,1621.0,1621.0,2,1445.0,1579.0,1713.0,341.0,73.0,-383.0
direct_max,idelay_data_cntvaluein,lane1,dq10,2,endpoint,2,1822.0,1988.0,2154.0,1,1648.0,1648.0,1648.0,2,1149.0,1425.5,1702.0,340.0,174.0,-562.5
direct_max,idelay_dqs_cntvaluein,lane1,dqs1,4,endpoint,2,1427.0,1609.5,1792.0,1,1271.0,1271.0,1271.0,2,1125.0,1170.0,1215.0,338.5,156.0,-439.5
direct_max,idelay_data_cntvaluein,lane1,dq8,1,endpoint,2,1491.0,1676.0,1861.0,1,1338.0,1338.0,1338.0,2,1421.0,1481.5,1542.0,338.0,153.0,-194.5
direct_max,idelay_data_cntvaluein,lane1,dq13,3,endpoint,2,1534.0,1683.0,1832.0,1,1347.0,1347.0,1347.0,2,1447.0,1537.5,1628.0,336.0,187.0,-145.5
direct_max,idelay_data_cntvaluein,lane0,dq0,1,endpoint,2,1597.0,1779.5,1962.0,1,1453.0,1453.0,1453.0,2,1335.0,1529.0,1723.0,326.5,144.0,-250.5
direct_max,idelay_data_cntvaluein,lane0,dq6,1,endpoint,2,1789.0,2011.0,2233.0,1,1705.0,1705.0,1705.0,2,1452.0,1586.0,1720.0,306.0,84.0,-425.0
direct_max,idelay_ld,lane0,dq4,,endpoint,2,2243.0,2305.5,2368.0,1,2000.0,2000.0,2000.0,2,1246.0,1262.5,1279.0,305.5,243.0,-1043.0
direct_max,idelay_ld,lane0,dq5,,endpoint,2,2005.0,2076.5,2148.0,1,1771.0,1771.0,1771.0,2,1296.0,1397.0,1498.0,305.5,234.0,-679.5
control_fanout_spread,idelay_data_cntvaluein,lane1,,2,lane_control_bit,2,629.0,734.5,840.0,1,436.0,436.0,436.0,2,178.0,275.5,373.0,298.5,193.0,-459.0
direct_max,idelay_data_cntvaluein,lane1,dq10,1,endpoint,2,1399.0,1541.5,1684.0,1,1245.0,1245.0,1245.0,2,1427.0,1520.0,1613.0,296.5,154.0,-21.5
direct_max,idelay_data_cntvaluein,lane1,dq9,1,endpoint,2,1481.0,1529.0,1577.0,1,1243.0,1243.0,1243.0,2,1297.0,1416.5,1536.0,286.0,238.0,-112.5
direct_max,idelay_data_cntvaluein,lane0,dq3,1,endpoint,2,1597.0,1663.5,1730.0,1,1378.0,1378.0,1378.0,2,1281.0,1464.5,1648.0,285.5,219.0,-199.0
direct_max,idelay_data_cntvaluein,lane1,dq15,1,endpoint,2,1396.0,1440.5,1485.0,1,1159.0,1159.0,1159.0,2,1207.0,1328.5,1450.0,281.5,237.0,-112.0
