metric,family,lane,bit,control_bit,scope,fail_count,fail_min_ps,fail_median_ps,fail_max_ps,pass_count,pass_min_ps,pass_median_ps,pass_max_ps,robust_count,robust_min_ps,robust_median_ps,robust_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,robust_minus_fail_median_ps
direct_max,dq_iologic,lane1,dq9,,endpoint,2,1832.0,2109.5,2387.0,1,3042.0,3042.0,3042.0,2,2177.0,2183.5,2190.0,-932.5,-1210.0,74.0
direct_max,dq_iologic,lane0,dq6,,endpoint,2,2032.0,2185.0,2338.0,1,3029.0,3029.0,3029.0,2,2022.0,2528.5,3035.0,-844.0,-997.0,343.5
direct_max,clocking,all,,,endpoint,2,5159.0,6036.5,6914.0,1,6855.0,6855.0,6855.0,2,5519.0,5752.0,5985.0,-818.5,-1696.0,-284.5
lane_spread,clocking,all,,,lane,2,5040.0,5917.5,6795.0,1,6736.0,6736.0,6736.0,2,5400.0,5633.0,5866.0,-818.5,-1696.0,-284.5
direct_max,idelay_dqs_cntvaluein,lane0,dqs0,4,endpoint,2,1952.0,2092.5,2233.0,1,1350.0,1350.0,1350.0,2,1328.0,1343.0,1358.0,742.5,602.0,-749.5
direct_max,idelay_data_cntvaluein,lane0,dq4,3,endpoint,2,2176.0,2318.0,2460.0,1,1626.0,1626.0,1626.0,2,1455.0,1638.5,1822.0,692.0,550.0,-679.5
direct_max,idelay_data_cntvaluein,lane1,dq14,3,endpoint,2,1850.0,1995.5,2141.0,1,1310.0,1310.0,1310.0,2,1527.0,1602.0,1677.0,685.5,540.0,-393.5
direct_max,idelay_data_cntvaluein,lane1,dq8,2,endpoint,2,2000.0,2141.0,2282.0,1,1473.0,1473.0,1473.0,2,1149.0,1443.5,1738.0,668.0,527.0,-697.5
direct_max,idelay_data_cntvaluein,lane0,dq1,3,endpoint,2,2174.0,2313.5,2453.0,1,1669.0,1669.0,1669.0,2,1371.0,1595.5,1820.0,644.5,505.0,-718.0
direct_max,idelay_data_cntvaluein,lane0,dq7,0,endpoint,2,1666.0,1676.5,1687.0,1,2247.0,2247.0,2247.0,2,1753.0,1902.5,2052.0,-570.5,-581.0,226.0
direct_max,idelay_dqs_cntvaluein,lane1,dqs1,1,endpoint,2,1077.0,1113.0,1149.0,1,1674.0,1674.0,1674.0,2,1365.0,1438.0,1511.0,-561.0,-597.0,325.0
direct_max,idelay_data_cntvaluein,lane1,dq8,3,endpoint,2,1853.0,1999.0,2145.0,1,1439.0,1439.0,1439.0,2,1702.0,1735.0,1768.0,560.0,414.0,-264.0
direct_max,idelay_data_cntvaluein,lane0,dq2,3,endpoint,2,2042.0,2134.0,2226.0,1,1577.0,1577.0,1577.0,2,1463.0,1599.0,1735.0,557.0,465.0,-535.0
direct_max,idelay_dqs_cntvaluein,lane0,dqs0,1,endpoint,2,1373.0,1437.0,1501.0,1,1970.0,1970.0,1970.0,2,1687.0,1737.0,1787.0,-533.0,-597.0,300.0
direct_max,idelay_ld,lane0,dq7,,endpoint,2,2151.0,2305.5,2460.0,1,1774.0,1774.0,1774.0,2,1250.0,1310.5,1371.0,531.5,377.0,-995.0
direct_max,dq_iologic,lane0,dq5,,endpoint,2,2174.0,2560.5,2947.0,1,3075.0,3075.0,3075.0,2,2161.0,2354.5,2548.0,-514.5,-901.0,-206.0
direct_max,idelay_data_cntvaluein,lane1,dq12,3,endpoint,2,1759.0,1905.5,2052.0,1,1394.0,1394.0,1394.0,2,1442.0,1517.0,1592.0,511.5,365.0,-388.5
direct_max,dq_iologic,lane1,dq8,,endpoint,2,2332.0,2708.5,3085.0,1,3213.0,3213.0,3213.0,2,2299.0,2678.5,3058.0,-504.5,-881.0,-30.0
direct_max,idelay_data_cntvaluein,lane0,dq5,3,endpoint,2,1789.0,1943.5,2098.0,1,1442.0,1442.0,1442.0,2,1511.0,1643.5,1776.0,501.5,347.0,-300.0
direct_max,idelay_data_cntvaluein,lane0,dq6,3,endpoint,2,1904.0,2067.0,2230.0,1,1572.0,1572.0,1572.0,2,1557.0,1692.0,1827.0,495.0,332.0,-375.0
direct_max,idelay_data_cntvaluein,lane0,dq7,3,endpoint,2,2144.0,2206.5,2269.0,1,1718.0,1718.0,1718.0,2,1549.0,1558.0,1567.0,488.5,426.0,-648.5
direct_max,dq_iologic,lane0,dq2,,endpoint,2,2094.0,2451.5,2809.0,1,2937.0,2937.0,2937.0,2,2023.0,2355.0,2687.0,-485.5,-843.0,-96.5
direct_max,idelay_data_cntvaluein,lane0,dq3,3,endpoint,2,1707.0,1861.5,2016.0,1,1393.0,1393.0,1393.0,2,1457.0,1573.5,1690.0,468.5,314.0,-288.0
direct_max,idelay_data_cntvaluein,lane0,dq0,3,endpoint,2,2082.0,2225.0,2368.0,1,1758.0,1758.0,1758.0,2,1286.0,1508.0,1730.0,467.0,324.0,-717.0
direct_max,idelay_data_cntvaluein,lane1,dq9,4,endpoint,2,1238.0,1432.0,1626.0,1,1889.0,1889.0,1889.0,2,1284.0,1770.5,2257.0,-457.0,-651.0,338.5
direct_max,idelay_data_cntvaluein,lane1,dq14,2,endpoint,2,1917.0,2053.5,2190.0,1,1597.0,1597.0,1597.0,2,1203.0,1425.5,1648.0,456.5,320.0,-628.0
direct_max,idelay_data_cntvaluein,lane1,dq15,4,endpoint,2,1149.0,1344.0,1539.0,1,1800.0,1800.0,1800.0,2,1225.0,1697.5,2170.0,-456.0,-651.0,353.5
direct_max,idelay_data_cntvaluein,lane0,dq5,4,endpoint,2,1644.0,1932.0,2220.0,1,1481.0,1481.0,1481.0,2,1697.0,2072.5,2448.0,451.0,163.0,140.5
direct_max,idelay_data_cntvaluein,lane1,dq10,3,endpoint,2,1580.0,1775.0,1970.0,1,1338.0,1338.0,1338.0,2,1506.0,1515.0,1524.0,437.0,242.0,-260.0
direct_max,idelay_data_cntvaluein,lane0,dq0,0,endpoint,2,1498.0,1726.5,1955.0,1,2163.0,2163.0,2163.0,2,1679.0,1903.5,2128.0,-436.5,-665.0,177.0
direct_max,idelay_dqs_cntvaluein,lane0,dqs0,2,endpoint,2,1587.0,1812.5,2038.0,1,1376.0,1376.0,1376.0,2,1572.0,1756.0,1940.0,436.5,211.0,-56.5
direct_max,idelay_data_cntvaluein,lane1,dq11,3,endpoint,2,1452.0,1685.5,1919.0,1,1256.0,1256.0,1256.0,2,1363.0,1492.0,1621.0,429.5,196.0,-193.5
direct_max,idelay_data_cntvaluein,lane0,dq4,1,endpoint,2,1600.0,1869.0,2138.0,1,1445.0,1445.0,1445.0,2,1332.0,1614.0,1896.0,424.0,155.0,-255.0
direct_max,idelay_dqs_cntvaluein,lane1,dqs1,2,endpoint,2,1309.0,1517.5,1726.0,1,1103.0,1103.0,1103.0,2,1254.0,1478.0,1702.0,414.5,206.0,-39.5
direct_max,idelay_ld,lane0,dq2,,endpoint,2,2155.0,2262.0,2369.0,1,1855.0,1855.0,1855.0,2,1159.0,1253.5,1348.0,407.0,300.0,-1008.5
direct_max,idelay_data_cntvaluein,lane1,dq13,0,endpoint,2,1401.0,1561.5,1722.0,1,1968.0,1968.0,1968.0,2,1343.0,1770.5,2198.0,-406.5,-567.0,209.0
direct_max,dq_iologic,lane0,dq7,,endpoint,2,2127.0,2510.5,2894.0,1,2913.0,2913.0,2913.0,2,2105.0,2438.5,2772.0,-402.5,-786.0,-72.0
direct_max,idelay_data_cntvaluein,lane1,dq15,3,endpoint,2,1241.0,1549.5,1858.0,1,1157.0,1157.0,1157.0,2,1133.0,1249.5,1366.0,392.5,84.0,-300.0
direct_max,idelay_data_cntvaluein,lane1,dq10,4,endpoint,2,1421.0,1698.5,1976.0,1,1309.0,1309.0,1309.0,2,1633.0,1974.5,2316.0,389.5,112.0,276.0
direct_max,idelay_data_cntvaluein,lane1,dq12,1,endpoint,2,1485.0,1627.0,1769.0,1,1243.0,1243.0,1243.0,2,1371.0,1480.5,1590.0,384.0,242.0,-146.5
direct_max,idelay_data_cntvaluein,lane0,dq5,2,endpoint,2,1935.0,2069.0,2203.0,1,1687.0,1687.0,1687.0,2,1328.0,1603.0,1878.0,382.0,248.0,-466.0
direct_max,idelay_data_cntvaluein,lane0,dq2,2,endpoint,2,2088.0,2208.5,2329.0,1,1827.0,1827.0,1827.0,2,1284.0,1695.5,2107.0,381.5,261.0,-513.0
direct_max,idelay_data_cntvaluein,lane0,dq2,1,endpoint,2,1695.0,1917.5,2140.0,1,1536.0,1536.0,1536.0,2,1360.0,1498.0,1636.0,381.5,159.0,-419.5
direct_max,idelay_dqs_cntvaluein,lane0,dqs0,0,endpoint,2,1159.0,1453.5,1748.0,1,1830.0,1830.0,1830.0,2,1350.0,1488.0,1626.0,-376.5,-671.0,34.5
direct_max,idelay_data_cntvaluein,lane0,dq1,1,endpoint,2,1689.0,1867.5,2046.0,1,1500.0,1500.0,1500.0,2,1332.0,1568.5,1805.0,367.5,189.0,-299.0
