sample,status,metric,family,lane,bit,control_bit,scope,count,min_ps,median_ps,p95_ps,max_ps,spread_ps,value_ps
seed1-fail,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1597.0,2016.0,2368.0,2368.0,771.0,771.0
seed1-robust,robust,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1286.0,1840.0,2553.0,2553.0,1267.0,1267.0
seed2-fail,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1498.0,1962.0,2082.0,2082.0,584.0,584.0
seed2-robust,robust,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1445.0,1723.0,1875.0,1875.0,430.0,430.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1453.0,1758.0,2163.0,2163.0,710.0,710.0
seed1-fail,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1689.0,2098.0,2453.0,2453.0,764.0,764.0
seed1-robust,robust,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1332.0,2013.0,2726.0,2726.0,1394.0,1394.0
seed2-fail,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1585.0,2006.0,2174.0,2174.0,589.0,589.0
seed2-robust,robust,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1358.0,1805.0,2016.0,2016.0,658.0,658.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1500.0,1756.0,2072.0,2072.0,572.0,572.0
seed1-fail,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1695.0,2193.0,2329.0,2329.0,634.0,634.0
seed1-robust,robust,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1360.0,2107.0,2822.0,2822.0,1462.0,1462.0
seed2-fail,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1680.0,2042.0,2140.0,2140.0,460.0,460.0
seed2-robust,robust,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1284.0,1666.0,2049.0,2049.0,765.0,765.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1536.0,1712.0,2135.0,2135.0,599.0,599.0
seed1-fail,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1597.0,2016.0,2135.0,2135.0,538.0,538.0
seed1-robust,robust,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1281.0,1786.0,2499.0,2499.0,1218.0,1218.0
seed2-fail,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1555.0,1730.0,1855.0,1855.0,300.0,300.0
seed2-robust,robust,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1238.0,1648.0,1848.0,1848.0,610.0,610.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1378.0,1587.0,1983.0,1983.0,605.0,605.0
seed1-fail,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1600.0,2186.0,2460.0,2460.0,860.0,860.0
seed1-robust,robust,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1332.0,2059.0,2815.0,2815.0,1483.0,1483.0
seed2-fail,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1593.0,2138.0,2176.0,2176.0,583.0,583.0
seed2-robust,robust,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1450.0,1822.0,1962.0,1962.0,512.0,512.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1445.0,1799.0,2135.0,2135.0,690.0,690.0
seed1-fail,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq5,,dq5,5,1690.0,2098.0,2220.0,2220.0,530.0,530.0
seed1-robust,robust,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq5,,dq5,5,1286.0,1840.0,2448.0,2448.0,1162.0,1162.0
seed2-fail,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq5,,dq5,5,1644.0,1789.0,1935.0,1935.0,291.0,291.0
seed2-robust,robust,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq5,,dq5,5,1328.0,1559.0,1776.0,1776.0,448.0,448.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq5,,dq5,5,1442.0,1481.0,1927.0,1927.0,485.0,485.0
seed1-fail,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq6,,dq6,5,1789.0,2233.0,2423.0,2423.0,634.0,634.0
seed1-robust,robust,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq6,,dq6,5,1452.0,1838.0,2917.0,2917.0,1465.0,1465.0
seed2-fail,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq6,,dq6,5,1570.0,1904.0,2233.0,2233.0,663.0,663.0
seed2-robust,robust,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq6,,dq6,5,1378.0,1761.0,2144.0,2144.0,766.0,766.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq6,,dq6,5,1572.0,1807.0,2161.0,2161.0,589.0,589.0
seed1-fail,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq7,,dq7,5,1666.0,2144.0,2421.0,2421.0,755.0,755.0
seed1-robust,robust,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq7,,dq7,5,1445.0,2052.0,2910.0,2910.0,1465.0,1465.0
seed2-fail,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq7,,dq7,5,1651.0,2207.0,2269.0,2269.0,618.0,618.0
seed2-robust,robust,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq7,,dq7,5,1286.0,1713.0,2138.0,2138.0,852.0,852.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq7,,dq7,5,1621.0,1799.0,2247.0,2247.0,626.0,626.0
