metric,family,lane,bit,control_bit,scope,fail_count,fail_min_ps,fail_median_ps,fail_max_ps,pass_count,pass_min_ps,pass_median_ps,pass_max_ps,robust_count,robust_min_ps,robust_median_ps,robust_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,robust_minus_fail_median_ps
cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,0,,,,1,563.0,563.0,563.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,0,,,,1,568.0,568.0,568.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,0,,,,1,449.0,449.0,449.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,0,,,,1,1249.0,1249.0,1249.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,0,,,,1,453.0,453.0,453.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq5,,dq5,0,,,,1,1276.0,1276.0,1276.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq6,,dq6,0,,,,1,446.0,446.0,446.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq7,,dq7,0,,,,1,585.0,585.0,585.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq10,,dq10,0,,,,1,1075.0,1075.0,1075.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq11,,dq11,0,,,,1,864.0,864.0,864.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq12,,dq12,0,,,,1,1047.0,1047.0,1047.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq13,,dq13,0,,,,1,858.0,858.0,858.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq14,,dq14,0,,,,1,805.0,805.0,805.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq15,,dq15,0,,,,1,514.0,514.0,514.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq8,,dq8,0,,,,1,640.0,640.0,640.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq9,,dq9,0,,,,1,314.0,314.0,314.0,0,,,,,,
cntvaluein_bus_skew,idelay_dqs_cntvaluein,lane0,dqs0,,dqs0,0,,,,1,734.0,734.0,734.0,0,,,,,,
cntvaluein_bus_skew,idelay_dqs_cntvaluein,lane1,dqs1,,dqs1,0,,,,1,731.0,731.0,731.0,0,,,,,,
control_fanout_spread,idelay_data_cntvaluein,lane0,,0,lane_control_bit,0,,,,1,413.0,413.0,413.0,0,,,,,,
control_fanout_spread,idelay_data_cntvaluein,lane0,,1,lane_control_bit,0,,,,1,352.0,352.0,352.0,0,,,,,,
