sample,status,metric,family,lane,bit,control_bit,scope,count,min_ps,median_ps,p95_ps,max_ps,spread_ps,value_ps
seed3-exact-abort-baseline,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1654.0,2066.0,2217.0,2217.0,563.0,563.0
seed3-exact-abort-baseline,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1741.0,2108.0,2309.0,2309.0,568.0,568.0
seed3-exact-abort-baseline,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1837.0,2154.0,2286.0,2286.0,449.0,449.0
seed3-exact-abort-baseline,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1069.0,1764.0,2318.0,2318.0,1249.0,1249.0
seed3-exact-abort-baseline,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1830.0,2082.0,2283.0,2283.0,453.0,453.0
seed3-exact-abort-baseline,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq5,,dq5,5,1125.0,1815.0,2401.0,2401.0,1276.0,1276.0
seed3-exact-abort-baseline,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq6,,dq6,5,1932.0,2167.0,2378.0,2378.0,446.0,446.0
seed3-exact-abort-baseline,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq7,,dq7,5,1810.0,2052.0,2395.0,2395.0,585.0,585.0
seed3-exact-abort-baseline,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq10,,dq10,5,1085.0,1580.0,2160.0,2160.0,1075.0,1075.0
seed3-exact-abort-baseline,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq11,,dq11,5,1131.0,1452.0,1995.0,1995.0,864.0,864.0
seed3-exact-abort-baseline,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq12,,dq12,5,1169.0,1666.0,2216.0,2216.0,1047.0,1047.0
seed3-exact-abort-baseline,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq13,,dq13,5,1138.0,1534.0,1996.0,1996.0,858.0,858.0
seed3-exact-abort-baseline,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq14,,dq14,5,1180.0,1730.0,1985.0,1985.0,805.0,805.0
seed3-exact-abort-baseline,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq15,,dq15,5,1129.0,1348.0,1643.0,1643.0,514.0,514.0
seed3-exact-abort-baseline,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq8,,dq8,5,1264.0,1817.0,1904.0,1904.0,640.0,640.0
seed3-exact-abort-baseline,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq9,,dq9,5,1350.0,1437.0,1664.0,1664.0,314.0,314.0
seed3-exact-abort-baseline,pass,cntvaluein_bus_skew,idelay_dqs_cntvaluein,lane0,dqs0,,dqs0,5,1282.0,1718.0,2016.0,2016.0,734.0,734.0
seed3-exact-abort-baseline,pass,cntvaluein_bus_skew,idelay_dqs_cntvaluein,lane1,dqs1,,dqs1,5,1078.0,1452.0,1809.0,1809.0,731.0,731.0
seed3-exact-abort-baseline,pass,control_fanout_spread,idelay_data_cntvaluein,lane0,,0,lane_control_bit,8,1741.0,2050.5,2154.0,2154.0,413.0,413.0
seed3-exact-abort-baseline,pass,control_fanout_spread,idelay_data_cntvaluein,lane0,,1,lane_control_bit,8,1815.0,2069.5,2167.0,2167.0,352.0,352.0
seed3-exact-abort-baseline,pass,control_fanout_spread,idelay_data_cntvaluein,lane0,,2,lane_control_bit,8,2177.0,2313.5,2401.0,2401.0,224.0,224.0
seed3-exact-abort-baseline,pass,control_fanout_spread,idelay_data_cntvaluein,lane0,,3,lane_control_bit,8,1764.0,2147.0,2378.0,2378.0,614.0,614.0
seed3-exact-abort-baseline,pass,control_fanout_spread,idelay_data_cntvaluein,lane0,,4,lane_control_bit,8,1069.0,1785.5,1932.0,1932.0,863.0,863.0
seed3-exact-abort-baseline,pass,control_fanout_spread,idelay_data_cntvaluein,lane1,,0,lane_control_bit,8,1129.0,1494.5,1817.0,1817.0,688.0,688.0
seed3-exact-abort-baseline,pass,control_fanout_spread,idelay_data_cntvaluein,lane1,,1,lane_control_bit,8,1631.0,1675.5,1776.0,1776.0,145.0,145.0
