metric,family,lane,bit,control_bit,scope,fail_count,fail_min_ps,fail_median_ps,fail_max_ps,pass_count,pass_min_ps,pass_median_ps,pass_max_ps,robust_count,robust_min_ps,robust_median_ps,robust_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,robust_minus_fail_median_ps
direct_max,idelayctrl,all,,,endpoint,1,1656.0,1656.0,1656.0,2,2849.0,2962.0,3075.0,0,,,,-1306.0,-1419.0,
lane_spread,idelayctrl,all,,,lane,1,530.0,530.0,530.0,2,1723.0,1836.0,1949.0,0,,,,-1306.0,-1419.0,
direct_max,idelay_data_cntvaluein,lane0,dq2,0,endpoint,1,1335.0,1335.0,1335.0,2,2144.0,2149.0,2154.0,0,,,,-814.0,-819.0,
direct_max,dqs_iologic,lane0,dqs0,,endpoint,1,2880.0,2880.0,2880.0,2,3329.0,3636.5,3944.0,0,,,,-756.5,-1064.0,
lane_spread,dqs_iologic,lane0,,,lane,1,2880.0,2880.0,2880.0,2,3329.0,3636.5,3944.0,0,,,,-756.5,-1064.0,
direct_max,idelay_data_cntvaluein,lane0,dq1,0,endpoint,1,1350.0,1350.0,1350.0,2,2051.0,2079.5,2108.0,0,,,,-729.5,-758.0,
direct_max,dqs_iologic,lane1,dqs1,,endpoint,1,2609.0,2609.0,2609.0,2,3015.0,3315.0,3615.0,0,,,,-706.0,-1006.0,
lane_spread,dqs_iologic,lane1,,,lane,1,2609.0,2609.0,2609.0,2,3015.0,3315.0,3615.0,0,,,,-706.0,-1006.0,
direct_max,idelay_data_cntvaluein,lane0,dq6,0,endpoint,1,1338.0,1338.0,1338.0,2,1909.0,1984.0,2059.0,0,,,,-646.0,-721.0,
direct_max,idelay_data_cntvaluein,lane0,dq4,0,endpoint,1,1356.0,1356.0,1356.0,2,1881.0,1981.5,2082.0,0,,,,-625.5,-726.0,
direct_max,idelay_data_cntvaluein,lane0,dq7,0,endpoint,1,1424.0,1424.0,1424.0,2,1990.0,2021.0,2052.0,0,,,,-597.0,-628.0,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq10,,dq10,1,293.0,293.0,293.0,2,674.0,874.5,1075.0,0,,,,-581.5,-782.0,
direct_max,idelay_data_cntvaluein,lane0,dq0,0,endpoint,1,1449.0,1449.0,1449.0,2,1950.0,1999.5,2049.0,0,,,,-550.5,-600.0,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq13,,dq13,1,197.0,197.0,197.0,2,586.0,722.0,858.0,0,,,,-525.0,-661.0,
direct_max,idelay_data_cntvaluein,lane0,dq6,2,endpoint,1,1794.0,1794.0,1794.0,2,2275.0,2308.5,2342.0,0,,,,-514.5,-548.0,
direct_max,idelay_dqs_cntvaluein,lane1,dqs1,4,endpoint,1,1819.0,1819.0,1819.0,2,1078.0,1305.0,1532.0,0,,,,514.0,287.0,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq11,,dq11,1,216.0,216.0,216.0,2,572.0,718.0,864.0,0,,,,-502.0,-648.0,
