sample,status,metric,family,lane,bit,control_bit,scope,count,min_ps,median_ps,p95_ps,max_ps,spread_ps,value_ps
exact-abort-seed3-baseline,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1654.0,2066.0,2217.0,2217.0,563.0,563.0
exact-abort-seed3-idelay-control-full-locked,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1449.0,1700.0,1939.0,1939.0,490.0,490.0
exact-abort-seed3-idelay-control-locked,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1751.0,2006.0,2144.0,2144.0,393.0,393.0
exact-abort-seed3-baseline,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1741.0,2108.0,2309.0,2309.0,568.0,568.0
exact-abort-seed3-idelay-control-full-locked,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1350.0,1735.0,1945.0,1945.0,595.0,595.0
exact-abort-seed3-idelay-control-locked,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1832.0,2088.0,2105.0,2105.0,273.0,273.0
exact-abort-seed3-baseline,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1837.0,2154.0,2286.0,2286.0,449.0,449.0
exact-abort-seed3-idelay-control-full-locked,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1335.0,1797.0,1937.0,1937.0,602.0,602.0
exact-abort-seed3-idelay-control-locked,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1820.0,2039.0,2181.0,2181.0,361.0,361.0
exact-abort-seed3-baseline,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1069.0,1764.0,2318.0,2318.0,1249.0,1249.0
exact-abort-seed3-idelay-control-full-locked,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1409.0,1557.0,1850.0,1850.0,441.0,441.0
exact-abort-seed3-idelay-control-locked,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1552.0,1848.0,2000.0,2000.0,448.0,448.0
exact-abort-seed3-baseline,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1830.0,2082.0,2283.0,2283.0,453.0,453.0
exact-abort-seed3-idelay-control-full-locked,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1356.0,1794.0,1847.0,1847.0,491.0,491.0
exact-abort-seed3-idelay-control-locked,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1901.0,2082.0,2180.0,2180.0,279.0,279.0
exact-abort-seed3-baseline,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq5,,dq5,5,1125.0,1815.0,2401.0,2401.0,1276.0,1276.0
exact-abort-seed3-idelay-control-full-locked,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq5,,dq5,5,1463.0,1588.0,1942.0,1942.0,479.0,479.0
exact-abort-seed3-idelay-control-locked,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq5,,dq5,5,1547.0,1789.0,2006.0,2006.0,459.0,459.0
exact-abort-seed3-baseline,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq6,,dq6,5,1932.0,2167.0,2378.0,2378.0,446.0,446.0
exact-abort-seed3-idelay-control-full-locked,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq6,,dq6,5,1338.0,1794.0,1922.0,1922.0,584.0,584.0
exact-abort-seed3-idelay-control-locked,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq6,,dq6,5,1822.0,1968.0,2275.0,2275.0,453.0,453.0
exact-abort-seed3-baseline,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq7,,dq7,5,1810.0,2052.0,2395.0,2395.0,585.0,585.0
