metric,family,lane,bit,control_bit,scope,fail_count,fail_min_ps,fail_median_ps,fail_max_ps,pass_count,pass_min_ps,pass_median_ps,pass_max_ps,robust_count,robust_min_ps,robust_median_ps,robust_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,robust_minus_fail_median_ps
cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,0,,,,1,883.0,883.0,883.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,0,,,,1,890.0,890.0,890.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,0,,,,1,887.0,887.0,887.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,0,,,,1,796.0,796.0,796.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,0,,,,1,898.0,898.0,898.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq5,,dq5,0,,,,1,719.0,719.0,719.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq6,,dq6,0,,,,1,1077.0,1077.0,1077.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq7,,dq7,0,,,,1,1211.0,1211.0,1211.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq10,,dq10,0,,,,1,583.0,583.0,583.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq11,,dq11,0,,,,1,718.0,718.0,718.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq12,,dq12,0,,,,1,655.0,655.0,655.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq13,,dq13,0,,,,1,872.0,872.0,872.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq14,,dq14,0,,,,1,672.0,672.0,672.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq15,,dq15,0,,,,1,904.0,904.0,904.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq8,,dq8,0,,,,1,753.0,753.0,753.0,0,,,,,,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq9,,dq9,0,,,,1,909.0,909.0,909.0,0,,,,,,
cntvaluein_bus_skew,idelay_dqs_cntvaluein,lane0,dqs0,,dqs0,0,,,,1,525.0,525.0,525.0,0,,,,,,
cntvaluein_bus_skew,idelay_dqs_cntvaluein,lane1,dqs1,,dqs1,0,,,,1,436.0,436.0,436.0,0,,,,,,
control_fanout_spread,idelay_data_cntvaluein,lane0,,0,lane_control_bit,0,,,,1,289.0,289.0,289.0,0,,,,,,
