sample,status,metric,family,lane,bit,control_bit,scope,count,min_ps,median_ps,p95_ps,max_ps,spread_ps,value_ps
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1042.0,1699.0,1925.0,1925.0,883.0,883.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1126.0,1837.0,2016.0,2016.0,890.0,890.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1222.0,1866.0,2109.0,2109.0,887.0,887.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1039.0,1700.0,1835.0,1835.0,796.0,796.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1210.0,1781.0,2108.0,2108.0,898.0,898.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq5,,dq5,5,1177.0,1679.0,1896.0,1896.0,719.0,719.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq6,,dq6,5,1067.0,1960.0,2144.0,2144.0,1077.0,1077.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq7,,dq7,5,1062.0,1957.0,2273.0,2273.0,1211.0,1211.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq10,,dq10,5,1139.0,1536.0,1722.0,1722.0,583.0,583.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq11,,dq11,5,982.0,1351.0,1700.0,1700.0,718.0,718.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq12,,dq12,5,1052.0,1621.0,1707.0,1707.0,655.0,655.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq13,,dq13,5,919.0,1437.0,1791.0,1791.0,872.0,872.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq14,,dq14,5,1143.0,1444.0,1815.0,1815.0,672.0,672.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq15,,dq15,5,934.0,1284.0,1838.0,1838.0,904.0,904.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq8,,dq8,5,1146.0,1713.0,1899.0,1899.0,753.0,753.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq9,,dq9,5,936.0,1342.0,1845.0,1845.0,909.0,909.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_dqs_cntvaluein,lane0,dqs0,,dqs0,5,1504.0,1546.0,2029.0,2029.0,525.0,525.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_dqs_cntvaluein,lane1,dqs1,,dqs1,5,1228.0,1473.0,1664.0,1664.0,436.0,436.0
seed3-pass,pass,control_fanout_spread,idelay_data_cntvaluein,lane0,,0,lane_control_bit,8,1679.0,1917.0,1968.0,1968.0,289.0,289.0
seed3-pass,pass,control_fanout_spread,idelay_data_cntvaluein,lane0,,1,lane_control_bit,8,1699.0,1809.0,1960.0,1960.0,261.0,261.0
seed3-pass,pass,control_fanout_spread,idelay_data_cntvaluein,lane0,,2,lane_control_bit,8,1039.0,1096.5,1222.0,1222.0,183.0,183.0
seed3-pass,pass,control_fanout_spread,idelay_data_cntvaluein,lane0,,3,lane_control_bit,8,1835.0,2062.0,2273.0,2273.0,438.0,438.0
seed3-pass,pass,control_fanout_spread,idelay_data_cntvaluein,lane0,,4,lane_control_bit,8,1370.0,1661.5,1807.0,1807.0,437.0,437.0
seed3-pass,pass,control_fanout_spread,idelay_data_cntvaluein,lane1,,0,lane_control_bit,8,1284.0,1692.0,1855.0,1855.0,571.0,571.0
seed3-pass,pass,control_fanout_spread,idelay_data_cntvaluein,lane1,,1,lane_control_bit,8,1213.0,1440.5,1713.0,1713.0,500.0,500.0
seed3-pass,pass,control_fanout_spread,idelay_data_cntvaluein,lane1,,2,lane_control_bit,8,919.0,1017.0,1233.0,1233.0,314.0,314.0
seed3-pass,pass,control_fanout_spread,idelay_data_cntvaluein,lane1,,3,lane_control_bit,8,1700.0,1803.0,1899.0,1899.0,199.0,199.0
seed3-pass,pass,control_fanout_spread,idelay_data_cntvaluein,lane1,,4,lane_control_bit,8,1146.0,1277.5,1457.0,1457.0,311.0,311.0
seed3-pass,pass,control_fanout_spread,idelay_dqs_cntvaluein,lane0,,0,lane_control_bit,1,1504.0,1504.0,1504.0,1504.0,0.0,0.0
seed3-pass,pass,control_fanout_spread,idelay_dqs_cntvaluein,lane0,,1,lane_control_bit,1,1546.0,1546.0,1546.0,1546.0,0.0,0.0
seed3-pass,pass,control_fanout_spread,idelay_dqs_cntvaluein,lane0,,2,lane_control_bit,1,1662.0,1662.0,1662.0,1662.0,0.0,0.0
seed3-pass,pass,control_fanout_spread,idelay_dqs_cntvaluein,lane0,,3,lane_control_bit,1,1519.0,1519.0,1519.0,1519.0,0.0,0.0
seed3-pass,pass,control_fanout_spread,idelay_dqs_cntvaluein,lane0,,4,lane_control_bit,1,2029.0,2029.0,2029.0,2029.0,0.0,0.0
seed3-pass,pass,control_fanout_spread,idelay_dqs_cntvaluein,lane1,,0,lane_control_bit,1,1228.0,1228.0,1228.0,1228.0,0.0,0.0
seed3-pass,pass,control_fanout_spread,idelay_dqs_cntvaluein,lane1,,1,lane_control_bit,1,1575.0,1575.0,1575.0,1575.0,0.0,0.0
seed3-pass,pass,control_fanout_spread,idelay_dqs_cntvaluein,lane1,,2,lane_control_bit,1,1473.0,1473.0,1473.0,1473.0,0.0,0.0
seed3-pass,pass,control_fanout_spread,idelay_dqs_cntvaluein,lane1,,3,lane_control_bit,1,1320.0,1320.0,1320.0,1320.0,0.0,0.0
seed3-pass,pass,control_fanout_spread,idelay_dqs_cntvaluein,lane1,,4,lane_control_bit,1,1664.0,1664.0,1664.0,1664.0,0.0,0.0
seed3-pass,pass,direct_max,clocking,all,,,endpoint,2005,119.0,1110.0,1179.0,7110.0,6991.0,7110.0
seed3-pass,pass,direct_max,clocking,lane0,dq0,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
