metric,family,lane,bit,control_bit,scope,fail_count,fail_min_ps,fail_median_ps,fail_max_ps,pass_count,pass_min_ps,pass_median_ps,pass_max_ps,robust_count,robust_min_ps,robust_median_ps,robust_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,robust_minus_fail_median_ps
direct_max,idelay_dqs_cntvaluein,lane0,dqs0,2,endpoint,16,975.0,1683.0,2421.0,14,1054.0,1461.0,2204.0,0,,,,222.0,-1229.0,
direct_max,idelay_data_cntvaluein,lane0,dq5,0,endpoint,16,1223.0,1743.5,2045.0,14,1261.0,1526.5,1993.0,0,,,,217.0,-770.0,
direct_max,idelay_data_cntvaluein,lane1,dq15,4,endpoint,16,669.0,1327.0,1684.0,14,827.0,1139.5,1638.0,0,,,,187.5,-969.0,
direct_max,idelay_ld,lane0,dq5,,endpoint,16,1345.0,1704.5,2292.0,14,1157.0,1518.5,2118.0,0,,,,186.0,-773.0,
cntvaluein_bus_skew,idelay_dqs_cntvaluein,lane0,dqs0,,dqs0,16,147.0,795.0,1581.0,14,390.0,625.0,1188.0,0,,,,170.0,-1041.0,
lane_spread,idelay_dqs_cntvaluein,lane0,,,lane,16,147.0,795.0,1581.0,14,390.0,625.0,1188.0,0,,,,170.0,-1041.0,
direct_max,idelay_data_cntvaluein,lane0,dq6,0,endpoint,16,1101.0,1842.5,2273.0,14,1187.0,1675.5,2177.0,0,,,,167.0,-1076.0,
direct_max,idelay_data_cntvaluein,lane0,dq4,4,endpoint,16,1151.0,1700.0,2382.0,14,1220.0,1536.5,2359.0,0,,,,163.5,-1208.0,
direct_max,idelay_dqs_cntvaluein,lane0,dqs0,1,endpoint,16,1036.0,1580.0,2276.0,14,1027.0,1420.5,2224.0,0,,,,159.5,-1188.0,
direct_max,idelay_data_cntvaluein,lane0,dq2,0,endpoint,16,1205.0,1848.0,2249.0,14,1393.0,1691.0,2326.0,0,,,,157.0,-1121.0,
direct_max,dq_iologic,lane1,dq12,,endpoint,16,1995.0,2669.0,3931.0,14,2295.0,2528.5,2959.0,0,,,,140.5,-964.0,
direct_max,idelay_ld,lane0,dqs0,,endpoint,16,1424.0,1678.0,2456.0,14,1161.0,1550.5,2124.0,0,,,,127.5,-700.0,
direct_max,idelay_data_cntvaluein,lane1,dq12,0,endpoint,16,1126.0,1508.5,1919.0,14,1128.0,1382.5,1738.0,0,,,,126.0,-612.0,
direct_max,idelay_data_cntvaluein,lane0,dq7,0,endpoint,16,1289.0,1744.5,2500.0,14,1274.0,1619.5,2265.0,0,,,,125.0,-976.0,
