sample,status,metric,family,lane,bit,control_bit,scope,count,min_ps,median_ps,p95_ps,max_ps,spread_ps,value_ps
baseline-no-lock-seed-31,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1506.0,1618.0,2115.0,2115.0,609.0,609.0
baseline-no-lock-seed-32,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1784.0,2220.0,2430.0,2430.0,646.0,646.0
baseline-no-lock-seed-33,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1235.0,1450.0,1649.0,1649.0,414.0,414.0
baseline-no-lock-seed-34,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1562.0,1735.0,1996.0,1996.0,434.0,434.0
baseline-no-lock-seed-35,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1391.0,1559.0,1899.0,1899.0,508.0,508.0
baseline-no-lock-seed-36,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1307.0,1870.0,1960.0,1960.0,653.0,653.0
baseline-no-lock-seed-37,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1213.0,1481.0,1758.0,1758.0,545.0,545.0
baseline-no-lock-seed-38,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1350.0,1932.0,2144.0,2144.0,794.0,794.0
baseline-no-lock-seed-39,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1001.0,1583.0,2220.0,2220.0,1219.0,1219.0
baseline-no-lock-seed-40,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1271.0,1480.0,2019.0,2019.0,748.0,748.0
baseline-no-lock-seed-41,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1217.0,1503.0,1878.0,1878.0,661.0,661.0
baseline-no-lock-seed-42,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1138.0,1368.0,1644.0,1644.0,506.0,506.0
baseline-no-lock-seed-43,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1126.0,1631.0,1822.0,1822.0,696.0,696.0
baseline-no-lock-seed-44,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1151.0,1595.0,2141.0,2141.0,990.0,990.0
baseline-no-lock-seed-45,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1072.0,1514.0,1922.0,1922.0,850.0,850.0
baseline-no-lock-seed-46,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1569.0,1927.0,2065.0,2065.0,496.0,496.0
