metric,family,lane,bit,control_bit,scope,fail_count,fail_min_ps,fail_median_ps,fail_max_ps,pass_count,pass_min_ps,pass_median_ps,pass_max_ps,robust_count,robust_min_ps,robust_median_ps,robust_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,robust_minus_fail_median_ps
direct_max,idelay_data_cntvaluein,lane0,dq4,2,endpoint,11,1062.0,1825.0,2158.0,19,921.0,1442.0,2151.0,0,,,,383.0,-1089.0,
direct_max,idelay_data_cntvaluein,lane0,dq2,2,endpoint,11,885.0,1738.0,2161.0,19,931.0,1383.0,2153.0,0,,,,355.0,-1268.0,
direct_max,idelay_data_cntvaluein,lane0,dq5,2,endpoint,11,879.0,1583.0,2170.0,19,800.0,1250.0,1845.0,0,,,,333.0,-966.0,
direct_max,idelay_data_cntvaluein,lane0,dq0,2,endpoint,11,1042.0,1582.0,2154.0,19,919.0,1263.0,2128.0,0,,,,319.0,-1086.0,
cntvaluein_bus_skew,idelay_dqs_cntvaluein,lane0,dqs0,,dqs0,11,473.0,999.0,1271.0,19,242.0,692.0,1526.0,0,,,,307.0,-1053.0,
lane_spread,idelay_dqs_cntvaluein,lane0,,,lane,11,473.0,999.0,1271.0,19,242.0,692.0,1526.0,0,,,,307.0,-1053.0,
direct_max,idelay_data_cntvaluein,lane1,dq8,2,endpoint,11,666.0,1500.0,1884.0,19,574.0,1222.0,1896.0,0,,,,278.0,-1230.0,
direct_max,idelay_data_cntvaluein,lane0,dq3,2,endpoint,11,787.0,1452.0,2078.0,19,726.0,1230.0,1891.0,0,,,,222.0,-1104.0,
direct_max,idelay_data_cntvaluein,lane0,dq1,2,endpoint,11,977.0,1572.0,2068.0,19,1052.0,1353.0,2128.0,0,,,,219.0,-1151.0,
control_fanout_spread,idelay_data_cntvaluein,lane1,,2,lane_control_bit,11,206.0,558.0,890.0,19,260.0,342.0,505.0,0,,,,216.0,-299.0,
direct_max,idelay_data_cntvaluein,lane0,dq7,2,endpoint,11,930.0,1633.0,2252.0,19,981.0,1422.0,2243.0,0,,,,211.0,-1313.0,
