metric,family,lane,bit,control_bit,scope,fail_count,fail_min_ps,fail_median_ps,fail_max_ps,pass_count,pass_min_ps,pass_median_ps,pass_max_ps,robust_count,robust_min_ps,robust_median_ps,robust_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,robust_minus_fail_median_ps
direct_max,idelay_data_cntvaluein,lane0,dq4,2,endpoint,11,1062.0,1825.0,2158.0,19,921.0,1442.0,2151.0,0,,,,383.0,-1089.0,
direct_max,idelay_data_cntvaluein,lane0,dq2,2,endpoint,11,885.0,1738.0,2161.0,19,931.0,1383.0,2153.0,0,,,,355.0,-1268.0,
direct_max,idelay_data_cntvaluein,lane0,dq5,2,endpoint,11,879.0,1583.0,2170.0,19,800.0,1250.0,1845.0,0,,,,333.0,-966.0,
direct_max,dq_iologic,lane0,dq7,,endpoint,11,1970.0,2234.0,2799.0,19,2065.0,2565.0,3318.0,0,,,,-331.0,-1348.0,
direct_max,idelay_data_cntvaluein,lane0,dq0,2,endpoint,11,1042.0,1582.0,2154.0,19,919.0,1263.0,2128.0,0,,,,319.0,-1086.0,
lane_spread,dq_iologic,lane0,,,lane,11,2270.0,2506.0,2996.0,19,2349.0,2823.0,3448.0,0,,,,-317.0,-1178.0,
cntvaluein_bus_skew,idelay_dqs_cntvaluein,lane0,dqs0,,dqs0,11,473.0,999.0,1271.0,19,242.0,692.0,1526.0,0,,,,307.0,-1053.0,
lane_spread,idelay_dqs_cntvaluein,lane0,,,lane,11,473.0,999.0,1271.0,19,242.0,692.0,1526.0,0,,,,307.0,-1053.0,
lane_spread,idelay_data_cntvaluein,lane0,,,lane,11,772.0,1090.0,1224.0,19,719.0,1378.0,1622.0,0,,,,-288.0,-850.0,
direct_max,idelay_data_cntvaluein,lane1,dq8,2,endpoint,11,666.0,1500.0,1884.0,19,574.0,1222.0,1896.0,0,,,,278.0,-1230.0,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,11,529.0,646.0,1024.0,19,341.0,923.0,1427.0,0,,,,-277.0,-898.0,
