sample,status,metric,family,lane,bit,control_bit,scope,count,min_ps,median_ps,p95_ps,max_ps,spread_ps,value_ps
cntvaluein3-skew-locked-seed-31,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1207.0,1700.0,2342.0,2342.0,1135.0,1135.0
cntvaluein3-skew-locked-seed-32,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,819.0,1090.0,2246.0,2246.0,1427.0,1427.0
cntvaluein3-skew-locked-seed-33,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1511.0,1740.0,2105.0,2105.0,594.0,594.0
cntvaluein3-skew-locked-seed-34,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1148.0,1276.0,2200.0,2200.0,1052.0,1052.0
cntvaluein3-skew-locked-seed-35,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,867.0,972.0,2171.0,2171.0,1304.0,1304.0
cntvaluein3-skew-locked-seed-36,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1332.0,1465.0,1978.0,1978.0,646.0,646.0
cntvaluein3-skew-locked-seed-37,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1672.0,1791.0,2128.0,2128.0,456.0,456.0
cntvaluein3-skew-locked-seed-38,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1708.0,1894.0,2105.0,2105.0,397.0,397.0
cntvaluein3-skew-locked-seed-39,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1511.0,1876.0,2055.0,2055.0,544.0,544.0
cntvaluein3-skew-locked-seed-40,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1347.0,2032.0,2118.0,2118.0,771.0,771.0
cntvaluein3-skew-locked-seed-41,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1187.0,1695.0,1725.0,1725.0,538.0,538.0
cntvaluein3-skew-locked-seed-42,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1557.0,1725.0,2177.0,2177.0,620.0,620.0
cntvaluein3-skew-locked-seed-43,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,919.0,1029.0,1927.0,1927.0,1008.0,1008.0
cntvaluein3-skew-locked-seed-44,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,916.0,1195.0,2161.0,2161.0,1245.0,1245.0
cntvaluein3-skew-locked-seed-45,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,873.0,1069.0,1402.0,1402.0,529.0,529.0
cntvaluein3-skew-locked-seed-46,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,953.0,1263.0,1560.0,1560.0,607.0,607.0
cntvaluein3-skew-locked-seed-47,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1847.0,2039.0,2368.0,2368.0,521.0,521.0
cntvaluein3-skew-locked-seed-48,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,962.0,1180.0,1968.0,1968.0,1006.0,1006.0
cntvaluein3-skew-locked-seed-49,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1062.0,1980.0,2476.0,2476.0,1414.0,1414.0
cntvaluein3-skew-locked-seed-50,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1197.0,1633.0,1922.0,1922.0,725.0,725.0
cntvaluein3-skew-locked-seed-51,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,869.0,1177.0,1893.0,1893.0,1024.0,1024.0
cntvaluein3-skew-locked-seed-52,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1230.0,1980.0,2154.0,2154.0,924.0,924.0
cntvaluein3-skew-locked-seed-53,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1444.0,1582.0,2069.0,2069.0,625.0,625.0
cntvaluein3-skew-locked-seed-54,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,989.0,1230.0,2023.0,2023.0,1034.0,1034.0
cntvaluein3-skew-locked-seed-55,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1842.0,1968.0,2183.0,2183.0,341.0,341.0
cntvaluein3-skew-locked-seed-56,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1072.0,1514.0,2392.0,2392.0,1320.0,1320.0
cntvaluein3-skew-locked-seed-57,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1560.0,1710.0,2483.0,2483.0,923.0,923.0
cntvaluein3-skew-locked-seed-58,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1412.0,1511.0,1921.0,1921.0,509.0,509.0
cntvaluein3-skew-locked-seed-59,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1001.0,1338.0,1853.0,1853.0,852.0,852.0
cntvaluein3-skew-locked-seed-60,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1254.0,1646.0,2134.0,2134.0,880.0,880.0
cntvaluein3-skew-locked-seed-31,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1231.0,1759.0,2305.0,2305.0,1074.0,1074.0
cntvaluein3-skew-locked-seed-32,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,904.0,1113.0,2253.0,2253.0,1349.0,1349.0
cntvaluein3-skew-locked-seed-33,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1601.0,1684.0,2193.0,2193.0,592.0,592.0
cntvaluein3-skew-locked-seed-34,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1190.0,1361.0,2150.0,2150.0,960.0,960.0
cntvaluein3-skew-locked-seed-35,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,954.0,1146.0,2160.0,2160.0,1206.0,1206.0
cntvaluein3-skew-locked-seed-36,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1273.0,1552.0,2069.0,2069.0,796.0,796.0
cntvaluein3-skew-locked-seed-37,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1679.0,1830.0,2128.0,2128.0,449.0,449.0
cntvaluein3-skew-locked-seed-38,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1621.0,1985.0,2190.0,2190.0,569.0,569.0
cntvaluein3-skew-locked-seed-39,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1422.0,1952.0,2109.0,2109.0,687.0,687.0
cntvaluein3-skew-locked-seed-40,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1523.0,2032.0,2125.0,2125.0,602.0,602.0
cntvaluein3-skew-locked-seed-41,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1271.0,1782.0,1809.0,1809.0,538.0,538.0
cntvaluein3-skew-locked-seed-42,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1549.0,1809.0,2180.0,2180.0,631.0,631.0
cntvaluein3-skew-locked-seed-43,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1052.0,1085.0,2019.0,2019.0,967.0,967.0
cntvaluein3-skew-locked-seed-44,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,945.0,1195.0,2246.0,2246.0,1301.0,1301.0
cntvaluein3-skew-locked-seed-45,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,961.0,1133.0,1488.0,1488.0,527.0,527.0
cntvaluein3-skew-locked-seed-46,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,949.0,1353.0,1646.0,1646.0,697.0,697.0
cntvaluein3-skew-locked-seed-47,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1906.0,2128.0,2451.0,2451.0,545.0,545.0
cntvaluein3-skew-locked-seed-48,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1083.0,1126.0,1995.0,1995.0,912.0,912.0
cntvaluein3-skew-locked-seed-49,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1065.0,1899.0,2568.0,2568.0,1503.0,1503.0
cntvaluein3-skew-locked-seed-50,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1281.0,1718.0,2013.0,2013.0,732.0,732.0
cntvaluein3-skew-locked-seed-51,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,959.0,1207.0,1922.0,1922.0,963.0,963.0
cntvaluein3-skew-locked-seed-52,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1149.0,2065.0,2144.0,2144.0,995.0,995.0
cntvaluein3-skew-locked-seed-53,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1493.0,1572.0,2151.0,2151.0,658.0,658.0
cntvaluein3-skew-locked-seed-54,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1149.0,1192.0,2108.0,2108.0,959.0,959.0
cntvaluein3-skew-locked-seed-55,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1911.0,2059.0,2196.0,2196.0,285.0,285.0
cntvaluein3-skew-locked-seed-56,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1062.0,1490.0,2420.0,2420.0,1358.0,1358.0
cntvaluein3-skew-locked-seed-57,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1628.0,1763.0,2596.0,2596.0,968.0,968.0
cntvaluein3-skew-locked-seed-58,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1452.0,1595.0,2009.0,2009.0,557.0,557.0
cntvaluein3-skew-locked-seed-59,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1085.0,1598.0,1937.0,1937.0,852.0,852.0
