sample,status,metric,family,lane,bit,control_bit,scope,count,min_ps,median_ps,p95_ps,max_ps,spread_ps,value_ps
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1360.0,2085.0,2766.0,2766.0,1406.0,1406.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1450.0,2109.0,2707.0,2707.0,1257.0,1257.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1358.0,1983.0,2799.0,2799.0,1441.0,1441.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1080.0,1740.0,2385.0,2385.0,1305.0,1305.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1273.0,1914.0,2798.0,2798.0,1525.0,1525.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq5,,dq5,5,1164.0,1792.0,2467.0,2467.0,1303.0,1303.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq6,,dq6,5,1457.0,2066.0,2892.0,2892.0,1435.0,1435.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq7,,dq7,5,1366.0,2006.0,2891.0,2891.0,1525.0,1525.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq10,,dq10,5,1072.0,1881.0,2049.0,2049.0,977.0,977.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq11,,dq11,5,1360.0,1723.0,1935.0,1935.0,575.0,575.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq12,,dq12,5,1164.0,1917.0,1968.0,1968.0,804.0,804.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq13,,dq13,5,1233.0,1643.0,1878.0,1878.0,645.0,645.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq14,,dq14,5,1254.0,1710.0,1996.0,1996.0,742.0,742.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq15,,dq15,5,1085.0,1297.0,1570.0,1570.0,485.0,485.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq8,,dq8,5,1345.0,1717.0,2085.0,2085.0,740.0,740.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq9,,dq9,5,1175.0,1360.0,1567.0,1567.0,392.0,392.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_dqs_cntvaluein,lane0,dqs0,,dqs0,5,1325.0,1692.0,2046.0,2046.0,721.0,721.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_dqs_cntvaluein,lane1,dqs1,,dqs1,5,1202.0,1414.0,1855.0,1855.0,653.0,653.0
seed3-pass,pass,control_fanout_spread,idelay_data_cntvaluein,lane0,,0,lane_control_bit,8,1914.0,2081.0,2180.0,2180.0,266.0,266.0
seed3-pass,pass,control_fanout_spread,idelay_data_cntvaluein,lane0,,1,lane_control_bit,8,2385.0,2782.0,2892.0,2892.0,507.0,507.0
seed3-pass,pass,control_fanout_spread,idelay_data_cntvaluein,lane0,,2,lane_control_bit,8,1411.0,1595.0,1736.0,1736.0,325.0,325.0
seed3-pass,pass,control_fanout_spread,idelay_data_cntvaluein,lane0,,3,lane_control_bit,8,1080.0,1359.0,1457.0,1457.0,377.0,377.0
seed3-pass,pass,control_fanout_spread,idelay_data_cntvaluein,lane0,,4,lane_control_bit,8,1740.0,2153.0,2299.0,2299.0,559.0,559.0
seed3-pass,pass,control_fanout_spread,idelay_data_cntvaluein,lane1,,0,lane_control_bit,8,1297.0,1713.5,1942.0,1942.0,645.0,645.0
seed3-pass,pass,control_fanout_spread,idelay_data_cntvaluein,lane1,,1,lane_control_bit,8,1567.0,1825.0,2049.0,2049.0,482.0,482.0
seed3-pass,pass,control_fanout_spread,idelay_data_cntvaluein,lane1,,2,lane_control_bit,8,1174.0,1399.0,1639.0,1639.0,465.0,465.0
seed3-pass,pass,control_fanout_spread,idelay_data_cntvaluein,lane1,,3,lane_control_bit,8,1072.0,1214.5,1445.0,1445.0,373.0,373.0
seed3-pass,pass,control_fanout_spread,idelay_data_cntvaluein,lane1,,4,lane_control_bit,8,1483.0,1899.0,2085.0,2085.0,602.0,602.0
