sample,status,metric,family,lane,bit,control_bit,scope,count,min_ps,median_ps,p95_ps,max_ps,spread_ps,value_ps
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1388.0,1651.0,1976.0,1976.0,588.0,588.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,5,1292.0,1595.0,2019.0,2019.0,727.0,727.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1299.0,1689.0,2114.0,2114.0,815.0,815.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq3,,dq3,5,1338.0,1422.0,1838.0,1838.0,500.0,500.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1296.0,1598.0,2107.0,2107.0,811.0,811.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq5,,dq5,5,1427.0,1429.0,1922.0,1922.0,495.0,495.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq6,,dq6,5,1391.0,1781.0,2209.0,2209.0,818.0,818.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq7,,dq7,5,1389.0,1779.0,2201.0,2201.0,812.0,812.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq10,,dq10,5,1325.0,1381.0,1713.0,1713.0,388.0,388.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq11,,dq11,5,1226.0,1457.0,1873.0,1873.0,647.0,647.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq12,,dq12,5,1190.0,1381.0,1720.0,1720.0,530.0,530.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq13,,dq13,5,1317.0,1547.0,1879.0,1879.0,562.0,562.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq14,,dq14,5,1233.0,1284.0,1804.0,1804.0,571.0,571.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq15,,dq15,5,1088.0,1294.0,1766.0,1766.0,678.0,678.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq8,,dq8,5,1281.0,1391.0,1888.0,1888.0,607.0,607.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq9,,dq9,5,1179.0,1383.0,1856.0,1856.0,677.0,677.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_dqs_cntvaluein,lane0,dqs0,,dqs0,5,1287.0,1629.0,1985.0,1985.0,698.0,698.0
seed3-pass,pass,cntvaluein_bus_skew,idelay_dqs_cntvaluein,lane1,dqs1,,dqs1,5,1297.0,1365.0,1710.0,1710.0,413.0,413.0
seed3-pass,pass,control_fanout_spread,idelay_data_cntvaluein,lane0,,0,lane_control_bit,8,1838.0,1965.0,2072.0,2072.0,234.0,234.0
seed3-pass,pass,control_fanout_spread,idelay_data_cntvaluein,lane0,,1,lane_control_bit,8,1422.0,1624.5,1781.0,1781.0,359.0,359.0
seed3-pass,pass,control_fanout_spread,idelay_data_cntvaluein,lane0,,2,lane_control_bit,8,1371.0,1501.0,1603.0,1603.0,232.0,232.0
seed3-pass,pass,control_fanout_spread,idelay_data_cntvaluein,lane0,,3,lane_control_bit,8,1292.0,1363.0,1429.0,1429.0,137.0,137.0
seed3-pass,pass,control_fanout_spread,idelay_data_cntvaluein,lane0,,4,lane_control_bit,8,1789.0,2063.0,2209.0,2209.0,420.0,420.0
seed3-pass,pass,control_fanout_spread,idelay_data_cntvaluein,lane1,,0,lane_control_bit,8,1713.0,1779.0,1888.0,1888.0,175.0,175.0
seed3-pass,pass,control_fanout_spread,idelay_data_cntvaluein,lane1,,1,lane_control_bit,8,1172.0,1296.5,1394.0,1394.0,222.0,222.0
seed3-pass,pass,control_fanout_spread,idelay_data_cntvaluein,lane1,,2,lane_control_bit,8,1088.0,1257.0,1381.0,1381.0,293.0,293.0
seed3-pass,pass,control_fanout_spread,idelay_data_cntvaluein,lane1,,3,lane_control_bit,8,1190.0,1411.5,1856.0,1856.0,666.0,666.0
seed3-pass,pass,control_fanout_spread,idelay_data_cntvaluein,lane1,,4,lane_control_bit,8,1294.0,1643.5,1761.0,1761.0,467.0,467.0
seed3-pass,pass,control_fanout_spread,idelay_dqs_cntvaluein,lane0,,0,lane_control_bit,1,1985.0,1985.0,1985.0,1985.0,0.0,0.0
seed3-pass,pass,control_fanout_spread,idelay_dqs_cntvaluein,lane0,,1,lane_control_bit,1,1967.0,1967.0,1967.0,1967.0,0.0,0.0
seed3-pass,pass,control_fanout_spread,idelay_dqs_cntvaluein,lane0,,2,lane_control_bit,1,1287.0,1287.0,1287.0,1287.0,0.0,0.0
seed3-pass,pass,control_fanout_spread,idelay_dqs_cntvaluein,lane0,,3,lane_control_bit,1,1629.0,1629.0,1629.0,1629.0,0.0,0.0
seed3-pass,pass,control_fanout_spread,idelay_dqs_cntvaluein,lane0,,4,lane_control_bit,1,1603.0,1603.0,1603.0,1603.0,0.0,0.0
seed3-pass,pass,control_fanout_spread,idelay_dqs_cntvaluein,lane1,,0,lane_control_bit,1,1710.0,1710.0,1710.0,1710.0,0.0,0.0
seed3-pass,pass,control_fanout_spread,idelay_dqs_cntvaluein,lane1,,1,lane_control_bit,1,1565.0,1565.0,1565.0,1565.0,0.0,0.0
seed3-pass,pass,control_fanout_spread,idelay_dqs_cntvaluein,lane1,,2,lane_control_bit,1,1297.0,1297.0,1297.0,1297.0,0.0,0.0
seed3-pass,pass,control_fanout_spread,idelay_dqs_cntvaluein,lane1,,3,lane_control_bit,1,1365.0,1365.0,1365.0,1365.0,0.0,0.0
seed3-pass,pass,control_fanout_spread,idelay_dqs_cntvaluein,lane1,,4,lane_control_bit,1,1325.0,1325.0,1325.0,1325.0,0.0,0.0
seed3-pass,pass,direct_max,clocking,all,,,endpoint,2071,119.0,1110.0,1179.0,6855.0,6736.0,6855.0
seed3-pass,pass,direct_max,clocking,lane0,dq0,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
seed3-pass,pass,direct_max,clocking,lane0,dq1,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
seed3-pass,pass,direct_max,clocking,lane0,dq2,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
seed3-pass,pass,direct_max,clocking,lane0,dq3,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
seed3-pass,pass,direct_max,clocking,lane0,dq4,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
seed3-pass,pass,direct_max,clocking,lane0,dq5,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
seed3-pass,pass,direct_max,clocking,lane0,dq6,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
seed3-pass,pass,direct_max,clocking,lane0,dq7,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
seed3-pass,pass,direct_max,clocking,lane0,dqs0,,endpoint,5,1179.0,1279.0,1279.0,1279.0,100.0,1279.0
seed3-pass,pass,direct_max,clocking,lane1,dq10,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
seed3-pass,pass,direct_max,clocking,lane1,dq11,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
seed3-pass,pass,direct_max,clocking,lane1,dq12,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
seed3-pass,pass,direct_max,clocking,lane1,dq13,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
seed3-pass,pass,direct_max,clocking,lane1,dq14,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
seed3-pass,pass,direct_max,clocking,lane1,dq15,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
seed3-pass,pass,direct_max,clocking,lane1,dq8,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
seed3-pass,pass,direct_max,clocking,lane1,dq9,,endpoint,6,1179.0,1279.0,1314.0,1314.0,135.0,1314.0
seed3-pass,pass,direct_max,clocking,lane1,dqs1,,endpoint,5,1179.0,1279.0,1279.0,1279.0,100.0,1279.0
seed3-pass,pass,direct_max,dq_iologic,lane0,dq0,,endpoint,57,0.0,1187.0,1875.0,2165.0,2165.0,2165.0
seed3-pass,pass,direct_max,dq_iologic,lane0,dq1,,endpoint,55,0.0,1286.0,1853.0,1937.0,1937.0,1937.0
seed3-pass,pass,direct_max,dq_iologic,lane0,dq2,,endpoint,55,0.0,992.0,1784.0,2078.0,2078.0,2078.0
seed3-pass,pass,direct_max,dq_iologic,lane0,dq3,,endpoint,57,0.0,1332.0,1845.0,2069.0,2069.0,2069.0
seed3-pass,pass,direct_max,dq_iologic,lane0,dq4,,endpoint,55,0.0,972.0,1875.0,2022.0,2022.0,2022.0
seed3-pass,pass,direct_max,dq_iologic,lane0,dq5,,endpoint,57,0.0,1379.0,1796.0,2154.0,2154.0,2154.0
seed3-pass,pass,direct_max,dq_iologic,lane0,dq6,,endpoint,57,0.0,1182.0,1815.0,2038.0,2038.0,2038.0
seed3-pass,pass,direct_max,dq_iologic,lane0,dq7,,endpoint,56,0.0,1468.5,1993.0,2684.0,2684.0,2684.0
seed3-pass,pass,direct_max,dq_iologic,lane1,dq10,,endpoint,57,0.0,1523.0,2684.0,2684.0,2684.0,2684.0
seed3-pass,pass,direct_max,dq_iologic,lane1,dq11,,endpoint,58,0.0,1627.0,2595.0,2595.0,2595.0,2595.0
seed3-pass,pass,direct_max,dq_iologic,lane1,dq12,,endpoint,57,0.0,1314.0,2721.0,3059.0,3059.0,3059.0
seed3-pass,pass,direct_max,dq_iologic,lane1,dq13,,endpoint,59,0.0,1412.0,2565.0,2565.0,2565.0,2565.0
seed3-pass,pass,direct_max,dq_iologic,lane1,dq14,,endpoint,60,0.0,1481.5,2535.0,2595.0,2595.0,2595.0
seed3-pass,pass,direct_max,dq_iologic,lane1,dq15,,endpoint,56,0.0,1314.0,2265.0,2411.0,2411.0,2411.0
seed3-pass,pass,direct_max,dq_iologic,lane1,dq8,,endpoint,60,0.0,1455.0,2474.0,2595.0,2595.0,2595.0
seed3-pass,pass,direct_max,dq_iologic,lane1,dq9,,endpoint,56,0.0,1283.0,2414.0,2414.0,2414.0,2414.0
seed3-pass,pass,direct_max,dqs_iologic,lane0,dqs0,,endpoint,48,0.0,1980.0,3015.0,3255.0,3255.0,3255.0
seed3-pass,pass,direct_max,dqs_iologic,lane1,dqs1,,endpoint,48,0.0,1429.0,2654.0,2924.0,2924.0,2924.0
seed3-pass,pass,direct_max,idelay_data_cntvaluein,lane0,dq0,0,endpoint,1,1917.0,1917.0,1917.0,1917.0,0.0,1917.0
seed3-pass,pass,direct_max,idelay_data_cntvaluein,lane0,dq0,1,endpoint,1,1651.0,1651.0,1651.0,1651.0,0.0,1651.0
seed3-pass,pass,direct_max,idelay_data_cntvaluein,lane0,dq0,2,endpoint,1,1603.0,1603.0,1603.0,1603.0,0.0,1603.0
seed3-pass,pass,direct_max,idelay_data_cntvaluein,lane0,dq0,3,endpoint,1,1388.0,1388.0,1388.0,1388.0,0.0,1388.0
seed3-pass,pass,direct_max,idelay_data_cntvaluein,lane0,dq0,4,endpoint,1,1976.0,1976.0,1976.0,1976.0,0.0,1976.0
seed3-pass,pass,direct_max,idelay_data_cntvaluein,lane0,dq1,0,endpoint,1,1924.0,1924.0,1924.0,1924.0,0.0,1924.0
seed3-pass,pass,direct_max,idelay_data_cntvaluein,lane0,dq1,1,endpoint,1,1595.0,1595.0,1595.0,1595.0,0.0,1595.0
seed3-pass,pass,direct_max,idelay_data_cntvaluein,lane0,dq1,2,endpoint,1,1592.0,1592.0,1592.0,1592.0,0.0,1592.0
seed3-pass,pass,direct_max,idelay_data_cntvaluein,lane0,dq1,3,endpoint,1,1292.0,1292.0,1292.0,1292.0,0.0,1292.0
seed3-pass,pass,direct_max,idelay_data_cntvaluein,lane0,dq1,4,endpoint,1,2019.0,2019.0,2019.0,2019.0,0.0,2019.0
seed3-pass,pass,direct_max,idelay_data_cntvaluein,lane0,dq2,0,endpoint,1,2069.0,2069.0,2069.0,2069.0,0.0,2069.0
seed3-pass,pass,direct_max,idelay_data_cntvaluein,lane0,dq2,1,endpoint,1,1689.0,1689.0,1689.0,1689.0,0.0,1689.0
seed3-pass,pass,direct_max,idelay_data_cntvaluein,lane0,dq2,2,endpoint,1,1567.0,1567.0,1567.0,1567.0,0.0,1567.0
seed3-pass,pass,direct_max,idelay_data_cntvaluein,lane0,dq2,3,endpoint,1,1299.0,1299.0,1299.0,1299.0,0.0,1299.0
