candidate_index,label,sample,status,direct_delay_ps,returncode,output_file,from_pin,to_pin
1,idelay_dqs_cntvaluein lane1 dqs1 ctrl4,exact-abort-seed3-baseline,pass,1078.0,0,01_exact-abort-seed3-baseline_idelay_dqs_cntvaluein_lane1_dqs1_ctrl4.txt,$abc$192400$lutddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[4].O6,ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs.CNTVALUEIN4
1,idelay_dqs_cntvaluein lane1 dqs1 ctrl4,exact-abort-seed3-idelay-control-full-locked,fail,1819.0,0,01_exact-abort-seed3-idelay-control-full-locked_idelay_dqs_cntvaluein_lane1_dqs1_ctrl4.txt,$abc$192400$lutddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[4].O6,ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs.CNTVALUEIN4
1,idelay_dqs_cntvaluein lane1 dqs1 ctrl4,exact-abort-seed3-idelay-control-locked,pass,1532.0,0,01_exact-abort-seed3-idelay-control-locked_idelay_dqs_cntvaluein_lane1_dqs1_ctrl4.txt,$abc$192400$lutddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[4].O6,ddr3_top_inst.ddr3_phy_inst.genblk7[1].IDELAYE2_dqs.CNTVALUEIN4
2,idelay_dqs_cntvaluein lane0 dqs0 ctrl4,exact-abort-seed3-baseline,pass,1282.0,0,02_exact-abort-seed3-baseline_idelay_dqs_cntvaluein_lane0_dqs0_ctrl4.txt,$abc$192400$lutddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[4].O6,ddr3_top_inst.ddr3_phy_inst.genblk7[0].IDELAYE2_dqs.CNTVALUEIN4
2,idelay_dqs_cntvaluein lane0 dqs0 ctrl4,exact-abort-seed3-idelay-control-full-locked,fail,2141.0,0,02_exact-abort-seed3-idelay-control-full-locked_idelay_dqs_cntvaluein_lane0_dqs0_ctrl4.txt,$abc$192400$lutddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[4].O6,ddr3_top_inst.ddr3_phy_inst.genblk7[0].IDELAYE2_dqs.CNTVALUEIN4
2,idelay_dqs_cntvaluein lane0 dqs0 ctrl4,exact-abort-seed3-idelay-control-locked,pass,2066.0,0,02_exact-abort-seed3-idelay-control-locked_idelay_dqs_cntvaluein_lane0_dqs0_ctrl4.txt,$abc$192400$lutddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[4].O6,ddr3_top_inst.ddr3_phy_inst.genblk7[0].IDELAYE2_dqs.CNTVALUEIN4
3,idelay_dqs_cntvaluein lane0 dqs0 ctrl2,exact-abort-seed3-baseline,pass,1718.0,0,03_exact-abort-seed3-baseline_idelay_dqs_cntvaluein_lane0_dqs0_ctrl2.txt,$abc$192400$lutddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[2].O6,ddr3_top_inst.ddr3_phy_inst.genblk7[0].IDELAYE2_dqs.CNTVALUEIN2
3,idelay_dqs_cntvaluein lane0 dqs0 ctrl2,exact-abort-seed3-idelay-control-full-locked,fail,2332.0,0,03_exact-abort-seed3-idelay-control-full-locked_idelay_dqs_cntvaluein_lane0_dqs0_ctrl2.txt,$abc$192400$lutddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[2].O6,ddr3_top_inst.ddr3_phy_inst.genblk7[0].IDELAYE2_dqs.CNTVALUEIN2
3,idelay_dqs_cntvaluein lane0 dqs0 ctrl2,exact-abort-seed3-idelay-control-locked,pass,2076.0,0,03_exact-abort-seed3-idelay-control-locked_idelay_dqs_cntvaluein_lane0_dqs0_ctrl2.txt,$abc$192400$lutddr3_top_inst.ddr3_phy_inst.i_controller_idelay_dqs_cntvaluein[2].O6,ddr3_top_inst.ddr3_phy_inst.genblk7[0].IDELAYE2_dqs.CNTVALUEIN2
4,idelay_data_cntvaluein lane1 dq9 ctrl3,exact-abort-seed3-baseline,pass,1396.0,0,04_exact-abort-seed3-baseline_idelay_data_cntvaluein_lane1_dq9_ctrl3.txt,$abc$192400$lutddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk5[9].IDELAYE2_data.CNTVALUEIN3
4,idelay_data_cntvaluein lane1 dq9 ctrl3,exact-abort-seed3-idelay-control-full-locked,fail,1743.0,0,04_exact-abort-seed3-idelay-control-full-locked_idelay_data_cntvaluein_lane1_dq9_ctrl3.txt,$abc$192400$lutddr3_top_inst.ddr3_phy_inst.i_controller_idelay_data_cntvaluein[3].O6,ddr3_top_inst.ddr3_phy_inst.genblk5[9].IDELAYE2_data.CNTVALUEIN3
