stratum,value,total,pass,fail,unknown
metrics_group,baseline-no-lock-seed-1-30,29,22,7,0
run_group,baseline_no_lock_seed_1_30,29,22,7,0
variant,baseline-no-lock,29,22,7,0
payload_version,3,29,22,7,0
seed,1,1,1,0,0
seed,10,1,1,0,0
seed,11,1,0,1,0
seed,12,1,0,1,0
seed,13,1,1,0,0
seed,14,1,1,0,0
seed,15,1,1,0,0
seed,17,1,1,0,0
seed,18,1,1,0,0
seed,19,1,1,0,0
seed,2,1,0,1,0
seed,20,1,0,1,0
seed,21,1,1,0,0
seed,22,1,1,0,0
seed,23,1,0,1,0
seed,24,1,1,0,0
seed,25,1,1,0,0
seed,26,1,1,0,0
seed,27,1,0,1,0
seed,28,1,1,0,0
seed,29,1,1,0,0
seed,3,1,1,0,0
seed,30,1,1,0,0
seed,4,1,1,0,0
seed,5,1,1,0,0
seed,6,1,0,1,0
seed,7,1,1,0,0
seed,8,1,1,0,0
seed,9,1,1,0,0
metric_status,fail,7,0,7,0
metric_status,pass,22,22,0,0
abort_reason_name,check_starting_data_search_exhausted,7,0,7,0
abort_reason_name,none,22,22,0,0
abort_lane,0,28,22,6,0
abort_lane,1,1,0,1,0
