feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,3,dqs_vs_dq_bit,22,7,10.0,142.0,809.0,117.0,326.0,707.0,184.0,-692.0,-697.0,0.824675,fail_higher,0.824675,0.649351,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_2__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq5,2,dqs_vs_dq_bit,22,7,16.0,165.5,785.0,251.0,372.0,906.0,206.5,-534.0,-890.0,0.811688,fail_higher,0.811688,0.623377,overlap,0.0
signed_dqs_bus_skew_minus_dq_median__idelay_cntvaluein_skew__lane1__dqs1__ctrl_none__dqs_vs_dq_bus_skew__value_ps,signed_dqs_bus_skew_minus_dq_median,idelay_cntvaluein_skew,lane1,dqs1,,dqs_vs_dq_bus_skew,22,7,-532.5,-34.25,323.5,54.0,152.0,363.5,186.25,-269.5,-896.0,0.798701,fail_higher,0.798701,0.597403,overlap,0.0
abs_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane1__no_bit__ctrl_0__ld_vs_cntvaluein_dq_lane__value_ps,abs_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane1,,0,ld_vs_cntvaluein_dq_lane,22,7,1.5,233.5,475.0,141.5,362.5,527.0,129.0,-333.5,-525.5,0.795455,fail_higher,0.795455,0.590909,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq9__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq9,3,dqs_vs_dq_bit,22,7,-536.0,73.0,551.0,11.0,273.0,804.0,200.0,-540.0,-1340.0,0.772727,fail_higher,0.772727,0.545455,overlap,0.0
abs_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_0__ld_vs_cntvaluein_dqs__value_ps,abs_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane0,dqs0,0,ld_vs_cntvaluein_dqs,22,7,11.0,206.5,977.0,211.0,430.0,1009.0,223.5,-766.0,-998.0,0.766234,fail_higher,0.766234,0.532468,overlap,0.0
signed_dqs_bus_skew_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_none__dqs_vs_dq_bus_skew__value_ps,signed_dqs_bus_skew_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,,dqs_vs_dq_bus_skew,22,7,-659.0,-130.5,637.0,-30.5,211.5,509.0,342.0,-667.5,-1168.0,0.75974,fail_higher,0.75974,0.519481,overlap,0.0
signed_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_1__lane1_vs_lane0_dq__value_ps,signed_lane1_minus_lane0_dq_median,idelay_cntvaluein_skew,all,,1,lane1_vs_lane0_dq,22,7,-889.5,-353.75,8.5,-447.5,-247.5,-98.5,106.25,-456.0,-791.0,0.753247,fail_higher,0.753247,0.506494,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq12,3,dqs_vs_dq_bit,22,7,34.0,150.0,719.0,140.0,307.0,876.0,157.0,-579.0,-842.0,0.746753,fail_higher,0.746753,0.493506,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq7,3,dqs_vs_dq_bit,22,7,6.0,262.0,731.0,13.0,448.0,1034.0,186.0,-718.0,-1028.0,0.737013,fail_higher,0.737013,0.474026,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq3__ctrl_2__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq3,2,dqs_vs_dq_bit,22,7,8.0,235.0,696.0,237.0,288.0,879.0,53.0,-459.0,-871.0,0.733766,fail_higher,0.733766,0.467532,overlap,0.0
abs_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane1__no_bit__ctrl_1__ld_vs_cntvaluein_dq_lane__value_ps,abs_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane1,,1,ld_vs_cntvaluein_dq_lane,22,7,12.0,245.25,547.5,160.5,393.0,516.5,147.75,-387.0,-504.5,0.720779,fail_higher,0.720779,0.441558,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,0,dqs_vs_dq_bit,22,7,-910.0,-169.5,960.0,-163.0,-33.0,871.0,136.5,-1123.0,-1781.0,0.714286,fail_higher,0.714286,0.428571,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq15__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq15,3,dqs_vs_dq_bit,22,7,-619.0,94.5,772.0,-56.0,273.0,886.0,178.5,-828.0,-1505.0,0.701299,fail_higher,0.701299,0.402597,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,0,dqs_vs_dq_bit,22,7,-1005.0,-69.0,778.0,-254.0,163.0,779.0,232.0,-1032.0,-1784.0,0.694805,fail_higher,0.694805,0.38961,overlap,0.0
abs_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane1__no_bit__ctrl_3__ld_vs_cntvaluein_dq_lane__value_ps,abs_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane1,,3,ld_vs_cntvaluein_dq_lane,22,7,12.5,114.75,533.5,100.5,285.0,500.0,170.25,-433.0,-487.5,0.694805,fail_higher,0.694805,0.38961,overlap,0.0
dq_lane_range__idelay_cntvaluein_skew__lane1__no_bit__ctrl_4__dq_lane__value_ps,dq_lane_range,idelay_cntvaluein_skew,lane1,,4,dq_lane,22,7,192.0,400.0,693.0,358.0,477.0,627.0,77.0,-335.0,-435.0,0.694805,fail_higher,0.694805,0.38961,overlap,0.0
abs_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_3__ld_vs_cntvaluein_dqs__value_ps,abs_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane0,dqs0,3,ld_vs_cntvaluein_dqs,22,7,12.0,166.0,1378.0,8.0,442.0,678.0,276.0,-1370.0,-666.0,0.688312,fail_higher,0.688312,0.376623,overlap,0.0
abs_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane1__dqs1__ctrl_2__ld_vs_cntvaluein_dqs__value_ps,abs_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane1,dqs1,2,ld_vs_cntvaluein_dqs,22,7,11.0,218.5,755.0,168.0,416.0,599.0,197.5,-587.0,-588.0,0.688312,fail_higher,0.688312,0.376623,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq4__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq4,3,dqs_vs_dq_bit,22,7,3.0,268.0,728.0,51.0,416.0,884.0,148.0,-677.0,-881.0,0.675325,fail_higher,0.675325,0.350649,overlap,0.0
dq_lane_range__idelay_cntvaluein_skew__lane1__no_bit__ctrl_0__dq_lane__value_ps,dq_lane_range,idelay_cntvaluein_skew,lane1,,0,dq_lane,22,7,140.0,378.5,781.0,249.0,506.0,693.0,127.5,-532.0,-553.0,0.675325,fail_higher,0.675325,0.350649,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,3,dqs_vs_dq_bit,22,7,12.0,183.5,633.0,54.0,250.0,880.0,66.5,-579.0,-868.0,0.675325,fail_higher,0.675325,0.350649,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,3,dqs_vs_dq_bit,22,7,12.0,227.0,804.0,41.0,462.0,875.0,235.0,-763.0,-863.0,0.672078,fail_higher,0.672078,0.344156,overlap,0.0
signed_dqs_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_0__dqs_vs_dq_lane__value_ps,signed_dqs_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,0,dqs_vs_dq_lane,22,7,-923.0,-70.25,869.0,-166.0,48.5,904.0,118.75,-1035.0,-1827.0,0.668831,fail_higher,0.668831,0.337662,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq9__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq9,0,dqs_vs_dq_bit,22,7,-585.0,137.5,715.0,-184.0,245.0,1018.0,107.5,-899.0,-1603.0,0.668831,fail_higher,0.668831,0.337662,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_2__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,2,dqs_vs_dq_bit,22,7,10.0,133.0,1008.0,125.0,219.0,712.0,86.0,-883.0,-702.0,0.668831,fail_higher,0.668831,0.337662,overlap,0.0
abs_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane1__no_bit__ctrl_2__ld_vs_cntvaluein_dq_lane__value_ps,abs_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane1,,2,ld_vs_cntvaluein_dq_lane,22,7,5.5,233.5,475.5,17.5,356.5,509.0,123.0,-458.0,-503.5,0.662338,fail_higher,0.662338,0.324675,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq6,0,dqs_vs_dq_bit,22,7,-816.0,-60.5,682.0,-212.0,10.0,744.0,70.5,-894.0,-1560.0,0.662338,fail_higher,0.662338,0.324675,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq8,3,dqs_vs_dq_bit,22,7,25.0,183.0,901.0,26.0,247.0,615.0,64.0,-875.0,-590.0,0.662338,fail_higher,0.662338,0.324675,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,3,dqs_vs_dq_bit,22,7,25.0,320.5,781.0,132.0,372.0,796.0,51.5,-649.0,-771.0,0.662338,fail_higher,0.662338,0.324675,overlap,0.0
abs_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_0__ld_vs_cntvaluein_dq_lane__value_ps,abs_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane0,,0,ld_vs_cntvaluein_dq_lane,22,7,18.0,175.5,682.0,154.5,263.0,452.5,87.5,-527.5,-434.5,0.659091,fail_higher,0.659091,0.318182,overlap,0.0
signed_dqs_minus_dq_median__iologic_skew__lane1__dqs1__ctrl_none__dqs_vs_dq_lane__value_ps,signed_dqs_minus_dq_median,iologic_skew,lane1,dqs1,,dqs_vs_dq_lane,22,7,-210.0,210.25,1416.0,85.5,293.5,706.0,83.25,-1330.5,-916.0,0.655844,fail_higher,0.655844,0.311688,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq9__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq9,3,dqs_vs_dq_bit,22,7,1.0,194.5,551.0,11.0,273.0,804.0,78.5,-540.0,-803.0,0.655844,fail_higher,0.655844,0.311688,overlap,0.0
signed_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_0__lane1_vs_lane0_dq__value_ps,signed_lane1_minus_lane0_dq_median,idelay_cntvaluein_skew,all,,0,lane1_vs_lane0_dq,22,7,-556.0,-272.5,-145.5,-426.0,-204.5,-147.0,68.0,-280.5,-409.0,0.655844,fail_higher,0.655844,0.311688,overlap,0.0
