feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq8,4,dqs_vs_dq_bit,22,7,15.0,347.5,873.0,20.0,84.0,365.0,-263.5,-853.0,-350.0,0.214286,fail_lower,0.785714,-0.571429,overlap,0.0
dq_lane_range__idelay_cntvaluein_skew__lane0__no_bit__ctrl_1__dq_lane__value_ps,dq_lane_range,idelay_cntvaluein_skew,lane0,,1,dq_lane,22,7,212.0,350.0,768.0,159.0,280.0,326.0,-70.0,-609.0,-114.0,0.214286,fail_lower,0.785714,-0.571429,overlap,0.0
signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_0__ld_vs_cntvaluein_dqs__value_ps,signed_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane0,dqs0,0,ld_vs_cntvaluein_dqs,22,7,-537.0,14.5,977.0,-1009.0,-430.0,330.0,-444.5,-1986.0,-867.0,0.246753,fail_lower,0.753247,-0.506494,overlap,0.0
dq_lane_range__idelay_cntvaluein_skew__lane0__no_bit__ctrl_4__dq_lane__value_ps,dq_lane_range,idelay_cntvaluein_skew,lane0,,4,dq_lane,22,7,142.0,378.0,863.0,180.0,267.0,395.0,-111.0,-683.0,-253.0,0.246753,fail_lower,0.753247,-0.506494,overlap,0.0
abs_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_1__lane1_vs_lane0_dq__value_ps,abs_lane1_minus_lane0_dq_median,idelay_cntvaluein_skew,all,,1,lane1_vs_lane0_dq,22,7,8.5,353.75,889.5,98.5,247.5,447.5,-106.25,-791.0,-439.0,0.246753,fail_lower,0.753247,-0.506494,overlap,0.0
abs_dqs_minus_dq_median__idelay_cntvaluein_skew__lane1__dqs1__ctrl_4__dqs_vs_dq_lane__value_ps,abs_dqs_minus_dq_median,idelay_cntvaluein_skew,lane1,dqs1,4,dqs_vs_dq_lane,22,7,61.5,302.5,727.0,5.0,83.0,364.5,-219.5,-722.0,-303.0,0.253247,fail_lower,0.746753,-0.493506,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_1__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,1,dqs_vs_dq_bit,22,7,26.0,346.5,1034.0,22.0,63.0,675.0,-283.5,-1012.0,-649.0,0.25974,fail_lower,0.74026,-0.480519,overlap,0.0
abs_dqs_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_1__dqs_vs_dq_lane__value_ps,abs_dqs_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,1,dqs_vs_dq_lane,22,7,52.0,340.5,1163.5,37.5,86.5,533.0,-254.0,-1126.0,-481.0,0.266234,fail_lower,0.733766,-0.467532,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq4__ctrl_1__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq4,1,dqs_vs_dq_bit,22,7,44.0,449.5,1209.0,39.0,103.0,577.0,-346.5,-1170.0,-533.0,0.272727,fail_lower,0.727273,-0.454545,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,4,dqs_vs_dq_bit,22,7,52.0,319.5,816.0,49.0,107.0,410.0,-212.5,-767.0,-358.0,0.272727,fail_lower,0.727273,-0.454545,overlap,0.0
dq_bus_skew_range__idelay_cntvaluein_skew__lane1__no_bit__ctrl_none__dq_lane_bus_skew__value_ps,dq_bus_skew_range,idelay_cntvaluein_skew,lane1,,,dq_lane_bus_skew,22,7,202.0,416.5,761.0,273.0,357.0,525.0,-59.5,-488.0,-323.0,0.272727,fail_lower,0.727273,-0.454545,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_1__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,1,dqs_vs_dq_bit,22,7,34.0,396.5,1212.0,49.0,123.0,495.0,-273.5,-1163.0,-461.0,0.279221,fail_lower,0.720779,-0.441558,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq12,4,dqs_vs_dq_bit,22,7,18.0,349.5,778.0,2.0,105.0,499.0,-244.5,-776.0,-481.0,0.279221,fail_lower,0.720779,-0.441558,overlap,0.0
