feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_1__lane_control_bit__value_ps,control_fanout_spread,idelay_data_cntvaluein,lane0,,1,lane_control_bit,22,7,212.0,350.0,768.0,159.0,280.0,326.0,-70.0,-609.0,-114.0,0.214286,fail_lower,0.785714,-0.571429,overlap,0.0
control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_4__lane_control_bit__value_ps,control_fanout_spread,idelay_data_cntvaluein,lane0,,4,lane_control_bit,22,7,142.0,378.0,863.0,180.0,267.0,395.0,-111.0,-683.0,-253.0,0.246753,fail_lower,0.753247,-0.506494,overlap,0.0
direct_max__idelay_ld__lane0__dq6__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane0,dq6,,endpoint,22,7,1304.0,1702.5,2209.0,1355.0,1452.0,2183.0,-250.5,-854.0,-879.0,0.272727,fail_lower,0.727273,-0.454545,overlap,0.0
cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq9__ctrl_none__dq9__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq9,,dq9,22,7,117.0,377.5,673.0,153.0,264.0,483.0,-113.5,-520.0,-366.0,0.292208,fail_lower,0.707792,-0.415584,overlap,0.0
cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq15__ctrl_none__dq15__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq15,,dq15,22,7,147.0,410.0,697.0,132.0,276.0,478.0,-134.0,-565.0,-331.0,0.298701,fail_lower,0.701299,-0.402597,overlap,0.0
cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq13__ctrl_none__dq13__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq13,,dq13,22,7,130.0,475.0,858.0,166.0,363.0,643.0,-112.0,-692.0,-513.0,0.298701,fail_lower,0.701299,-0.402597,overlap,0.0
cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq2__ctrl_none__dq2__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,22,7,306.0,659.0,1179.0,268.0,381.0,814.0,-278.0,-911.0,-508.0,0.305195,fail_lower,0.694805,-0.38961,overlap,0.0
cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq0__ctrl_none__dq0__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,22,7,388.0,651.5,1185.0,283.0,509.0,791.0,-142.5,-902.0,-403.0,0.311688,fail_lower,0.688312,-0.376623,overlap,0.0
cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq10__ctrl_none__dq10__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq10,,dq10,22,7,272.0,565.5,1075.0,227.0,439.0,808.0,-126.5,-848.0,-536.0,0.318182,fail_lower,0.681818,-0.363636,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq9__ctrl_3__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq9,3,endpoint,22,7,1062.0,1339.0,1815.0,894.0,1148.0,1590.0,-191.0,-921.0,-528.0,0.324675,fail_lower,0.675325,-0.350649,overlap,0.0
