feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_1__lane_control_bit__value_ps,control_fanout_spread,idelay_data_cntvaluein,lane0,,1,lane_control_bit,22,7,212.0,350.0,768.0,159.0,280.0,326.0,-70.0,-609.0,-114.0,0.214286,fail_lower,0.785714,-0.571429,overlap,0.0
control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_4__lane_control_bit__value_ps,control_fanout_spread,idelay_data_cntvaluein,lane0,,4,lane_control_bit,22,7,142.0,378.0,863.0,180.0,267.0,395.0,-111.0,-683.0,-253.0,0.246753,fail_lower,0.753247,-0.506494,overlap,0.0
direct_max__idelay_ld__lane0__dq6__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane0,dq6,,endpoint,22,7,1304.0,1702.5,2209.0,1355.0,1452.0,2183.0,-250.5,-854.0,-879.0,0.272727,fail_lower,0.727273,-0.454545,overlap,0.0
cntvaluein_bus_skew__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_none__dqs0__value_ps,cntvaluein_bus_skew,idelay_dqs_cntvaluein,lane0,dqs0,,dqs0,22,7,220.0,574.0,1157.0,487.0,872.0,1323.0,298.0,-670.0,-1103.0,0.720779,fail_higher,0.720779,0.441558,overlap,0.0
lane_spread__idelay_dqs_cntvaluein__lane0__no_bit__ctrl_none__lane__value_ps,lane_spread,idelay_dqs_cntvaluein,lane0,,,lane,22,7,220.0,574.0,1157.0,487.0,872.0,1323.0,298.0,-670.0,-1103.0,0.720779,fail_higher,0.720779,0.441558,overlap,0.0
direct_max__idelay_dqs_cntvaluein__lane1__dqs1__ctrl_0__endpoint__value_ps,direct_max,idelay_dqs_cntvaluein,lane1,dqs1,0,endpoint,22,7,975.0,1350.0,2062.0,1082.0,1478.0,2325.0,128.0,-980.0,-1350.0,0.711039,fail_higher,0.711039,0.422078,overlap,0.0
cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq9__ctrl_none__dq9__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq9,,dq9,22,7,117.0,377.5,673.0,153.0,264.0,483.0,-113.5,-520.0,-366.0,0.292208,fail_lower,0.707792,-0.415584,overlap,0.0
direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_0__endpoint__value_ps,direct_max,idelay_dqs_cntvaluein,lane0,dqs0,0,endpoint,22,7,958.0,1611.5,2061.0,1253.0,1761.0,2591.0,149.5,-808.0,-1633.0,0.701299,fail_higher,0.701299,0.402597,overlap,0.0
cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq15__ctrl_none__dq15__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq15,,dq15,22,7,147.0,410.0,697.0,132.0,276.0,478.0,-134.0,-565.0,-331.0,0.298701,fail_lower,0.701299,-0.402597,overlap,0.0
cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq13__ctrl_none__dq13__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq13,,dq13,22,7,130.0,475.0,858.0,166.0,363.0,643.0,-112.0,-692.0,-513.0,0.298701,fail_lower,0.701299,-0.402597,overlap,0.0
