feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
dq_lane_range__iologic_skew__lane1__no_bit__ctrl_none__dq_lane__value_ps,dq_lane_range,iologic_skew,lane1,,,dq_lane,22,1,284.0,515.5,1152.0,1162.0,1162.0,1162.0,646.5,10.0,-878.0,1.0,fail_higher,1.0,1.0,fail_higher,10.0
dq_lane_range__idelay_cntvaluein_skew__lane1__no_bit__ctrl_4__dq_lane__value_ps,dq_lane_range,idelay_cntvaluein_skew,lane1,,4,dq_lane,22,1,192.0,400.0,693.0,709.0,709.0,709.0,309.0,16.0,-517.0,1.0,fail_higher,1.0,1.0,fail_higher,16.0
abs_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_4__lane1_vs_lane0_dqs__value_ps,abs_lane1_minus_lane0_dqs,idelay_cntvaluein_skew,all,,4,lane1_vs_lane0_dqs,22,1,27.0,252.0,521.0,552.0,552.0,552.0,300.0,31.0,-525.0,1.0,fail_higher,1.0,1.0,fail_higher,31.0
signed_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_0__lane1_vs_lane0_dq__value_ps,signed_lane1_minus_lane0_dq_median,idelay_cntvaluein_skew,all,,0,lane1_vs_lane0_dq,22,1,-556.0,-272.5,-145.5,-65.5,-65.5,-65.5,207.0,80.0,-490.5,1.0,fail_higher,1.0,1.0,fail_higher,80.0
signed_idelayctrl_minus_reset_release__startup_relative_skew__all__no_bit__ctrl_none__idelayctrl_vs_reset__value_ps,signed_idelayctrl_minus_reset_release,startup_relative_skew,all,,,idelayctrl_vs_reset,22,1,248.0,2012.5,2954.0,2796.0,2796.0,2796.0,783.5,-158.0,-2548.0,0.954545,fail_higher,0.954545,0.909091,overlap,0.0
abs_idelayctrl_minus_reset_release__startup_relative_skew__all__no_bit__ctrl_none__idelayctrl_vs_reset__value_ps,abs_idelayctrl_minus_reset_release,startup_relative_skew,all,,,idelayctrl_vs_reset,22,1,248.0,2012.5,2954.0,2796.0,2796.0,2796.0,783.5,-158.0,-2548.0,0.954545,fail_higher,0.954545,0.909091,overlap,0.0
signed_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_0__ld_vs_cntvaluein_dq_lane__value_ps,signed_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane0,,0,ld_vs_cntvaluein_dq_lane,22,1,-562.5,70.0,682.0,554.5,554.5,554.5,484.5,-127.5,-1117.0,0.954545,fail_higher,0.954545,0.909091,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,3,dqs_vs_dq_bit,22,1,10.0,142.0,809.0,480.0,480.0,480.0,338.0,-329.0,-470.0,0.954545,fail_higher,0.954545,0.909091,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq12,3,dqs_vs_dq_bit,22,1,34.0,150.0,719.0,472.0,472.0,472.0,322.0,-247.0,-438.0,0.954545,fail_higher,0.954545,0.909091,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq7,3,dqs_vs_dq_bit,22,1,6.0,262.0,731.0,535.0,535.0,535.0,273.0,-196.0,-529.0,0.954545,fail_higher,0.954545,0.909091,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq8,3,dqs_vs_dq_bit,22,1,25.0,183.0,901.0,564.0,564.0,564.0,381.0,-337.0,-539.0,0.931818,fail_higher,0.931818,0.863636,overlap,0.0
abs_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_0__ld_vs_cntvaluein_dq_lane__value_ps,abs_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane0,,0,ld_vs_cntvaluein_dq_lane,22,1,18.0,175.5,682.0,554.5,554.5,554.5,379.0,-127.5,-536.5,0.909091,fail_higher,0.909091,0.818182,overlap,0.0
signed_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_0__lane1_vs_lane0_dqs__value_ps,signed_lane1_minus_lane0_dqs,idelay_cntvaluein_skew,all,,0,lane1_vs_lane0_dqs,22,1,-579.0,-276.0,260.0,21.0,21.0,21.0,297.0,-239.0,-600.0,0.909091,fail_higher,0.909091,0.818182,overlap,0.0
