feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
dq_lane_range__iologic_skew__lane1__no_bit__ctrl_none__dq_lane__value_ps,dq_lane_range,iologic_skew,lane1,,,dq_lane,22,1,284.0,515.5,1152.0,1162.0,1162.0,1162.0,646.5,10.0,-878.0,1.0,fail_higher,1.0,1.0,fail_higher,10.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq6,4,dqs_vs_dq_bit,22,1,95.0,562.5,958.0,46.0,46.0,46.0,-516.5,-912.0,49.0,0.0,fail_lower,1.0,-1.0,fail_lower,49.0
signed_dqs_minus_dq_median__iologic_skew__lane1__dqs1__ctrl_none__dqs_vs_dq_lane__value_ps,signed_dqs_minus_dq_median,iologic_skew,lane1,dqs1,,dqs_vs_dq_lane,22,1,-210.0,210.25,1416.0,-277.5,-277.5,-277.5,-487.75,-1693.5,67.5,0.0,fail_lower,1.0,-1.0,fail_lower,67.5
dq_lane_range__idelay_cntvaluein_skew__lane1__no_bit__ctrl_4__dq_lane__value_ps,dq_lane_range,idelay_cntvaluein_skew,lane1,,4,dq_lane,22,1,192.0,400.0,693.0,709.0,709.0,709.0,309.0,16.0,-517.0,1.0,fail_higher,1.0,1.0,fail_higher,16.0
signed_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_4__lane1_vs_lane0_dqs__value_ps,signed_lane1_minus_lane0_dqs,idelay_cntvaluein_skew,all,,4,lane1_vs_lane0_dqs,22,1,-521.0,-252.0,27.0,-552.0,-552.0,-552.0,-300.0,-579.0,31.0,0.0,fail_lower,1.0,-1.0,fail_lower,31.0
abs_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_4__lane1_vs_lane0_dqs__value_ps,abs_lane1_minus_lane0_dqs,idelay_cntvaluein_skew,all,,4,lane1_vs_lane0_dqs,22,1,27.0,252.0,521.0,552.0,552.0,552.0,300.0,31.0,-525.0,1.0,fail_higher,1.0,1.0,fail_higher,31.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,4,dqs_vs_dq_bit,22,1,60.0,278.0,795.0,0.0,0.0,0.0,-278.0,-795.0,60.0,0.0,fail_lower,1.0,-1.0,fail_lower,60.0
abs_dqs_bus_skew_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_none__dqs_vs_dq_bus_skew__value_ps,abs_dqs_bus_skew_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,,dqs_vs_dq_bus_skew,22,1,62.5,291.5,659.0,28.5,28.5,28.5,-263.0,-630.5,34.0,0.0,fail_lower,1.0,-1.0,fail_lower,34.0
abs_dqs_minus_dq_median__idelay_cntvaluein_skew__lane1__dqs1__ctrl_4__dqs_vs_dq_lane__value_ps,abs_dqs_minus_dq_median,idelay_cntvaluein_skew,lane1,dqs1,4,dqs_vs_dq_lane,22,1,61.5,302.5,727.0,59.0,59.0,59.0,-243.5,-668.0,2.5,0.0,fail_lower,1.0,-1.0,fail_lower,2.5
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_1__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq5,1,dqs_vs_dq_bit,22,1,58.0,287.0,993.0,51.0,51.0,51.0,-236.0,-942.0,7.0,0.0,fail_lower,1.0,-1.0,fail_lower,7.0
