stratum,value,total,pass,fail,unknown
metrics_group,baseline-no-lock-seed-1-30,23,22,1,0
run_group,baseline_no_lock_seed_1_30,23,22,1,0
variant,baseline-no-lock,23,22,1,0
payload_version,3,23,22,1,0
seed,1,1,1,0,0
seed,10,1,1,0,0
seed,13,1,1,0,0
seed,14,1,1,0,0
seed,15,1,1,0,0
seed,16,1,0,1,0
seed,17,1,1,0,0
seed,18,1,1,0,0
seed,19,1,1,0,0
seed,21,1,1,0,0
seed,22,1,1,0,0
seed,24,1,1,0,0
seed,25,1,1,0,0
seed,26,1,1,0,0
seed,28,1,1,0,0
seed,29,1,1,0,0
seed,3,1,1,0,0
seed,30,1,1,0,0
seed,4,1,1,0,0
seed,5,1,1,0,0
seed,7,1,1,0,0
seed,8,1,1,0,0
seed,9,1,1,0,0
metric_status,fail,1,0,1,0
metric_status,pass,22,22,0,0
abort_reason_name,none,23,22,1,0
abort_lane,0,23,22,1,0
