feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
direct_max__idelay_data_cntvaluein__lane0__dq6__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq6,0,endpoint,22,1,1279.0,1619.5,2124.0,990.0,990.0,990.0,-629.5,-1134.0,289.0,0.0,fail_lower,1.0,-1.0,fail_lower,289.0
direct_max__idelay_data_cntvaluein__lane0__dq4__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq4,0,endpoint,22,1,1271.0,1614.0,2170.0,1009.0,1009.0,1009.0,-605.0,-1161.0,262.0,0.0,fail_lower,1.0,-1.0,fail_lower,262.0
direct_max__idelay_data_cntvaluein__lane0__dq2__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq2,0,endpoint,22,1,1184.0,1621.0,2177.0,1093.0,1093.0,1093.0,-528.0,-1084.0,91.0,0.0,fail_lower,1.0,-1.0,fail_lower,91.0
direct_max__idelay_data_cntvaluein__lane0__dq7__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq7,0,endpoint,22,1,1271.0,1633.5,2265.0,1177.0,1177.0,1177.0,-456.5,-1088.0,94.0,0.0,fail_lower,1.0,-1.0,fail_lower,94.0
direct_max__idelay_data_cntvaluein__lane1__dq12__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq12,0,endpoint,22,1,1054.0,1384.5,2006.0,986.0,986.0,986.0,-398.5,-1020.0,68.0,0.0,fail_lower,1.0,-1.0,fail_lower,68.0
direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq14,0,endpoint,22,1,1115.0,1417.5,1820.0,1070.0,1070.0,1070.0,-347.5,-750.0,45.0,0.0,fail_lower,1.0,-1.0,fail_lower,45.0
direct_max__idelay_data_cntvaluein__lane0__dq0__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq0,0,endpoint,22,1,985.0,1665.0,2108.0,1101.0,1101.0,1101.0,-564.0,-1007.0,-116.0,0.045455,fail_lower,0.954545,-0.909091,overlap,0.0
direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_0__endpoint__value_ps,direct_max,idelay_dqs_cntvaluein,lane0,dqs0,0,endpoint,22,1,958.0,1611.5,2061.0,1085.0,1085.0,1085.0,-526.5,-976.0,-127.0,0.045455,fail_lower,0.954545,-0.909091,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq1__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq1,0,endpoint,22,1,1069.0,1655.0,2246.0,1185.0,1185.0,1185.0,-470.0,-1061.0,-116.0,0.045455,fail_lower,0.954545,-0.909091,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq8__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq8,0,endpoint,22,1,1110.0,1437.0,1904.0,1195.0,1195.0,1195.0,-242.0,-709.0,-85.0,0.045455,fail_lower,0.954545,-0.909091,overlap,0.0
