feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
direct_max__idelayctrl__all__no_bit__ctrl_none__endpoint__value_ps,direct_max,idelayctrl,all,,,endpoint,22,1,1659.0,2788.5,3494.0,3516.0,3516.0,3516.0,727.5,22.0,-1857.0,1.0,fail_higher,1.0,1.0,fail_higher,22.0
lane_spread__idelayctrl__all__no_bit__ctrl_none__lane__value_ps,lane_spread,idelayctrl,all,,,lane,22,1,533.0,1720.0,2368.0,2390.0,2390.0,2390.0,670.0,22.0,-1857.0,1.0,fail_higher,1.0,1.0,fail_higher,22.0
direct_max__idelay_data_cntvaluein__lane0__dq6__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq6,0,endpoint,22,1,1279.0,1619.5,2124.0,990.0,990.0,990.0,-629.5,-1134.0,289.0,0.0,fail_lower,1.0,-1.0,fail_lower,289.0
direct_max__idelay_data_cntvaluein__lane0__dq4__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq4,0,endpoint,22,1,1271.0,1614.0,2170.0,1009.0,1009.0,1009.0,-605.0,-1161.0,262.0,0.0,fail_lower,1.0,-1.0,fail_lower,262.0
direct_max__idelay_data_cntvaluein__lane0__dq2__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq2,0,endpoint,22,1,1184.0,1621.0,2177.0,1093.0,1093.0,1093.0,-528.0,-1084.0,91.0,0.0,fail_lower,1.0,-1.0,fail_lower,91.0
direct_max__idelay_data_cntvaluein__lane0__dq7__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq7,0,endpoint,22,1,1271.0,1633.5,2265.0,1177.0,1177.0,1177.0,-456.5,-1088.0,94.0,0.0,fail_lower,1.0,-1.0,fail_lower,94.0
direct_max__idelay_data_cntvaluein__lane1__dq12__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq12,0,endpoint,22,1,1054.0,1384.5,2006.0,986.0,986.0,986.0,-398.5,-1020.0,68.0,0.0,fail_lower,1.0,-1.0,fail_lower,68.0
direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq14,0,endpoint,22,1,1115.0,1417.5,1820.0,1070.0,1070.0,1070.0,-347.5,-750.0,45.0,0.0,fail_lower,1.0,-1.0,fail_lower,45.0
control_fanout_spread__idelay_data_cntvaluein__lane1__no_bit__ctrl_4__lane_control_bit__value_ps,control_fanout_spread,idelay_data_cntvaluein,lane1,,4,lane_control_bit,22,1,192.0,400.0,693.0,709.0,709.0,709.0,309.0,16.0,-517.0,1.0,fail_higher,1.0,1.0,fail_higher,16.0
direct_max__dq_iologic__lane0__dq4__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane0,dq4,,endpoint,22,1,1621.0,1973.5,4073.0,3174.0,3174.0,3174.0,1200.5,-899.0,-1553.0,0.954545,fail_higher,0.954545,0.909091,overlap,0.0
direct_max__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane0,dq1,,endpoint,22,1,1649.0,2099.5,3990.0,3088.0,3088.0,3088.0,988.5,-902.0,-1439.0,0.954545,fail_higher,0.954545,0.909091,overlap,0.0
direct_max__dq_iologic__lane1__dq15__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane1,dq15,,endpoint,22,1,1904.0,2416.0,3944.0,3326.0,3326.0,3326.0,910.0,-618.0,-1422.0,0.954545,fail_higher,0.954545,0.909091,overlap,0.0
