experiment_id,metrics_group,metric_sample,metric_status,hardware_pass,seed,run_group,variant,payload_version,fail_reasons,state_calibrate,instruction_address,calib_complete,bist_done,wrong_read_data,abort_seen,abort_reason,abort_reason_name,abort_lane,abort_state,abort_instruction,abort_start_index_check,abort_lane_write_dq_late,abort_lane_read_dq_early,abort_dq_target_index,abort_data_start_index,idelay_data_tap_mismatch_seen,idelay_dqs_tap_mismatch_seen,data_mismatch_lane_mask,dqs_mismatch_lane_mask,bitstream_sha256,sdf_sha256,nextpnr_json_sha256,result_json,nextpnr_json,cvc_sdf,interpretation,feature,value_ps,metric,family,lane,bit,control_bit,scope,count,min_ps,median_ps,p95_ps,max_ps,spread_ps
baseline-no-lock-seed-1,baseline-no-lock-seed-1-30,baseline-no-lock-seed-1,pass,True,1,baseline_no_lock_seed_1_30,baseline-no-lock,3,,23,22,True,True,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,93559ae7c9e7dd011567a22638637edc9f0bd9ff10be7305a0c23f2ce7d0b66b,c2f319a25f55bf581918e9a4f9036da7048906b073c5e5cf11cc628a411e9137,3d1cc46caeaca30c360b5edc65ede420a4a83ac6dc97ebefd5eac49ee3f02447,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-1.json,/nix/store/ahfyga4ylg7y4f2g9bg46rf6dpdbn7mg-ypcb-ddr3-nextpnr-json-seed-1/ypcb_00338_1p1_ddr3.placed.json,/nix/store/7x1d974s848wf73zrj1zdinfqji2pm0p-ypcb-ddr3-cvc-sdf-seed-1/ypcb_00338_1p1_ddr3.cvc.sdf,passes calibration and BIST,cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq0__ctrl_none__dq0__value_ps,762.0,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1266.0,1986.0,2028.0,2028.0,762.0
baseline-no-lock-seed-10,baseline-no-lock-seed-1-30,baseline-no-lock-seed-10,pass,True,10,baseline_no_lock_seed_1_30,baseline-no-lock,3,,23,22,True,True,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,d7923a7193229c9834e790e3b17bcf65bfb9c600c26782447fc6b52415af4855,4995c46d976325d69fea06c801547978c9d1e5fae726844976e5309c8d959249,4a0e52287e8cb4e5e5c16e83984a279a36cbcc27317cc28079223802080acb88,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-10.json,/nix/store/p7rw5yk68n6rqckdvgmmb4jlx493w6gz-ypcb-ddr3-nextpnr-json-seed-10/ypcb_00338_1p1_ddr3.placed.json,/nix/store/whmcxhihnghr30i5b7pvdnmqawly7n1q-ypcb-ddr3-cvc-sdf-seed-10/ypcb_00338_1p1_ddr3.cvc.sdf,passes calibration and BIST,cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq0__ctrl_none__dq0__value_ps,443.0,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1542.0,1845.0,1985.0,1985.0,443.0
baseline-no-lock-seed-13,baseline-no-lock-seed-1-30,baseline-no-lock-seed-13,pass,True,13,baseline_no_lock_seed_1_30,baseline-no-lock,3,,23,22,True,True,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,b0f03929d6cb3725cb8ed0592cd4b27130a499b0327255272cb2eb744d8110f3,eea8f3405632c3afd792b9baa3b33e14b1e4e5651a3bf8c6528ca1b4e74815bc,0a331cb7df641d1a199d9102cdb396ba6cc222a223f3769a2333901f10dc0fbe,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-13.json,/nix/store/lgkkmjfy4vlpr4a18g49g6msq9fil5h8-ypcb-ddr3-nextpnr-json-seed-13/ypcb_00338_1p1_ddr3.placed.json,/nix/store/xc7zfwa9n7hjfg133zxdfpqd1kpw2saq-ypcb-ddr3-cvc-sdf-seed-13/ypcb_00338_1p1_ddr3.cvc.sdf,passes calibration and BIST,cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq0__ctrl_none__dq0__value_ps,604.0,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1718.0,1945.0,2322.0,2322.0,604.0
baseline-no-lock-seed-14,baseline-no-lock-seed-1-30,baseline-no-lock-seed-14,pass,True,14,baseline_no_lock_seed_1_30,baseline-no-lock,3,,23,22,True,True,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,84a6e8e5883ed8717f3db930fb16a7a3314f379de310c9a3e561b2a78bc7b59a,b84677d091c0ca1ea1cd2098b67beb4a4c338e21cfda4b0872049184a8d652e0,572edee6b38d85b0186ac593582db030c678949e276777f81089b5a287283b75,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-14.json,/nix/store/vj21kg08dw5c4k50lwk41fr5p7yyhdp6-ypcb-ddr3-nextpnr-json-seed-14/ypcb_00338_1p1_ddr3.placed.json,/nix/store/py15l07cnjnh5wsg1jz9mdyh9xzpvhnd-ypcb-ddr3-cvc-sdf-seed-14/ypcb_00338_1p1_ddr3.cvc.sdf,passes calibration and BIST,cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq0__ctrl_none__dq0__value_ps,694.0,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1304.0,1687.0,1998.0,1998.0,694.0
baseline-no-lock-seed-15,baseline-no-lock-seed-1-30,baseline-no-lock-seed-15,pass,True,15,baseline_no_lock_seed_1_30,baseline-no-lock,3,,23,22,True,True,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,9c2099403c8fa82f4afc07877df00bd746faf5115ec3fb0448f62ab7d5cee984,d435588f161d6beebcfaa2b5ea2cfbe005816be66d441ad937fe1d8f9ff79357,af4ce975a6b307d15921ccdd78761d1caf9fb1b7bff2444abf8ef6b072a55964,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-15.json,/nix/store/lm5pz22253qb0bw1c0wjny1gacjc09v6-ypcb-ddr3-nextpnr-json-seed-15/ypcb_00338_1p1_ddr3.placed.json,/nix/store/2gh0a9nys4mnvgsir71b4zmdqzv80cx0-ypcb-ddr3-cvc-sdf-seed-15/ypcb_00338_1p1_ddr3.cvc.sdf,passes calibration and BIST,cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq0__ctrl_none__dq0__value_ps,1125.0,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1082.0,1567.0,2207.0,2207.0,1125.0
baseline-no-lock-seed-16,baseline-no-lock-seed-1-30,baseline-no-lock-seed-16,fail,False,16,baseline_no_lock_seed_1_30,baseline-no-lock,3,"calib_incomplete,calib_state_not_done,bist_not_done",3,13,False,False,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,a6c5fea8fa764567fa42d974f9aad2a1d352a46346de09dc3c4730d3418b6b27,b195079a5b9fe9ce3ed6ac5bc63004b6a9fab248a5a0310e04e4361928253405,cba09c3cfd70803f67c537ccab536ace0b84f62a13ec32d2fc6db43d795f589f,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-16.json,/nix/store/87sk1zbjh6az87wlq5npj6ad8rn6fhkh-ypcb-ddr3-nextpnr-json-seed-16/ypcb_00338_1p1_ddr3.placed.json,/nix/store/ai4dzq0wdfff4sg63n36d4nw5nkxs7xg-ypcb-ddr3-cvc-sdf-seed-16/ypcb_00338_1p1_ddr3.cvc.sdf,failing calibration row stops at state 3 instruction 13 without captured abort,cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq0__ctrl_none__dq0__value_ps,995.0,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1101.0,1791.0,2096.0,2096.0,995.0
baseline-no-lock-seed-17,baseline-no-lock-seed-1-30,baseline-no-lock-seed-17,pass,True,17,baseline_no_lock_seed_1_30,baseline-no-lock,3,,23,22,True,True,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,035bebda2a989593988a77dd374d87767d5444c8c82d84da0a8244e9bc0d66f0,4cc23a5ca965ba068cdf01576f3120e19b490471e85f1704b84b3e05e4c948a9,6805f54ce7963e3a63b1070887dce401c464d3cb85452842e6ca41614085d3c2,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-17.json,/nix/store/wxkghw47jyp6byi5widhz1js52zlypai-ypcb-ddr3-nextpnr-json-seed-17/ypcb_00338_1p1_ddr3.placed.json,/nix/store/ajv6adqn9qxdj01zy3zqf87ybzwkchhq-ypcb-ddr3-cvc-sdf-seed-17/ypcb_00338_1p1_ddr3.cvc.sdf,passes calibration and BIST,cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq0__ctrl_none__dq0__value_ps,1001.0,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1383.0,1950.0,2384.0,2384.0,1001.0
baseline-no-lock-seed-18,baseline-no-lock-seed-1-30,baseline-no-lock-seed-18,pass,True,18,baseline_no_lock_seed_1_30,baseline-no-lock,3,,23,22,True,True,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,20e2570e9bbfb4031f469212bfa10b6ce455f667c320d5b8d749e00cd2dfe83e,312f1e5ab69e8f6ed855282ca5976abce7e16a5f0c6344abb781827ff82be9f7,242bfc599e93cd66345a79fd407d23079fba411bd688a41ae90aa81ccd81b470,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-18.json,/nix/store/0vxr5i5zmgp7x4bwflvqlrc23z5zjlqp-ypcb-ddr3-nextpnr-json-seed-18/ypcb_00338_1p1_ddr3.placed.json,/nix/store/l25jq5nlgvzf2b55v77lhf8v553jxzc8-ypcb-ddr3-cvc-sdf-seed-18/ypcb_00338_1p1_ddr3.cvc.sdf,passes calibration and BIST,cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq0__ctrl_none__dq0__value_ps,390.0,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1309.0,1557.0,1699.0,1699.0,390.0
baseline-no-lock-seed-19,baseline-no-lock-seed-1-30,baseline-no-lock-seed-19,pass,True,19,baseline_no_lock_seed_1_30,baseline-no-lock,3,,23,22,True,True,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,49a3226e389871c146c707be6ba301818035fc8ab633b90e1f74f9113cbe4e1a,3515de1e4f6b226f3d22dc52ec1f63710b29292ee6620c7587f95a5a3c3688a8,05d2a84ff296f93c6ddf22d85d8dbcae0dc57bed82e20465d15ef541e248172a,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-19.json,/nix/store/cp4hw10ln4z2b009dw28sd01smxlpbpr-ypcb-ddr3-nextpnr-json-seed-19/ypcb_00338_1p1_ddr3.placed.json,/nix/store/7xy6kyq2p3kcaqvhq8cizmbf668qnc63-ypcb-ddr3-cvc-sdf-seed-19/ypcb_00338_1p1_ddr3.cvc.sdf,passes calibration and BIST,cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq0__ctrl_none__dq0__value_ps,388.0,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1159.0,1284.0,1547.0,1547.0,388.0
baseline-no-lock-seed-21,baseline-no-lock-seed-1-30,baseline-no-lock-seed-21,pass,True,21,baseline_no_lock_seed_1_30,baseline-no-lock,3,,23,22,True,True,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,4f3b529ce5e438a770476e45d47808e519d0342fc27e8581aab0a2f4f8bb588f,4752c4f8480a3067c64ded76106fa958b3f606c30a49537f0f53e9affa11adce,1b751ec492c692cb63eb6bb3ecb26b96af1f2d2fe2e1c500edd9aaf4c154e563,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-21.json,/nix/store/pyxw9kl5h4wybm2fxhv397i0m066s8s1-ypcb-ddr3-nextpnr-json-seed-21/ypcb_00338_1p1_ddr3.placed.json,/nix/store/adg5jq3sd5ajb1rqh9qhjqn6wgzvvlgh-ypcb-ddr3-cvc-sdf-seed-21/ypcb_00338_1p1_ddr3.cvc.sdf,passes calibration and BIST,cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq0__ctrl_none__dq0__value_ps,528.0,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1128.0,1386.0,1656.0,1656.0,528.0
