experiment_id,seed,hardware_pass,abort_reason_name,abort_lane,abs_dqs1_minus_dq14_ctrl3_ps,signed_dqs1_bus_skew_minus_lane1_dq_median_ps,abs_dqs0_minus_dq5_ctrl2_ps,signed_dqs1_minus_dq9_ctrl3_ps,lane0_dq_cnt_ctrl1_range_ps
baseline-no-lock-seed-1,1,True,none,0,141.0,164.5,785.0,-1.0,625.0
baseline-no-lock-seed-2,2,False,check_starting_data_search_exhausted,1,707.0,54.0,541.0,804.0,220.0
baseline-no-lock-seed-3,3,True,none,0,53.0,-100.5,683.0,413.0,352.0
baseline-no-lock-seed-4,4,True,none,0,140.0,-346.0,79.0,-31.0,253.0
baseline-no-lock-seed-5,5,True,none,0,139.0,-197.5,66.0,202.0,301.0
baseline-no-lock-seed-6,6,False,check_starting_data_search_exhausted,0,326.0,301.0,906.0,120.0,311.0
baseline-no-lock-seed-7,7,True,none,0,214.0,167.5,184.0,-536.0,410.0
baseline-no-lock-seed-8,8,True,none,0,317.0,323.5,156.0,-118.0,261.0
baseline-no-lock-seed-9,9,True,none,0,265.0,-194.0,163.0,72.0,457.0
baseline-no-lock-seed-10,10,True,none,0,153.0,34.0,211.0,372.0,438.0
baseline-no-lock-seed-11,11,False,check_starting_data_search_exhausted,0,301.0,152.0,251.0,223.0,179.0
baseline-no-lock-seed-12,12,False,check_starting_data_search_exhausted,0,117.0,228.5,728.0,418.0,159.0
baseline-no-lock-seed-13,13,True,none,0,164.0,39.5,275.0,-4.0,707.0
baseline-no-lock-seed-14,14,True,none,0,198.0,-44.5,95.0,551.0,348.0
baseline-no-lock-seed-15,15,True,none,0,17.0,-131.5,469.0,74.0,531.0
baseline-no-lock-seed-16,16,False,none,0,480.0,-137.5,146.0,-299.0,500.0
baseline-no-lock-seed-17,17,True,none,0,809.0,-532.5,45.0,-475.0,234.0
baseline-no-lock-seed-18,18,True,none,0,23.0,63.5,117.0,187.0,336.0
baseline-no-lock-seed-19,19,True,none,0,351.0,-103.5,43.0,-135.0,291.0
baseline-no-lock-seed-20,20,False,check_starting_data_search_exhausted,0,421.0,56.5,293.0,11.0,318.0
baseline-no-lock-seed-21,21,True,none,0,11.0,203.5,33.0,-108.0,549.0
baseline-no-lock-seed-22,22,True,none,0,66.0,-125.5,663.0,209.0,768.0
baseline-no-lock-seed-23,23,False,check_starting_data_search_exhausted,0,230.0,363.5,372.0,469.0,280.0
baseline-no-lock-seed-24,24,True,none,0,97.0,296.5,191.0,345.0,212.0
baseline-no-lock-seed-25,25,True,none,0,254.0,-162.0,18.0,24.0,288.0
baseline-no-lock-seed-26,26,True,none,0,10.0,119.5,451.0,291.0,301.0
baseline-no-lock-seed-27,27,False,check_starting_data_search_exhausted,0,400.0,114.0,288.0,273.0,326.0
baseline-no-lock-seed-28,28,True,none,0,179.0,123.0,391.0,204.0,272.0
baseline-no-lock-seed-29,29,True,none,0,56.0,-24.0,16.0,202.0,429.0
baseline-no-lock-seed-30,30,True,none,0,143.0,-67.0,168.0,-21.0,352.0
