feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,3,dqs_vs_dq_bit,22,8,10.0,142.0,809.0,117.0,363.0,707.0,221.0,-692.0,-697.0,0.840909,fail_higher,0.840909,0.681818,overlap,0.0
abs_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane1__no_bit__ctrl_0__ld_vs_cntvaluein_dq_lane__value_ps,abs_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane1,,0,ld_vs_cntvaluein_dq_lane,22,8,1.5,233.5,475.0,141.5,336.75,527.0,103.25,-333.5,-525.5,0.78125,fail_higher,0.78125,0.5625,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq12,3,dqs_vs_dq_bit,22,8,34.0,150.0,719.0,140.0,314.5,876.0,164.5,-579.0,-842.0,0.772727,fail_higher,0.772727,0.545455,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq7,3,dqs_vs_dq_bit,22,8,6.0,262.0,731.0,13.0,491.5,1034.0,229.5,-718.0,-1028.0,0.764205,fail_higher,0.764205,0.528409,overlap,0.0
abs_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_0__ld_vs_cntvaluein_dqs__value_ps,abs_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane0,dqs0,0,ld_vs_cntvaluein_dqs,22,8,11.0,206.5,977.0,211.0,452.0,1009.0,245.5,-766.0,-998.0,0.761364,fail_higher,0.761364,0.522727,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_2__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq5,2,dqs_vs_dq_bit,22,8,16.0,165.5,785.0,146.0,332.5,906.0,167.0,-639.0,-890.0,0.761364,fail_higher,0.761364,0.522727,overlap,0.0
signed_dqs_bus_skew_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_none__dqs_vs_dq_bus_skew__value_ps,signed_dqs_bus_skew_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,,dqs_vs_dq_bus_skew,22,8,-659.0,-130.5,637.0,-30.5,187.0,509.0,317.5,-667.5,-1168.0,0.738636,fail_higher,0.738636,0.477273,overlap,0.0
dq_lane_range__idelay_cntvaluein_skew__lane1__no_bit__ctrl_4__dq_lane__value_ps,dq_lane_range,idelay_cntvaluein_skew,lane1,,4,dq_lane,22,8,192.0,400.0,693.0,358.0,486.0,709.0,86.0,-335.0,-517.0,0.732955,fail_higher,0.732955,0.465909,overlap,0.0
signed_dqs_bus_skew_minus_dq_median__idelay_cntvaluein_skew__lane1__dqs1__ctrl_none__dqs_vs_dq_bus_skew__value_ps,signed_dqs_bus_skew_minus_dq_median,idelay_cntvaluein_skew,lane1,dqs1,,dqs_vs_dq_bus_skew,22,8,-532.5,-34.25,323.5,-137.5,133.0,363.5,167.25,-461.0,-896.0,0.727273,fail_higher,0.727273,0.454545,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,0,dqs_vs_dq_bit,22,8,-910.0,-169.5,960.0,-163.0,-45.0,871.0,124.5,-1123.0,-1781.0,0.704545,fail_higher,0.704545,0.409091,overlap,0.0
signed_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_1__lane1_vs_lane0_dq__value_ps,signed_lane1_minus_lane0_dq_median,idelay_cntvaluein_skew,all,,1,lane1_vs_lane0_dq,22,8,-889.5,-353.75,8.5,-447.5,-257.5,-98.5,96.25,-456.0,-791.0,0.704545,fail_higher,0.704545,0.409091,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,3,dqs_vs_dq_bit,22,8,12.0,183.5,633.0,54.0,271.5,880.0,88.0,-579.0,-868.0,0.698864,fail_higher,0.698864,0.397727,overlap,0.0
signed_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_0__lane1_vs_lane0_dq__value_ps,signed_lane1_minus_lane0_dq_median,idelay_cntvaluein_skew,all,,0,lane1_vs_lane0_dq,22,8,-556.0,-272.5,-145.5,-426.0,-204.0,-65.5,68.5,-280.5,-490.5,0.698864,fail_higher,0.698864,0.397727,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq3__ctrl_2__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq3,2,dqs_vs_dq_bit,22,8,8.0,235.0,696.0,174.0,271.5,879.0,36.5,-522.0,-871.0,0.698864,fail_higher,0.698864,0.397727,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq8,3,dqs_vs_dq_bit,22,8,25.0,183.0,901.0,26.0,332.0,615.0,149.0,-875.0,-590.0,0.696023,fail_higher,0.696023,0.392045,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq4__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq4,3,dqs_vs_dq_bit,22,8,3.0,268.0,728.0,51.0,428.5,884.0,160.5,-677.0,-881.0,0.693182,fail_higher,0.693182,0.386364,overlap,0.0
abs_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_0__ld_vs_cntvaluein_dq_lane__value_ps,abs_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane0,,0,ld_vs_cntvaluein_dq_lane,22,8,18.0,175.5,682.0,154.5,266.5,554.5,91.0,-527.5,-536.5,0.690341,fail_higher,0.690341,0.380682,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq9__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq9,3,dqs_vs_dq_bit,22,8,-536.0,73.0,551.0,-299.0,248.0,804.0,175.0,-850.0,-1340.0,0.6875,fail_higher,0.6875,0.375,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,0,dqs_vs_dq_bit,22,8,-1005.0,-69.0,778.0,-254.0,125.5,779.0,194.5,-1032.0,-1784.0,0.681818,fail_higher,0.681818,0.363636,overlap,0.0
dq_lane_range__iologic_skew__lane1__no_bit__ctrl_none__dq_lane__value_ps,dq_lane_range,iologic_skew,lane1,,,dq_lane,22,8,284.0,515.5,1152.0,385.0,695.5,1162.0,180.0,-767.0,-878.0,0.681818,fail_higher,0.681818,0.363636,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,3,dqs_vs_dq_bit,22,8,12.0,227.0,804.0,41.0,406.5,875.0,179.5,-763.0,-863.0,0.681818,fail_higher,0.681818,0.363636,overlap,0.0
