feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
abs_dqs_minus_dq_median__idelay_cntvaluein_skew__lane1__dqs1__ctrl_4__dqs_vs_dq_lane__value_ps,abs_dqs_minus_dq_median,idelay_cntvaluein_skew,lane1,dqs1,4,dqs_vs_dq_lane,22,8,61.5,302.5,727.0,5.0,82.75,364.5,-219.75,-722.0,-303.0,0.221591,fail_lower,0.778409,-0.556818,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_1__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,1,dqs_vs_dq_bit,22,8,26.0,346.5,1034.0,22.0,78.5,675.0,-268.0,-1012.0,-649.0,0.244318,fail_lower,0.755682,-0.511364,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq8,4,dqs_vs_dq_bit,22,8,15.0,347.5,873.0,20.0,84.0,383.0,-263.5,-853.0,-368.0,0.255682,fail_lower,0.744318,-0.488636,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq6,4,dqs_vs_dq_bit,22,8,95.0,562.5,958.0,28.0,165.0,837.0,-397.5,-930.0,-742.0,0.272727,fail_lower,0.727273,-0.454545,overlap,0.0
abs_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane1__dqs1__ctrl_4__ld_vs_cntvaluein_dqs__value_ps,abs_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane1,dqs1,4,ld_vs_cntvaluein_dqs,22,8,41.0,296.0,893.0,25.0,152.5,545.0,-143.5,-868.0,-504.0,0.272727,fail_lower,0.727273,-0.454545,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq15__ctrl_1__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq15,1,dqs_vs_dq_bit,22,8,18.0,238.0,998.0,43.0,137.0,469.0,-101.0,-955.0,-451.0,0.272727,fail_lower,0.727273,-0.454545,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,4,dqs_vs_dq_bit,22,8,7.0,333.0,646.0,28.0,131.5,449.0,-201.5,-618.0,-442.0,0.278409,fail_lower,0.721591,-0.443182,overlap,0.0
dq_lane_range__idelay_cntvaluein_skew__lane0__no_bit__ctrl_4__dq_lane__value_ps,dq_lane_range,idelay_cntvaluein_skew,lane0,,4,dq_lane,22,8,142.0,378.0,863.0,180.0,281.5,395.0,-96.5,-683.0,-253.0,0.278409,fail_lower,0.721591,-0.443182,overlap,0.0
abs_dqs_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_1__dqs_vs_dq_lane__value_ps,abs_dqs_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,1,dqs_vs_dq_lane,22,8,52.0,340.5,1163.5,37.5,124.0,533.0,-216.5,-1126.0,-481.0,0.284091,fail_lower,0.715909,-0.431818,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_0__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,0,dqs_vs_dq_bit,22,8,61.0,256.5,960.0,33.0,112.5,871.0,-144.0,-927.0,-810.0,0.284091,fail_lower,0.715909,-0.431818,overlap,0.0
