feature_a,feature_b,n_pass,n_fail,auc_pair_score_fail_higher,auc_best,fail_minus_pass_median_score
cntvaluein_bus_skew__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_none__dqs0__value_ps,cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq15__ctrl_none__dq15__value_ps,22,8,0.903409,0.903409,286.0
lane_spread__idelay_dqs_cntvaluein__lane0__no_bit__ctrl_none__lane__value_ps,cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq15__ctrl_none__dq15__value_ps,22,8,0.903409,0.903409,286.0
cntvaluein_bus_skew__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_none__dqs0__value_ps,cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq9__ctrl_none__dq9__value_ps,22,8,0.863636,0.863636,374.5
lane_spread__idelay_dqs_cntvaluein__lane0__no_bit__ctrl_none__lane__value_ps,cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq9__ctrl_none__dq9__value_ps,22,8,0.863636,0.863636,374.5
control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_4__lane_control_bit__value_ps,direct_max__idelay_ld__lane0__dq6__ctrl_none__endpoint__value_ps,22,8,0.857955,0.857955,321.0
cntvaluein_bus_skew__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_none__dqs0__value_ps,cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq13__ctrl_none__dq13__value_ps,22,8,0.855114,0.855114,376.0
lane_spread__idelay_dqs_cntvaluein__lane0__no_bit__ctrl_none__lane__value_ps,cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq13__ctrl_none__dq13__value_ps,22,8,0.855114,0.855114,376.0
control_fanout_spread__idelay_data_cntvaluein__lane1__no_bit__ctrl_4__lane_control_bit__value_ps,control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_1__lane_control_bit__value_ps,22,8,0.826705,0.826705,195.5
cntvaluein_bus_skew__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_none__dqs0__value_ps,control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_4__lane_control_bit__value_ps,22,8,0.8125,0.8125,438.0
lane_spread__idelay_dqs_cntvaluein__lane0__no_bit__ctrl_none__lane__value_ps,control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_4__lane_control_bit__value_ps,22,8,0.8125,0.8125,438.0
control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_4__lane_control_bit__value_ps,cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq9__ctrl_none__dq9__value_ps,22,8,0.8125,0.8125,288.0
control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_4__lane_control_bit__value_ps,cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq15__ctrl_none__dq15__value_ps,22,8,0.806818,0.806818,167.0
cntvaluein_bus_skew__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_none__dqs0__value_ps,control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_3__lane_control_bit__value_ps,22,8,0.801136,0.801136,371.0
lane_spread__idelay_dqs_cntvaluein__lane0__no_bit__ctrl_none__lane__value_ps,control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_3__lane_control_bit__value_ps,22,8,0.801136,0.801136,371.0
control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_1__lane_control_bit__value_ps,control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_3__lane_control_bit__value_ps,22,8,0.801136,0.801136,203.5
cntvaluein_bus_skew__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_none__dqs0__value_ps,control_fanout_spread__idelay_data_cntvaluein__lane1__no_bit__ctrl_4__lane_control_bit__value_ps,22,8,0.795455,0.795455,416.5
lane_spread__idelay_dqs_cntvaluein__lane0__no_bit__ctrl_none__lane__value_ps,control_fanout_spread__idelay_data_cntvaluein__lane1__no_bit__ctrl_4__lane_control_bit__value_ps,22,8,0.795455,0.795455,416.5
cntvaluein_bus_skew__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_none__dqs0__value_ps,control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_1__lane_control_bit__value_ps,22,8,0.795455,0.795455,328.0
lane_spread__idelay_dqs_cntvaluein__lane0__no_bit__ctrl_none__lane__value_ps,control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_1__lane_control_bit__value_ps,22,8,0.795455,0.795455,328.0
control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_4__lane_control_bit__value_ps,control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_3__lane_control_bit__value_ps,22,8,0.795455,0.795455,227.0
control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_4__lane_control_bit__value_ps,control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_1__lane_control_bit__value_ps,22,8,0.795455,0.795455,224.0
control_fanout_spread__idelay_data_cntvaluein__lane1__no_bit__ctrl_4__lane_control_bit__value_ps,control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_4__lane_control_bit__value_ps,22,8,0.795455,0.795455,218.0
cntvaluein_bus_skew__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_none__dqs0__value_ps,direct_max__idelay_ld__lane0__dq6__ctrl_none__endpoint__value_ps,22,8,0.789773,0.789773,475.5
lane_spread__idelay_dqs_cntvaluein__lane0__no_bit__ctrl_none__lane__value_ps,direct_max__idelay_ld__lane0__dq6__ctrl_none__endpoint__value_ps,22,8,0.789773,0.789773,475.5
cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq9__ctrl_none__dq9__value_ps,direct_max__idelay_data_cntvaluein__lane0__dq5__ctrl_4__endpoint__value_ps,22,8,0.789773,0.789773,458.0
cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq13__ctrl_none__dq13__value_ps,control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_4__lane_control_bit__value_ps,22,8,0.789773,0.789773,216.0
cntvaluein_bus_skew__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_none__dqs0__value_ps,direct_max__idelay_data_cntvaluein__lane1__dq9__ctrl_3__endpoint__value_ps,22,8,0.784091,0.784091,381.5
lane_spread__idelay_dqs_cntvaluein__lane0__no_bit__ctrl_none__lane__value_ps,direct_max__idelay_data_cntvaluein__lane1__dq9__ctrl_3__endpoint__value_ps,22,8,0.784091,0.784091,381.5
control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_1__lane_control_bit__value_ps,direct_max__idelay_data_cntvaluein__lane1__dq8__ctrl_4__endpoint__value_ps,22,8,0.784091,0.784091,375.0
