experiment_id,seed,hardware_pass,abort_reason_name,abort_lane,dqs0_cntvaluein_bus_skew_ps,dq15_lane1_cntvaluein_bus_skew_ps,lane0_ctrl4_cntvaluein_fanout_spread_ps,lane0_dq6_ld_direct_max_ps,idelayctrl_direct_max_ps
baseline-no-lock-seed-1,1,True,none,0,363.0,471.0,582.0,1827.0,2111.0
baseline-no-lock-seed-2,2,False,check_starting_data_search_exhausted,1,886.0,478.0,296.0,1399.0,2019.0
baseline-no-lock-seed-3,3,True,none,0,734.0,514.0,863.0,2019.0,3075.0
baseline-no-lock-seed-4,4,True,none,0,443.0,384.0,451.0,1657.0,2714.0
baseline-no-lock-seed-5,5,True,none,0,296.0,147.0,367.0,1786.0,3305.0
baseline-no-lock-seed-6,6,False,check_starting_data_search_exhausted,0,1323.0,474.0,180.0,1529.0,2322.0
baseline-no-lock-seed-7,7,True,none,0,711.0,693.0,268.0,1531.0,2805.0
baseline-no-lock-seed-8,8,True,none,0,1157.0,313.0,257.0,1541.0,1659.0
baseline-no-lock-seed-9,9,True,none,0,329.0,461.0,274.0,1491.0,2730.0
baseline-no-lock-seed-10,10,True,none,0,896.0,436.0,516.0,1439.0,1797.0
baseline-no-lock-seed-11,11,False,check_starting_data_search_exhausted,0,613.0,244.0,267.0,1452.0,2730.0
baseline-no-lock-seed-12,12,False,check_starting_data_search_exhausted,0,937.0,442.0,340.0,1388.0,1914.0
baseline-no-lock-seed-13,13,True,none,0,584.0,673.0,220.0,1633.0,2954.0
baseline-no-lock-seed-14,14,True,none,0,564.0,326.0,389.0,1430.0,2805.0
baseline-no-lock-seed-15,15,True,none,0,508.0,288.0,549.0,1304.0,2640.0
baseline-no-lock-seed-16,16,False,none,0,970.0,426.0,388.0,1565.0,3516.0
baseline-no-lock-seed-17,17,True,none,0,730.0,639.0,182.0,1812.0,2775.0
baseline-no-lock-seed-18,18,True,none,0,739.0,697.0,320.0,1692.0,1710.0
baseline-no-lock-seed-19,19,True,none,0,469.0,535.0,412.0,1524.0,1792.0
baseline-no-lock-seed-20,20,False,check_starting_data_search_exhausted,0,487.0,132.0,224.0,2183.0,2984.0
baseline-no-lock-seed-21,21,True,none,0,404.0,262.0,283.0,2209.0,3494.0
baseline-no-lock-seed-22,22,True,none,0,522.0,250.0,561.0,1736.0,2802.0
baseline-no-lock-seed-23,23,False,check_starting_data_search_exhausted,0,872.0,205.0,191.0,1570.0,2835.0
baseline-no-lock-seed-24,24,True,none,0,951.0,359.0,524.0,1435.0,3240.0
baseline-no-lock-seed-25,25,True,none,0,873.0,550.0,444.0,1713.0,2595.0
baseline-no-lock-seed-26,26,True,none,0,643.0,340.0,348.0,1805.0,3029.0
baseline-no-lock-seed-27,27,False,check_starting_data_search_exhausted,0,635.0,276.0,395.0,1355.0,1978.0
baseline-no-lock-seed-28,28,True,none,0,690.0,508.0,316.0,1904.0,2625.0
baseline-no-lock-seed-29,29,True,none,0,482.0,252.0,426.0,2003.0,3015.0
baseline-no-lock-seed-30,30,True,none,0,220.0,344.0,142.0,2078.0,3092.0
