feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq13__ctrl_none__dq13__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq13,,dq13,22,8,130.0,475.0,858.0,166.0,359.0,643.0,-116.0,-692.0,-513.0,0.278409,fail_lower,0.721591,-0.443182,overlap,0.0
control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_4__lane_control_bit__value_ps,control_fanout_spread,idelay_data_cntvaluein,lane0,,4,lane_control_bit,22,8,142.0,378.0,863.0,180.0,281.5,395.0,-96.5,-683.0,-253.0,0.278409,fail_lower,0.721591,-0.443182,overlap,0.0
direct_max__idelay_ld__lane0__dq6__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane0,dq6,,endpoint,22,8,1304.0,1702.5,2209.0,1355.0,1490.5,2183.0,-212.0,-854.0,-879.0,0.284091,fail_lower,0.715909,-0.431818,overlap,0.0
control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_1__lane_control_bit__value_ps,control_fanout_spread,idelay_data_cntvaluein,lane0,,1,lane_control_bit,22,8,212.0,350.0,768.0,159.0,295.5,500.0,-54.5,-609.0,-288.0,0.284091,fail_lower,0.715909,-0.431818,overlap,0.0
cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq9__ctrl_none__dq9__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq9,,dq9,22,8,117.0,377.5,673.0,153.0,273.5,483.0,-104.0,-520.0,-366.0,0.289773,fail_lower,0.710227,-0.420455,overlap,0.0
direct_max__idelay_ld__lane0__dq2__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane0,dq2,,endpoint,22,8,1338.0,1714.0,2115.0,1437.0,1559.5,2217.0,-154.5,-678.0,-879.0,0.318182,fail_lower,0.681818,-0.363636,overlap,0.0
cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq15__ctrl_none__dq15__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq15,,dq15,22,8,147.0,410.0,697.0,132.0,351.0,478.0,-59.0,-565.0,-331.0,0.323864,fail_lower,0.676136,-0.352273,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_1__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq11,1,endpoint,22,8,1074.0,1313.0,1832.0,953.0,1190.5,1649.0,-122.5,-879.0,-575.0,0.352273,fail_lower,0.647727,-0.295455,overlap,0.0
direct_max__idelay_ld__lane0__dq7__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane0,dq7,,endpoint,22,8,1315.0,1746.0,2410.0,1435.0,1625.5,2270.0,-120.5,-975.0,-955.0,0.352273,fail_lower,0.647727,-0.295455,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq3__ctrl_1__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq3,1,endpoint,22,8,1031.0,1506.0,2131.0,1154.0,1369.5,1807.0,-136.5,-977.0,-776.0,0.357955,fail_lower,0.642045,-0.284091,overlap,0.0
