feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
cntvaluein_bus_skew__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_none__dqs0__value_ps,cntvaluein_bus_skew,idelay_dqs_cntvaluein,lane0,dqs0,,dqs0,22,8,220.0,574.0,1157.0,487.0,879.0,1323.0,305.0,-670.0,-1103.0,0.75,fail_higher,0.75,0.5,overlap,0.0
lane_spread__idelay_dqs_cntvaluein__lane0__no_bit__ctrl_none__lane__value_ps,lane_spread,idelay_dqs_cntvaluein,lane0,,,lane,22,8,220.0,574.0,1157.0,487.0,879.0,1323.0,305.0,-670.0,-1103.0,0.75,fail_higher,0.75,0.5,overlap,0.0
control_fanout_spread__idelay_data_cntvaluein__lane1__no_bit__ctrl_4__lane_control_bit__value_ps,control_fanout_spread,idelay_data_cntvaluein,lane1,,4,lane_control_bit,22,8,192.0,400.0,693.0,358.0,486.0,709.0,86.0,-335.0,-517.0,0.732955,fail_higher,0.732955,0.465909,overlap,0.0
cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq13__ctrl_none__dq13__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq13,,dq13,22,8,130.0,475.0,858.0,166.0,359.0,643.0,-116.0,-692.0,-513.0,0.278409,fail_lower,0.721591,-0.443182,overlap,0.0
control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_4__lane_control_bit__value_ps,control_fanout_spread,idelay_data_cntvaluein,lane0,,4,lane_control_bit,22,8,142.0,378.0,863.0,180.0,281.5,395.0,-96.5,-683.0,-253.0,0.278409,fail_lower,0.721591,-0.443182,overlap,0.0
direct_max__idelay_ld__lane0__dq6__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane0,dq6,,endpoint,22,8,1304.0,1702.5,2209.0,1355.0,1490.5,2183.0,-212.0,-854.0,-879.0,0.284091,fail_lower,0.715909,-0.431818,overlap,0.0
control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_1__lane_control_bit__value_ps,control_fanout_spread,idelay_data_cntvaluein,lane0,,1,lane_control_bit,22,8,212.0,350.0,768.0,159.0,295.5,500.0,-54.5,-609.0,-288.0,0.284091,fail_lower,0.715909,-0.431818,overlap,0.0
cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq9__ctrl_none__dq9__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq9,,dq9,22,8,117.0,377.5,673.0,153.0,273.5,483.0,-104.0,-520.0,-366.0,0.289773,fail_lower,0.710227,-0.420455,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq5__ctrl_4__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq5,4,endpoint,22,8,1100.0,1441.0,2290.0,990.0,1816.0,2132.0,375.0,-1300.0,-1032.0,0.704545,fail_higher,0.704545,0.409091,overlap,0.0
direct_max__idelay_data_cntvaluein__lane0__dq3__ctrl_4__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq3,4,endpoint,22,8,1011.0,1435.0,2206.0,1077.0,1739.5,2134.0,304.5,-1129.0,-1123.0,0.6875,fail_higher,0.6875,0.375,overlap,0.0
