bucket,excluded_locked_source_rows,experiments,feature_set,filtered_rows,selected_rows,source_rows
,484,,sdf,1716,,2200
allfail,,cntvaluein3-skew-locked-seed1 cntvaluein3-skew-locked-seed11 cntvaluein3-skew-locked-seed12-long-poll cntvaluein3-skew-locked-seed16-long-poll cntvaluein3-skew-locked-seed20 cntvaluein3-skew-locked-seed23-long-poll cntvaluein3-skew-locked-seed27 cntvaluein3-skew-locked-seed28-long-poll cntvaluein3-skew-locked-seed30-long-poll cntvaluein3-skew-locked-seed5 cntvaluein3-skew-locked-seed6,sdf,,1716,
reason2,,cntvaluein3-skew-locked-seed1 cntvaluein3-skew-locked-seed11 cntvaluein3-skew-locked-seed16-long-poll cntvaluein3-skew-locked-seed20 cntvaluein3-skew-locked-seed23-long-poll cntvaluein3-skew-locked-seed27 cntvaluein3-skew-locked-seed28-long-poll cntvaluein3-skew-locked-seed30-long-poll cntvaluein3-skew-locked-seed5 cntvaluein3-skew-locked-seed6,sdf,,1560,
seed12,,cntvaluein3-skew-locked-seed1 cntvaluein3-skew-locked-seed11 cntvaluein3-skew-locked-seed12-long-poll cntvaluein3-skew-locked-seed20 cntvaluein3-skew-locked-seed27 cntvaluein3-skew-locked-seed5 cntvaluein3-skew-locked-seed6,sdf,,1092,
,616,,skew,2420,,3036
allfail,,cntvaluein3-skew-locked-seed1 cntvaluein3-skew-locked-seed11 cntvaluein3-skew-locked-seed12-long-poll cntvaluein3-skew-locked-seed16-long-poll cntvaluein3-skew-locked-seed20 cntvaluein3-skew-locked-seed23-long-poll cntvaluein3-skew-locked-seed27 cntvaluein3-skew-locked-seed28-long-poll cntvaluein3-skew-locked-seed30-long-poll cntvaluein3-skew-locked-seed5 cntvaluein3-skew-locked-seed6,skew,,2420,
reason2,,cntvaluein3-skew-locked-seed1 cntvaluein3-skew-locked-seed11 cntvaluein3-skew-locked-seed16-long-poll cntvaluein3-skew-locked-seed20 cntvaluein3-skew-locked-seed23-long-poll cntvaluein3-skew-locked-seed27 cntvaluein3-skew-locked-seed28-long-poll cntvaluein3-skew-locked-seed30-long-poll cntvaluein3-skew-locked-seed5 cntvaluein3-skew-locked-seed6,skew,,2200,
seed12,,cntvaluein3-skew-locked-seed1 cntvaluein3-skew-locked-seed11 cntvaluein3-skew-locked-seed12-long-poll cntvaluein3-skew-locked-seed20 cntvaluein3-skew-locked-seed27 cntvaluein3-skew-locked-seed5 cntvaluein3-skew-locked-seed6,skew,,1540,
,0,,placement,429,,429
allfail,,cntvaluein3-skew-locked-seed1 cntvaluein3-skew-locked-seed11 cntvaluein3-skew-locked-seed12-long-poll cntvaluein3-skew-locked-seed16-long-poll cntvaluein3-skew-locked-seed20 cntvaluein3-skew-locked-seed23-long-poll cntvaluein3-skew-locked-seed27 cntvaluein3-skew-locked-seed28-long-poll cntvaluein3-skew-locked-seed30-long-poll cntvaluein3-skew-locked-seed5 cntvaluein3-skew-locked-seed6,placement,,429,
reason2,,cntvaluein3-skew-locked-seed1 cntvaluein3-skew-locked-seed11 cntvaluein3-skew-locked-seed16-long-poll cntvaluein3-skew-locked-seed20 cntvaluein3-skew-locked-seed23-long-poll cntvaluein3-skew-locked-seed27 cntvaluein3-skew-locked-seed28-long-poll cntvaluein3-skew-locked-seed30-long-poll cntvaluein3-skew-locked-seed5 cntvaluein3-skew-locked-seed6,placement,,390,
seed12,,cntvaluein3-skew-locked-seed1 cntvaluein3-skew-locked-seed11 cntvaluein3-skew-locked-seed12-long-poll cntvaluein3-skew-locked-seed20 cntvaluein3-skew-locked-seed27 cntvaluein3-skew-locked-seed5 cntvaluein3-skew-locked-seed6,placement,,273,
